,P001001 Population:Total [1,P015001 Households:Total,P008001 HISPANIC:TotalHispanic'&'NotHispanic,P008002 HISPANIC:Total NotHispanic or Latino,P008003 HISPANIC:NotHisp:White alone,P008004 HISPANIC:NotHisp:Bl/AfAm alone,P008005 HISPANIC:NotHisp:AmInd/AK alone,P008006 HISPANIC:NotHisp:Asian alone,P008007 HISPANIC:NotHisp:HI alone,P008008 HISPANIC:NotHisp:Other alone,P008009 HISPANIC:NotHisp:Two+races,P008010 HISPANIC:Total Hispanic or Latino,P008011 HISPANIC:Hisp:White alone,P008012 HISPANIC:Hisp:Bl/AfAm alone,P008013 HISPANIC:Hisp:AmInd/AK alone,P008014 HISPANIC:Hisp:Asian alone,P008015 HISPANIC:Hisp:HI alone,P008016 HISPANIC:Hisp:Other alone,P008017 HISPANIC:Hisp:Two+ races,H003001 OCCUPANCY STATUS:Housing Units:Total,H003002 OCCUPANCY STATUS:Housing Units:Occupied,H003003 OCCUPANCY STATUS:Housing Units:Vacant,H004001 TENURE:Housing Units:Total,H004002 TENURE:Housing Units:Owner occupied,H004003 TENURE:Housing Units:Renter occupied,P012001 SEX BY AGE:Total Male'&'Female,P012002 SEX BY AGE:Total Male,P012026 SEX BY AGE:Total Female
06001400100,2498.0,1145.0,2498.0,2401.0,1937.0,114.0,4.0,280.0,5.0,6.0,55.0,97.0,68.0,1.0,3.0,1.0,0.0,13.0,11.0,1177.0,1145.0,32.0,1145.0,1037.0,108.0,2498.0,1261.0,1237.0
06001400200,1910.0,862.0,1910.0,1793.0,1509.0,58.0,5.0,147.0,0.0,9.0,65.0,117.0,72.0,0.0,0.0,2.0,0.0,29.0,14.0,873.0,862.0,11.0,862.0,497.0,365.0,1910.0,949.0,961.0
06001400300,4878.0,2495.0,4878.0,4564.0,3277.0,662.0,15.0,352.0,10.0,41.0,207.0,314.0,149.0,5.0,11.0,3.0,0.0,99.0,47.0,2567.0,2495.0,72.0,2495.0,1003.0,1492.0,4878.0,2342.0,2536.0
06001400400,3659.0,1803.0,3659.0,3418.0,2357.0,608.0,13.0,245.0,12.0,15.0,168.0,241.0,122.0,11.0,3.0,2.0,0.0,71.0,32.0,1880.0,1803.0,77.0,1803.0,722.0,1081.0,3659.0,1729.0,1930.0
06001400500,3410.0,1533.0,3410.0,3047.0,1268.0,1415.0,10.0,168.0,2.0,24.0,160.0,363.0,100.0,21.0,7.0,4.0,6.0,163.0,62.0,1592.0,1533.0,59.0,1533.0,581.0,952.0,3410.0,1577.0,1833.0
06001400600,1707.0,722.0,1707.0,1559.0,396.0,985.0,6.0,74.0,0.0,15.0,83.0,148.0,33.0,11.0,0.0,3.0,1.0,70.0,30.0,746.0,722.0,24.0,722.0,288.0,434.0,1707.0,781.0,926.0
06001400700,4451.0,1799.0,4451.0,4152.0,752.0,2975.0,12.0,170.0,6.0,16.0,221.0,299.0,115.0,32.0,2.0,0.0,1.0,118.0,31.0,1901.0,1799.0,102.0,1799.0,715.0,1084.0,4451.0,2031.0,2420.0
06001400800,3368.0,1349.0,3368.0,3067.0,705.0,1907.0,19.0,286.0,2.0,13.0,135.0,301.0,79.0,28.0,4.0,4.0,0.0,139.0,47.0,1420.0,1349.0,71.0,1349.0,437.0,912.0,3368.0,1592.0,1776.0
06001400900,2456.0,1060.0,2456.0,2254.0,499.0,1505.0,11.0,109.0,3.0,17.0,110.0,202.0,64.0,20.0,4.0,2.0,0.0,87.0,25.0,1116.0,1060.0,56.0,1060.0,396.0,664.0,2456.0,1148.0,1308.0
06001401000,5709.0,2299.0,5709.0,5162.0,525.0,4026.0,16.0,349.0,11.0,19.0,216.0,547.0,231.0,41.0,11.0,8.0,4.0,186.0,66.0,2475.0,2299.0,176.0,2299.0,740.0,1559.0,5709.0,2590.0,3119.0
06001401100,4007.0,1941.0,4007.0,3535.0,1480.0,1292.0,32.0,503.0,2.0,25.0,201.0,472.0,138.0,27.0,10.0,14.0,0.0,215.0,68.0,2039.0,1941.0,98.0,1941.0,355.0,1586.0,4007.0,1930.0,2077.0
06001401200,2432.0,1200.0,2432.0,2247.0,1303.0,530.0,5.0,278.0,1.0,12.0,118.0,185.0,71.0,9.0,1.0,0.0,0.0,73.0,31.0,1237.0,1200.0,37.0,1200.0,397.0,803.0,2432.0,1117.0,1315.0
06001401300,2810.0,1345.0,2810.0,2561.0,678.0,1376.0,25.0,314.0,5.0,9.0,154.0,249.0,49.0,20.0,15.0,1.0,0.0,123.0,41.0,1454.0,1345.0,109.0,1345.0,52.0,1293.0,2810.0,1393.0,1417.0
06001401400,4765.0,1488.0,4765.0,4059.0,253.0,3059.0,14.0,520.0,10.0,25.0,178.0,706.0,159.0,50.0,16.0,7.0,0.0,423.0,51.0,1681.0,1488.0,193.0,1488.0,261.0,1227.0,4765.0,2330.0,2435.0
06001401500,2413.0,911.0,2413.0,2158.0,265.0,1657.0,9.0,126.0,3.0,7.0,91.0,255.0,68.0,24.0,6.0,2.0,0.0,131.0,24.0,1026.0,911.0,115.0,911.0,236.0,675.0,2413.0,1238.0,1175.0
06001401600,1933.0,544.0,1933.0,1611.0,197.0,1134.0,20.0,157.0,9.0,9.0,85.0,322.0,97.0,17.0,2.0,3.0,0.0,158.0,45.0,668.0,544.0,124.0,544.0,113.0,431.0,1933.0,931.0,1002.0
06001401700,1878.0,568.0,1878.0,1310.0,209.0,923.0,11.0,77.0,0.0,2.0,88.0,568.0,221.0,4.0,14.0,0.0,0.0,283.0,46.0,645.0,568.0,77.0,568.0,217.0,351.0,1878.0,944.0,934.0
06001401800,1953.0,648.0,1953.0,1645.0,62.0,1478.0,10.0,38.0,11.0,14.0,32.0,308.0,100.0,9.0,6.0,2.0,0.0,175.0,16.0,754.0,648.0,106.0,648.0,121.0,527.0,1953.0,932.0,1021.0
06001401900,759.0,223.0,759.0,373.0,106.0,173.0,1.0,57.0,0.0,0.0,36.0,386.0,91.0,9.0,0.0,0.0,0.0,265.0,21.0,244.0,223.0,21.0,223.0,88.0,135.0,759.0,383.0,376.0
06001402000,28.0,11.0,28.0,18.0,5.0,7.0,4.0,1.0,0.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,12.0,11.0,1.0,11.0,4.0,7.0,28.0,11.0,17.0
06001402100,1161.0,450.0,1161.0,1103.0,20.0,909.0,2.0,131.0,2.0,0.0,39.0,58.0,7.0,11.0,0.0,0.0,0.0,33.0,7.0,715.0,450.0,265.0,450.0,37.0,413.0,1161.0,455.0,706.0
06001402200,1844.0,579.0,1844.0,1433.0,151.0,1109.0,9.0,109.0,0.0,9.0,46.0,411.0,80.0,2.0,13.0,4.0,0.0,295.0,17.0,656.0,579.0,77.0,579.0,154.0,425.0,1844.0,869.0,975.0
06001402300,453.0,167.0,453.0,438.0,49.0,354.0,2.0,18.0,0.0,3.0,12.0,15.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,179.0,167.0,12.0,167.0,61.0,106.0,453.0,200.0,253.0
06001402400,2588.0,1054.0,2588.0,2417.0,129.0,1891.0,8.0,273.0,4.0,4.0,108.0,171.0,42.0,26.0,1.0,0.0,0.0,86.0,16.0,1141.0,1054.0,87.0,1054.0,235.0,819.0,2588.0,1235.0,1353.0
06001402500,1779.0,630.0,1779.0,1671.0,63.0,1329.0,2.0,214.0,4.0,4.0,55.0,108.0,38.0,9.0,2.0,0.0,0.0,43.0,16.0,711.0,630.0,81.0,630.0,75.0,555.0,1779.0,789.0,990.0
06001402600,977.0,478.0,977.0,931.0,59.0,404.0,0.0,410.0,1.0,5.0,52.0,46.0,18.0,7.0,0.0,0.0,0.0,15.0,6.0,506.0,478.0,28.0,478.0,35.0,443.0,977.0,448.0,529.0
06001402700,1946.0,652.0,1946.0,1496.0,72.0,1165.0,21.0,154.0,6.0,15.0,63.0,450.0,110.0,31.0,7.0,0.0,0.0,275.0,27.0,713.0,652.0,61.0,652.0,114.0,538.0,1946.0,956.0,990.0
06001402800,1910.0,1220.0,1910.0,1756.0,326.0,1072.0,14.0,255.0,6.0,12.0,71.0,154.0,77.0,15.0,5.0,1.0,0.0,44.0,12.0,1356.0,1220.0,136.0,1220.0,27.0,1193.0,1910.0,1126.0,784.0
06001402900,1291.0,894.0,1291.0,1174.0,297.0,401.0,5.0,419.0,3.0,2.0,47.0,117.0,48.0,9.0,0.0,1.0,1.0,51.0,7.0,921.0,894.0,27.0,894.0,8.0,886.0,1291.0,654.0,637.0
06001403000,2734.0,1432.0,2734.0,2688.0,102.0,114.0,4.0,2459.0,1.0,0.0,8.0,46.0,12.0,1.0,1.0,8.0,0.0,20.0,4.0,1551.0,1432.0,119.0,1432.0,383.0,1049.0,2734.0,1191.0,1543.0
06001403100,1647.0,444.0,1647.0,1325.0,218.0,469.0,7.0,611.0,6.0,0.0,14.0,322.0,225.0,32.0,1.0,1.0,0.0,56.0,7.0,480.0,444.0,36.0,444.0,94.0,350.0,1647.0,1222.0,425.0
06001403200,63.0,46.0,63.0,55.0,29.0,10.0,1.0,12.0,0.0,0.0,3.0,8.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,47.0,46.0,1.0,46.0,43.0,3.0,63.0,35.0,28.0
06001403300,2310.0,913.0,2310.0,2214.0,172.0,189.0,7.0,1781.0,1.0,1.0,63.0,96.0,30.0,6.0,3.0,7.0,0.0,31.0,19.0,957.0,913.0,44.0,913.0,192.0,721.0,2310.0,1157.0,1153.0
06001403400,3697.0,2425.0,3697.0,3415.0,1244.0,1047.0,14.0,921.0,5.0,16.0,168.0,282.0,99.0,29.0,2.0,8.0,0.0,99.0,45.0,2518.0,2425.0,93.0,2425.0,222.0,2203.0,3697.0,1901.0,1796.0
06001403500,6346.0,3659.0,6346.0,5831.0,2082.0,2345.0,40.0,957.0,14.0,49.0,344.0,515.0,205.0,46.0,13.0,7.0,1.0,166.0,77.0,3800.0,3659.0,141.0,3659.0,426.0,3233.0,6346.0,3008.0,3338.0
06001403600,4400.0,2573.0,4400.0,4084.0,1475.0,1889.0,9.0,441.0,5.0,37.0,228.0,316.0,100.0,29.0,5.0,2.0,2.0,120.0,58.0,2671.0,2573.0,98.0,2573.0,384.0,2189.0,4400.0,2060.0,2340.0
06001403700,4652.0,3118.0,4652.0,4282.0,2301.0,1262.0,12.0,479.0,7.0,21.0,200.0,370.0,154.0,25.0,6.0,3.0,1.0,138.0,43.0,3297.0,3118.0,179.0,3118.0,481.0,2637.0,4652.0,2180.0,2472.0
06001403800,3453.0,1887.0,3453.0,3218.0,2040.0,526.0,7.0,485.0,8.0,15.0,137.0,235.0,110.0,6.0,4.0,6.0,0.0,64.0,45.0,1945.0,1887.0,58.0,1887.0,666.0,1221.0,3453.0,1608.0,1845.0
06001403900,3794.0,2178.0,3794.0,3489.0,1952.0,890.0,17.0,392.0,2.0,37.0,199.0,305.0,130.0,16.0,6.0,3.0,0.0,98.0,52.0,2257.0,2178.0,79.0,2178.0,642.0,1536.0,3794.0,1709.0,2085.0
06001404000,2885.0,1781.0,2885.0,2676.0,1711.0,527.0,8.0,293.0,1.0,15.0,121.0,209.0,87.0,6.0,3.0,7.0,1.0,84.0,21.0,1832.0,1781.0,51.0,1781.0,417.0,1364.0,2885.0,1282.0,1603.0
06001404100,5337.0,3356.0,5337.0,4991.0,3816.0,436.0,11.0,492.0,3.0,34.0,199.0,346.0,169.0,14.0,10.0,10.0,1.0,103.0,39.0,3474.0,3356.0,118.0,3356.0,829.0,2527.0,5337.0,2267.0,3070.0
06001404200,3176.0,1348.0,3176.0,3051.0,2587.0,98.0,5.0,247.0,4.0,8.0,102.0,125.0,82.0,0.0,2.0,4.0,0.0,22.0,15.0,1374.0,1348.0,26.0,1348.0,1118.0,230.0,3176.0,1506.0,1670.0
06001404300,3089.0,1306.0,3089.0,2992.0,2481.0,164.0,7.0,234.0,1.0,9.0,96.0,97.0,64.0,0.0,0.0,0.0,0.0,23.0,10.0,1336.0,1306.0,30.0,1306.0,1066.0,240.0,3089.0,1493.0,1596.0
06001404400,4699.0,2114.0,4699.0,4498.0,3551.0,185.0,9.0,556.0,1.0,24.0,172.0,201.0,119.0,1.0,4.0,5.0,0.0,47.0,25.0,2163.0,2114.0,49.0,2114.0,1834.0,280.0,4699.0,2260.0,2439.0
06001404501,1575.0,680.0,1575.0,1514.0,1243.0,70.0,2.0,143.0,1.0,3.0,52.0,61.0,37.0,2.0,1.0,1.0,0.0,11.0,9.0,685.0,680.0,5.0,680.0,580.0,100.0,1575.0,752.0,823.0
06001404502,5493.0,2364.0,5493.0,5221.0,4070.0,364.0,4.0,547.0,3.0,26.0,207.0,272.0,155.0,5.0,5.0,6.0,0.0,62.0,39.0,2412.0,2364.0,48.0,2364.0,1994.0,370.0,5493.0,2698.0,2795.0
06001404600,4296.0,1750.0,4296.0,4129.0,3296.0,222.0,3.0,430.0,2.0,22.0,154.0,167.0,118.0,1.0,0.0,2.0,1.0,19.0,26.0,1782.0,1750.0,32.0,1750.0,1611.0,139.0,4296.0,2130.0,2166.0
06001404700,1927.0,794.0,1927.0,1830.0,1408.0,209.0,4.0,147.0,8.0,8.0,46.0,97.0,64.0,4.0,1.0,2.0,0.0,15.0,11.0,809.0,794.0,15.0,794.0,725.0,69.0,1927.0,910.0,1017.0
06001404800,2683.0,1224.0,2683.0,2451.0,1260.0,616.0,11.0,415.0,18.0,6.0,125.0,232.0,95.0,12.0,8.0,2.0,0.0,74.0,41.0,1272.0,1224.0,48.0,1224.0,566.0,658.0,2683.0,1236.0,1447.0
06001404900,4356.0,1948.0,4356.0,4034.0,2457.0,495.0,15.0,870.0,12.0,15.0,170.0,322.0,145.0,17.0,3.0,2.0,0.0,126.0,29.0,2023.0,1948.0,75.0,1948.0,1044.0,904.0,4356.0,1884.0,2472.0
06001405000,3204.0,1563.0,3204.0,3014.0,2059.0,407.0,14.0,370.0,10.0,16.0,138.0,190.0,114.0,2.0,1.0,0.0,0.0,47.0,26.0,1604.0,1563.0,41.0,1563.0,880.0,683.0,3204.0,1466.0,1738.0
06001405100,4161.0,1592.0,4161.0,3982.0,2785.0,685.0,3.0,354.0,0.0,17.0,138.0,179.0,113.0,7.0,2.0,7.0,0.0,21.0,29.0,1614.0,1592.0,22.0,1592.0,1468.0,124.0,4161.0,1992.0,2169.0
06001405200,4991.0,2489.0,4991.0,4625.0,1613.0,1002.0,15.0,1777.0,13.0,15.0,190.0,366.0,146.0,15.0,9.0,5.0,0.0,156.0,35.0,2570.0,2489.0,81.0,2489.0,674.0,1815.0,4991.0,2360.0,2631.0
06001405300,5838.0,3080.0,5838.0,5170.0,1764.0,1539.0,42.0,1569.0,20.0,19.0,217.0,668.0,222.0,20.0,15.0,2.0,1.0,339.0,69.0,3155.0,3080.0,75.0,3080.0,267.0,2813.0,5838.0,2894.0,2944.0
06001405400,8381.0,2797.0,8381.0,6473.0,673.0,2092.0,47.0,3312.0,14.0,21.0,314.0,1908.0,638.0,38.0,32.0,10.0,4.0,1050.0,136.0,2910.0,2797.0,113.0,2797.0,349.0,2448.0,8381.0,4249.0,4132.0
06001405500,4147.0,1541.0,4147.0,3662.0,471.0,988.0,13.0,2060.0,11.0,8.0,111.0,485.0,159.0,15.0,5.0,0.0,0.0,248.0,58.0,1623.0,1541.0,82.0,1541.0,352.0,1189.0,4147.0,1981.0,2166.0
06001405600,3734.0,1438.0,3734.0,3225.0,612.0,1039.0,19.0,1419.0,7.0,10.0,119.0,509.0,165.0,14.0,8.0,8.0,0.0,272.0,42.0,1484.0,1438.0,46.0,1438.0,342.0,1096.0,3734.0,1793.0,1941.0
06001405700,3757.0,1337.0,3757.0,3097.0,340.0,1427.0,9.0,1196.0,12.0,7.0,106.0,660.0,183.0,19.0,15.0,3.0,0.0,373.0,67.0,1396.0,1337.0,59.0,1337.0,396.0,941.0,3757.0,1882.0,1875.0
06001405800,4777.0,1320.0,4777.0,3792.0,168.0,1384.0,17.0,2017.0,11.0,17.0,178.0,985.0,360.0,17.0,12.0,6.0,0.0,493.0,97.0,1357.0,1320.0,37.0,1320.0,476.0,844.0,4777.0,2273.0,2504.0
06001405900,7883.0,2038.0,7883.0,5264.0,299.0,1440.0,22.0,3211.0,39.0,14.0,239.0,2619.0,825.0,29.0,36.0,38.0,5.0,1521.0,165.0,2132.0,2038.0,94.0,2038.0,572.0,1466.0,7883.0,3971.0,3912.0
06001406000,3655.0,1321.0,3655.0,2548.0,404.0,424.0,13.0,1603.0,10.0,2.0,92.0,1107.0,318.0,14.0,9.0,6.0,0.0,705.0,55.0,1389.0,1321.0,68.0,1321.0,202.0,1119.0,3655.0,1959.0,1696.0
06001406100,4301.0,1202.0,4301.0,1581.0,513.0,529.0,36.0,418.0,10.0,14.0,61.0,2720.0,1048.0,27.0,51.0,4.0,1.0,1452.0,137.0,1271.0,1202.0,69.0,1202.0,326.0,876.0,4301.0,2299.0,2002.0
06001406201,5802.0,1403.0,5802.0,2802.0,193.0,910.0,28.0,1468.0,25.0,4.0,174.0,3000.0,1268.0,22.0,18.0,8.0,0.0,1391.0,293.0,1475.0,1403.0,72.0,1403.0,323.0,1080.0,5802.0,3073.0,2729.0
06001406202,5084.0,1225.0,5084.0,1799.0,275.0,676.0,45.0,686.0,1.0,11.0,105.0,3285.0,1263.0,16.0,48.0,20.0,8.0,1665.0,265.0,1250.0,1225.0,25.0,1225.0,208.0,1017.0,5084.0,2717.0,2367.0
06001406300,4410.0,1199.0,4410.0,2951.0,289.0,1314.0,12.0,1173.0,30.0,14.0,119.0,1459.0,570.0,41.0,18.0,1.0,0.0,746.0,83.0,1244.0,1199.0,45.0,1199.0,437.0,762.0,4410.0,2163.0,2247.0
06001406400,2276.0,679.0,2276.0,1945.0,507.0,853.0,6.0,516.0,0.0,0.0,63.0,331.0,151.0,12.0,8.0,2.0,0.0,120.0,38.0,713.0,679.0,34.0,679.0,347.0,332.0,2276.0,948.0,1328.0
06001406500,6253.0,1860.0,6253.0,3832.0,519.0,1608.0,20.0,1416.0,47.0,8.0,214.0,2421.0,909.0,81.0,40.0,12.0,11.0,1197.0,171.0,1934.0,1860.0,74.0,1860.0,616.0,1244.0,6253.0,3085.0,3168.0
06001406600,7805.0,2600.0,7805.0,6175.0,901.0,2485.0,49.0,2358.0,64.0,16.0,302.0,1630.0,603.0,71.0,59.0,20.0,5.0,753.0,119.0,2702.0,2600.0,102.0,2600.0,967.0,1633.0,7805.0,3711.0,4094.0
06001406700,5224.0,2149.0,5224.0,4727.0,2632.0,704.0,14.0,1108.0,45.0,23.0,201.0,497.0,222.0,28.0,22.0,7.0,7.0,149.0,62.0,2208.0,2149.0,59.0,2149.0,1485.0,664.0,5224.0,2421.0,2803.0
06001406800,3611.0,1373.0,3611.0,3225.0,1303.0,614.0,18.0,1111.0,20.0,12.0,147.0,386.0,169.0,15.0,5.0,9.0,1.0,139.0,48.0,1411.0,1373.0,38.0,1373.0,959.0,414.0,3611.0,1648.0,1963.0
06001406900,3695.0,1460.0,3695.0,3362.0,1399.0,954.0,22.0,794.0,23.0,10.0,160.0,333.0,132.0,15.0,18.0,16.0,0.0,113.0,39.0,1504.0,1460.0,44.0,1460.0,852.0,608.0,3695.0,1708.0,1987.0
06001407000,6652.0,2086.0,6652.0,4718.0,768.0,1742.0,37.0,1903.0,42.0,18.0,208.0,1934.0,586.0,41.0,15.0,10.0,4.0,1112.0,166.0,2170.0,2086.0,84.0,2086.0,838.0,1248.0,6652.0,3244.0,3408.0
06001407100,8376.0,2337.0,8376.0,4480.0,660.0,1984.0,54.0,1442.0,57.0,13.0,270.0,3896.0,1208.0,50.0,51.0,15.0,4.0,2403.0,165.0,2415.0,2337.0,78.0,2337.0,1018.0,1319.0,8376.0,4178.0,4198.0
06001407200,7039.0,1762.0,7039.0,1979.0,475.0,569.0,40.0,777.0,24.0,16.0,78.0,5060.0,1950.0,28.0,57.0,11.0,5.0,2597.0,412.0,1823.0,1762.0,61.0,1762.0,526.0,1236.0,7039.0,3648.0,3391.0
06001407300,2516.0,706.0,2516.0,1193.0,372.0,546.0,9.0,175.0,25.0,4.0,62.0,1323.0,440.0,12.0,30.0,1.0,4.0,768.0,68.0,731.0,706.0,25.0,706.0,241.0,465.0,2516.0,1344.0,1172.0
06001407400,4157.0,1115.0,4157.0,1948.0,142.0,1267.0,12.0,416.0,27.0,2.0,82.0,2209.0,764.0,39.0,21.0,2.0,1.0,1258.0,124.0,1160.0,1115.0,45.0,1115.0,390.0,725.0,4157.0,2157.0,2000.0
06001407500,4388.0,1250.0,4388.0,2241.0,148.0,1639.0,13.0,309.0,32.0,2.0,98.0,2147.0,830.0,28.0,25.0,3.0,8.0,1112.0,141.0,1307.0,1250.0,57.0,1250.0,399.0,851.0,4388.0,2245.0,2143.0
06001407600,6681.0,2126.0,6681.0,4648.0,594.0,3005.0,43.0,685.0,91.0,21.0,209.0,2033.0,583.0,66.0,31.0,26.0,0.0,1187.0,140.0,2199.0,2126.0,73.0,2126.0,980.0,1146.0,6681.0,3201.0,3480.0
06001407700,4599.0,1765.0,4599.0,4069.0,731.0,2926.0,12.0,190.0,28.0,13.0,169.0,530.0,210.0,28.0,12.0,2.0,0.0,208.0,70.0,1815.0,1765.0,50.0,1765.0,1334.0,431.0,4599.0,2117.0,2482.0
06001407800,2453.0,786.0,2453.0,2171.0,733.0,1122.0,25.0,194.0,7.0,3.0,87.0,282.0,91.0,16.0,15.0,4.0,0.0,126.0,30.0,806.0,786.0,20.0,786.0,512.0,274.0,2453.0,942.0,1511.0
06001407900,2788.0,1118.0,2788.0,2536.0,1199.0,747.0,4.0,457.0,10.0,6.0,113.0,252.0,108.0,12.0,6.0,3.0,0.0,90.0,33.0,1153.0,1118.0,35.0,1118.0,810.0,308.0,2788.0,1275.0,1513.0
06001408000,2404.0,910.0,2404.0,2232.0,1450.0,280.0,3.0,412.0,2.0,12.0,73.0,172.0,70.0,7.0,1.0,5.0,2.0,59.0,28.0,928.0,910.0,18.0,910.0,834.0,76.0,2404.0,1139.0,1265.0
06001408100,5756.0,2355.0,5756.0,5483.0,2279.0,1895.0,6.0,1057.0,9.0,10.0,227.0,273.0,142.0,11.0,14.0,5.0,1.0,50.0,50.0,2435.0,2355.0,80.0,2355.0,1757.0,598.0,5756.0,2763.0,2993.0
06001408200,4388.0,1723.0,4388.0,3828.0,674.0,2786.0,28.0,168.0,27.0,2.0,143.0,560.0,166.0,31.0,3.0,2.0,0.0,307.0,51.0,1771.0,1723.0,48.0,1723.0,824.0,899.0,4388.0,1982.0,2406.0
06001408300,4799.0,1733.0,4799.0,4087.0,985.0,2708.0,8.0,202.0,5.0,25.0,154.0,712.0,196.0,61.0,7.0,5.0,2.0,376.0,65.0,1787.0,1733.0,54.0,1733.0,1203.0,530.0,4799.0,2254.0,2545.0
06001408400,3782.0,1191.0,3782.0,2756.0,93.0,2437.0,7.0,80.0,52.0,3.0,84.0,1026.0,339.0,22.0,17.0,2.0,1.0,594.0,51.0,1265.0,1191.0,74.0,1191.0,541.0,650.0,3782.0,1824.0,1958.0
06001408500,5307.0,1563.0,5307.0,3383.0,81.0,2948.0,21.0,112.0,84.0,5.0,132.0,1924.0,603.0,32.0,16.0,7.0,4.0,1147.0,115.0,1633.0,1563.0,70.0,1563.0,828.0,735.0,5307.0,2582.0,2725.0
06001408600,5232.0,1641.0,5232.0,3609.0,144.0,3151.0,15.0,130.0,64.0,11.0,94.0,1623.0,431.0,25.0,20.0,3.0,1.0,995.0,148.0,1705.0,1641.0,64.0,1641.0,878.0,763.0,5232.0,2554.0,2678.0
06001408700,7504.0,2329.0,7504.0,4963.0,287.0,4174.0,14.0,242.0,39.0,6.0,201.0,2541.0,857.0,56.0,21.0,4.0,0.0,1392.0,211.0,2412.0,2329.0,83.0,2329.0,1132.0,1197.0,7504.0,3515.0,3989.0
06001408800,5174.0,1475.0,5174.0,3193.0,97.0,2344.0,7.0,581.0,47.0,5.0,112.0,1981.0,631.0,34.0,13.0,1.0,7.0,1196.0,99.0,1544.0,1475.0,69.0,1475.0,527.0,948.0,5174.0,2513.0,2661.0
06001408900,3339.0,1011.0,3339.0,1819.0,112.0,1544.0,21.0,65.0,27.0,7.0,43.0,1520.0,444.0,34.0,18.0,1.0,0.0,899.0,124.0,1033.0,1011.0,22.0,1011.0,357.0,654.0,3339.0,1580.0,1759.0
06001409000,3327.0,946.0,3327.0,2359.0,96.0,2055.0,4.0,65.0,30.0,1.0,108.0,968.0,391.0,22.0,22.0,0.0,4.0,490.0,39.0,989.0,946.0,43.0,946.0,640.0,306.0,3327.0,1658.0,1669.0
06001409100,2163.0,620.0,2163.0,1556.0,21.0,1473.0,6.0,37.0,2.0,0.0,17.0,607.0,287.0,16.0,6.0,1.0,0.0,286.0,11.0,648.0,620.0,28.0,620.0,422.0,198.0,2163.0,1044.0,1119.0
06001409200,3111.0,837.0,3111.0,2054.0,57.0,1755.0,4.0,125.0,40.0,4.0,69.0,1057.0,388.0,27.0,12.0,0.0,0.0,574.0,56.0,875.0,837.0,38.0,837.0,526.0,311.0,3111.0,1517.0,1594.0
06001409300,5492.0,1475.0,5492.0,2813.0,175.0,2300.0,13.0,147.0,53.0,17.0,108.0,2679.0,999.0,59.0,16.0,3.0,0.0,1393.0,209.0,1536.0,1475.0,61.0,1475.0,720.0,755.0,5492.0,2683.0,2809.0
06001409400,4455.0,1084.0,4455.0,2200.0,115.0,1898.0,8.0,50.0,71.0,9.0,49.0,2255.0,743.0,29.0,19.0,2.0,1.0,1299.0,162.0,1121.0,1084.0,37.0,1084.0,494.0,590.0,4455.0,2255.0,2200.0
06001409500,3555.0,919.0,3555.0,1760.0,83.0,1398.0,8.0,154.0,29.0,8.0,80.0,1795.0,614.0,23.0,8.0,1.0,1.0,1055.0,93.0,959.0,919.0,40.0,919.0,370.0,549.0,3555.0,1782.0,1773.0
06001409600,5235.0,1468.0,5235.0,3175.0,88.0,2725.0,14.0,141.0,76.0,19.0,112.0,2060.0,589.0,57.0,0.0,1.0,2.0,1292.0,119.0,1549.0,1468.0,81.0,1468.0,659.0,809.0,5235.0,2496.0,2739.0
06001409700,5208.0,1555.0,5208.0,3737.0,167.0,3197.0,13.0,154.0,90.0,7.0,109.0,1471.0,566.0,59.0,25.0,0.0,0.0,688.0,133.0,1612.0,1555.0,57.0,1555.0,541.0,1014.0,5208.0,2472.0,2736.0
06001409800,3250.0,1181.0,3250.0,3001.0,347.0,2485.0,3.0,75.0,23.0,5.0,63.0,249.0,82.0,22.0,4.0,0.0,0.0,111.0,30.0,1217.0,1181.0,36.0,1181.0,769.0,412.0,3250.0,1473.0,1777.0
06001409900,3499.0,1380.0,3499.0,3350.0,921.0,2112.0,10.0,172.0,0.0,8.0,127.0,149.0,72.0,21.0,1.0,2.0,0.0,26.0,27.0,1443.0,1380.0,63.0,1380.0,1248.0,132.0,3499.0,1612.0,1887.0
06001410000,2846.0,1137.0,2846.0,2673.0,1022.0,1383.0,6.0,156.0,9.0,0.0,97.0,173.0,64.0,18.0,1.0,1.0,5.0,46.0,38.0,1157.0,1137.0,20.0,1137.0,1026.0,111.0,2846.0,1346.0,1500.0
06001410100,2784.0,948.0,2784.0,2336.0,226.0,1882.0,14.0,96.0,3.0,10.0,105.0,448.0,130.0,14.0,6.0,0.0,0.0,249.0,49.0,977.0,948.0,29.0,948.0,627.0,321.0,2784.0,1288.0,1496.0
06001410200,3550.0,1138.0,3550.0,2659.0,156.0,2243.0,9.0,134.0,42.0,4.0,71.0,891.0,282.0,41.0,10.0,0.0,6.0,511.0,41.0,1174.0,1138.0,36.0,1138.0,545.0,593.0,3550.0,1654.0,1896.0
