,P001001 Population:Total [1,P015001 Households:Total,P008001 HISPANIC:TotalHispanic'&'NotHispanic,P008002 HISPANIC:Total NotHispanic or Latino,P008003 HISPANIC:NotHisp:White alone,P008004 HISPANIC:NotHisp:Bl/AfAm alone,P008005 HISPANIC:NotHisp:AmInd/AK alone,P008006 HISPANIC:NotHisp:Asian alone,P008007 HISPANIC:NotHisp:HI alone,P008008 HISPANIC:NotHisp:Other alone,P008009 HISPANIC:NotHisp:Two+races,P008010 HISPANIC:Total Hispanic or Latino,P008011 HISPANIC:Hisp:White alone,P008012 HISPANIC:Hisp:Bl/AfAm alone,P008013 HISPANIC:Hisp:AmInd/AK alone,P008014 HISPANIC:Hisp:Asian alone,P008015 HISPANIC:Hisp:HI alone,P008016 HISPANIC:Hisp:Other alone,P008017 HISPANIC:Hisp:Two+ races,H003001 OCCUPANCY STATUS:Housing Units:Total,H003002 OCCUPANCY STATUS:Housing Units:Occupied,H003003 OCCUPANCY STATUS:Housing Units:Vacant,H004001 TENURE:Housing Units:Total,H004002 TENURE:Housing Units:Owner occupied,H004003 TENURE:Housing Units:Renter occupied,P012001 SEX BY AGE:Total Male'&'Female,P012002 SEX BY AGE:Total Male,P012026 SEX BY AGE:Total Female
06037703002,6886.0,2795.0,6886.0,6650.0,1275.0,4819.0,17.0,213.0,4.0,38.0,284.0,236.0,97.0,46.0,1.0,0.0,2.0,62.0,28.0,2862.0,2795.0,67.0,2795.0,2149.0,646.0,6886.0,3116.0,3770.0
06037703100,5445.0,2304.0,5445.0,5290.0,338.0,4647.0,6.0,59.0,6.0,24.0,210.0,155.0,31.0,36.0,6.0,0.0,0.0,47.0,35.0,2371.0,2304.0,67.0,2304.0,1635.0,669.0,5445.0,2463.0,2982.0
06037703200,5513.0,2235.0,5513.0,5371.0,192.0,4910.0,6.0,63.0,1.0,14.0,185.0,142.0,27.0,48.0,1.0,0.0,0.0,41.0,25.0,2367.0,2235.0,132.0,2235.0,1816.0,419.0,5513.0,2547.0,2966.0
06037800101,5244.0,1758.0,5244.0,5017.0,4522.0,35.0,2.0,311.0,0.0,14.0,133.0,227.0,162.0,4.0,0.0,1.0,2.0,38.0,20.0,1791.0,1758.0,33.0,1758.0,1681.0,77.0,5244.0,2556.0,2688.0
06037800102,6422.0,2590.0,6422.0,6092.0,5630.0,58.0,18.0,213.0,2.0,12.0,159.0,330.0,200.0,2.0,6.0,1.0,1.0,90.0,30.0,2724.0,2590.0,134.0,2590.0,2035.0,555.0,6422.0,3247.0,3175.0
06037800201,9462.0,3179.0,9462.0,9027.0,8046.0,116.0,13.0,649.0,5.0,19.0,179.0,435.0,295.0,5.0,2.0,7.0,0.0,85.0,41.0,3274.0,3179.0,95.0,3179.0,2857.0,322.0,9462.0,4533.0,4929.0
06037800202,4768.0,1583.0,4768.0,4587.0,4118.0,22.0,3.0,367.0,5.0,19.0,53.0,181.0,128.0,2.0,3.0,1.0,0.0,33.0,14.0,1632.0,1583.0,49.0,1583.0,1472.0,111.0,4768.0,2347.0,2421.0
06037800302,7618.0,2881.0,7618.0,6896.0,5956.0,147.0,15.0,524.0,10.0,26.0,218.0,722.0,361.0,3.0,12.0,11.0,0.0,296.0,39.0,3000.0,2881.0,119.0,2881.0,1656.0,1225.0,7618.0,3755.0,3863.0
06037800303,7160.0,2731.0,7160.0,6674.0,5836.0,99.0,20.0,456.0,8.0,19.0,236.0,486.0,321.0,4.0,6.0,2.0,2.0,107.0,44.0,2841.0,2731.0,110.0,2731.0,1780.0,951.0,7160.0,3530.0,3630.0
06037800323,7967.0,2429.0,7967.0,7594.0,6826.0,64.0,1.0,546.0,1.0,10.0,146.0,373.0,265.0,3.0,6.0,3.0,0.0,66.0,30.0,2449.0,2429.0,20.0,2429.0,2242.0,187.0,7967.0,4018.0,3949.0
06037800324,7004.0,2375.0,7004.0,6562.0,5760.0,107.0,14.0,527.0,5.0,10.0,139.0,442.0,288.0,1.0,8.0,8.0,0.0,95.0,42.0,2401.0,2375.0,26.0,2375.0,2140.0,235.0,7004.0,3410.0,3594.0
06037800325,3575.0,1524.0,3575.0,3429.0,3217.0,28.0,5.0,113.0,1.0,9.0,56.0,146.0,99.0,1.0,0.0,3.0,3.0,20.0,20.0,1571.0,1524.0,47.0,1524.0,1287.0,237.0,3575.0,1689.0,1886.0
06037800326,5065.0,2001.0,5065.0,4770.0,4313.0,55.0,4.0,292.0,2.0,11.0,93.0,295.0,196.0,0.0,4.0,2.0,1.0,69.0,23.0,2060.0,2001.0,59.0,2001.0,1647.0,354.0,5065.0,2493.0,2572.0
06037800401,3241.0,634.0,3241.0,3006.0,2614.0,110.0,14.0,160.0,11.0,8.0,89.0,235.0,127.0,1.0,0.0,0.0,0.0,86.0,21.0,740.0,634.0,106.0,634.0,468.0,166.0,3241.0,1444.0,1797.0
06037800403,6893.0,2691.0,6893.0,6502.0,6089.0,50.0,11.0,168.0,8.0,20.0,156.0,391.0,256.0,4.0,4.0,1.0,0.0,80.0,46.0,3073.0,2691.0,382.0,2691.0,2153.0,538.0,6893.0,3347.0,3546.0
06037800404,2799.0,929.0,2799.0,2520.0,2293.0,106.0,3.0,53.0,2.0,5.0,58.0,279.0,110.0,6.0,5.0,0.0,0.0,128.0,30.0,1158.0,929.0,229.0,929.0,713.0,216.0,2799.0,1482.0,1317.0
06037800501,3186.0,1446.0,3186.0,3063.0,2798.0,33.0,4.0,153.0,2.0,13.0,60.0,123.0,79.0,0.0,4.0,2.0,0.0,25.0,13.0,1588.0,1446.0,142.0,1446.0,991.0,455.0,3186.0,1642.0,1544.0
06037800502,2409.0,1093.0,2409.0,2270.0,2103.0,26.0,3.0,68.0,2.0,8.0,60.0,139.0,83.0,0.0,2.0,1.0,1.0,38.0,14.0,1357.0,1093.0,264.0,1093.0,698.0,395.0,2409.0,1212.0,1197.0
06037900101,11658.0,3174.0,11658.0,7716.0,5744.0,1368.0,104.0,99.0,19.0,19.0,363.0,3942.0,1356.0,34.0,69.0,17.0,0.0,2191.0,275.0,3505.0,3174.0,331.0,3174.0,2459.0,715.0,11658.0,5810.0,5848.0
06037900102,976.0,355.0,976.0,664.0,537.0,66.0,13.0,12.0,0.0,0.0,36.0,312.0,95.0,1.0,10.0,0.0,0.0,170.0,36.0,543.0,355.0,188.0,355.0,264.0,91.0,976.0,527.0,449.0
06037900200,1447.0,486.0,1447.0,1015.0,944.0,15.0,16.0,16.0,0.0,0.0,24.0,432.0,150.0,2.0,7.0,13.0,0.0,234.0,26.0,556.0,486.0,70.0,486.0,326.0,160.0,1447.0,724.0,723.0
06037900300,1884.0,700.0,1884.0,1586.0,1409.0,74.0,15.0,43.0,3.0,0.0,42.0,298.0,122.0,1.0,2.0,0.0,0.0,148.0,25.0,782.0,700.0,82.0,700.0,495.0,205.0,1884.0,920.0,964.0
06037900501,6156.0,1861.0,6156.0,4414.0,2926.0,1012.0,48.0,184.0,8.0,24.0,212.0,1742.0,647.0,19.0,47.0,8.0,0.0,881.0,140.0,1988.0,1861.0,127.0,1861.0,1302.0,559.0,6156.0,2986.0,3170.0
06037900502,7621.0,2418.0,7621.0,5885.0,3757.0,1543.0,37.0,267.0,12.0,17.0,252.0,1736.0,781.0,24.0,37.0,14.0,4.0,731.0,145.0,2532.0,2418.0,114.0,2418.0,1598.0,820.0,7621.0,3656.0,3965.0
06037900503,7848.0,2442.0,7848.0,5863.0,4037.0,1324.0,43.0,208.0,17.0,5.0,229.0,1985.0,982.0,36.0,27.0,19.0,1.0,762.0,158.0,2627.0,2442.0,185.0,2442.0,1824.0,618.0,7848.0,3839.0,4009.0
06037900504,3958.0,1304.0,3958.0,3020.0,2037.0,657.0,30.0,132.0,16.0,9.0,139.0,938.0,404.0,13.0,18.0,15.0,2.0,417.0,69.0,1383.0,1304.0,79.0,1304.0,762.0,542.0,3958.0,1926.0,2032.0
06037900602,3660.0,1176.0,3660.0,2117.0,1332.0,626.0,29.0,32.0,12.0,4.0,82.0,1543.0,514.0,34.0,41.0,9.0,0.0,760.0,185.0,1347.0,1176.0,171.0,1176.0,737.0,439.0,3660.0,1754.0,1906.0
06037900604,7937.0,2592.0,7937.0,5682.0,3810.0,1283.0,48.0,292.0,11.0,13.0,225.0,2255.0,941.0,32.0,40.0,24.0,1.0,1035.0,182.0,2821.0,2592.0,229.0,2592.0,1863.0,729.0,7937.0,3796.0,4141.0
