,Oakland,Elmhurst
"B08134_050E Car, truck, or van:!!Carpooled:!!In 2-person carpool:!!60 or more minutes",1198.0,165.0
"B08134_051E Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:",6597.0,615.0
"B08134_052E Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:!!Less than 10 minutes",170.0,0.0
"B08134_053E Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:!!10 to 14 minutes",439.0,8.0
"B08134_054E Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:!!15 to 19 minutes",582.0,58.0
"B08134_055E Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:!!20 to 24 minutes",661.0,45.0
"B08134_056E Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:!!25 to 29 minutes",374.0,44.0
"B08134_057E Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:!!30 to 34 minutes",1706.0,225.0
"B08134_058E Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:!!35 to 44 minutes",886.0,25.0
"B08134_059E Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:!!45 to 59 minutes",831.0,62.0
"B08134_060E Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:!!60 or more minutes",948.0,148.0
B08134_061E Public transportation (excluding taxicab):,32009.0,1833.0
B08134_062E Public transportation (excluding taxicab):!!Less than 10 minutes,291.0,0.0
B08134_063E Public transportation (excluding taxicab):!!10 to 14 minutes,457.0,32.0
B08134_064E Public transportation (excluding taxicab):!!15 to 19 minutes,1388.0,94.0
B08134_065E Public transportation (excluding taxicab):!!20 to 24 minutes,3346.0,261.0
B08134_066E Public transportation (excluding taxicab):!!25 to 29 minutes,1362.0,97.0
B08134_067E Public transportation (excluding taxicab):!!30 to 34 minutes,6795.0,322.0
B08134_068E Public transportation (excluding taxicab):!!35 to 44 minutes,4473.0,252.0
B08134_069E Public transportation (excluding taxicab):!!45 to 59 minutes,6091.0,202.0
B08134_070E Public transportation (excluding taxicab):!!60 or more minutes,7806.0,573.0
B08134_071E Public transportation (excluding taxicab):!!Bus or trolley bus:,14495.0,1163.0
B08134_072E Public transportation (excluding taxicab):!!Bus or trolley bus:!!Less than 10 minutes,209.0,0.0
B08134_073E Public transportation (excluding taxicab):!!Bus or trolley bus:!!10 to 14 minutes,356.0,32.0
B08134_074E Public transportation (excluding taxicab):!!Bus or trolley bus:!!15 to 19 minutes,959.0,41.0
B08134_075E Public transportation (excluding taxicab):!!Bus or trolley bus:!!20 to 24 minutes,2224.0,261.0
B08134_076E Public transportation (excluding taxicab):!!Bus or trolley bus:!!25 to 29 minutes,464.0,84.0
B08134_077E Public transportation (excluding taxicab):!!Bus or trolley bus:!!30 to 34 minutes,2845.0,178.0
B08134_078E Public transportation (excluding taxicab):!!Bus or trolley bus:!!35 to 44 minutes,1567.0,128.0
B08134_079E Public transportation (excluding taxicab):!!Bus or trolley bus:!!45 to 59 minutes,2099.0,80.0
B08134_080E Public transportation (excluding taxicab):!!Bus or trolley bus:!!60 or more minutes,3772.0,359.0
"B08134_081E Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:",16709.0,631.0
"B08134_082E Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:!!Less than 10 minutes",46.0,0.0
"B08134_083E Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:!!10 to 14 minutes",96.0,0.0
"B08134_084E Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:!!15 to 19 minutes",425.0,53.0
"B08134_085E Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:!!20 to 24 minutes",1092.0,0.0
"B08134_086E Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:!!25 to 29 minutes",858.0,0.0
"B08134_087E Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:!!30 to 34 minutes",3894.0,144.0
"B08134_088E Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:!!35 to 44 minutes",2831.0,124.0
"B08134_089E Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:!!45 to 59 minutes",3844.0,122.0
"B08134_090E Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:!!60 or more minutes",3623.0,188.0
B08134_091E Public transportation (excluding taxicab):!!Railroad or ferryboat:,805.0,39.0
B08134_092E Public transportation (excluding taxicab):!!Railroad or ferryboat:!!Less than 10 minutes,36.0,0.0
B08134_093E Public transportation (excluding taxicab):!!Railroad or ferryboat:!!10 to 14 minutes,5.0,0.0
B08134_094E Public transportation (excluding taxicab):!!Railroad or ferryboat:!!15 to 19 minutes,4.0,0.0
B08134_095E Public transportation (excluding taxicab):!!Railroad or ferryboat:!!20 to 24 minutes,30.0,0.0
B08134_096E Public transportation (excluding taxicab):!!Railroad or ferryboat:!!25 to 29 minutes,40.0,13.0
B08134_097E Public transportation (excluding taxicab):!!Railroad or ferryboat:!!30 to 34 minutes,56.0,0.0
B08134_098E Public transportation (excluding taxicab):!!Railroad or ferryboat:!!35 to 44 minutes,75.0,0.0
B08134_099E Public transportation (excluding taxicab):!!Railroad or ferryboat:!!45 to 59 minutes,148.0,0.0
B08134_100E Public transportation (excluding taxicab):!!Railroad or ferryboat:!!60 or more minutes,411.0,26.0
B08134_101E Walked:,7585.0,150.0
B08134_102E Walked:!!Less than 10 minutes,2155.0,51.0
B08134_103E Walked:!!10 to 14 minutes,1769.0,38.0
B08134_104E Walked:!!15 to 19 minutes,1301.0,29.0
B08134_105E Walked:!!20 to 24 minutes,1018.0,14.0
B08134_106E Walked:!!25 to 29 minutes,289.0,0.0
B08134_107E Walked:!!30 to 34 minutes,730.0,0.0
B08134_108E Walked:!!35 to 44 minutes,87.0,18.0
B08134_109E Walked:!!45 to 59 minutes,80.0,0.0
B08134_110E Walked:!!60 or more minutes,156.0,0.0
"B08134_111E Taxicab, motorcycle, bicycle, or other means:",7819.0,384.0
"B08134_112E Taxicab, motorcycle, bicycle, or other means:!!Less than 10 minutes",548.0,0.0
"B08134_113E Taxicab, motorcycle, bicycle, or other means:!!10 to 14 minutes",1175.0,41.0
"B08134_114E Taxicab, motorcycle, bicycle, or other means:!!15 to 19 minutes",1626.0,87.0
"B08134_115E Taxicab, motorcycle, bicycle, or other means:!!20 to 24 minutes",1295.0,98.0
"B08134_116E Taxicab, motorcycle, bicycle, or other means:!!25 to 29 minutes",528.0,20.0
