,Oakland,Elmhurst
"B08134_115M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:!!20 to 24 minutes",148.93617021276594,48.50286749013665
"B08134_116M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:!!25 to 29 minutes",91.79331306990882,31.05068155409637
"B08134_117M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:!!30 to 34 minutes",197.56838905775075,64.57232021699708
"B08134_118M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:!!35 to 44 minutes",88.14589665653496,25.733751353819724
"B08134_119M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:!!45 to 59 minutes",109.4224924012158,24.595657536953077
"B08134_120M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:!!60 or more minutes",91.79331306990882,27.179439399523595
B11005_001E Total:,154257.0,9881.0
B11005_001M Standard Error For!!Total:,794.5288753799392,161.02998088137994
B19013_001E Median household income in the past 12 months (in 2012 inflation-adjusted dollars),51683.0,320208.0
B19013_001M Standard Error for!!Median household income in the past 12 months (in 2012 inflation-adjusted dollars),627.355623100304,14141.694188737316
B08122_001M Standard Error For!!Total:,1306.3829787234042,483.98755729621513
B08122_002M Standard Error For!!Below 100 percent of the poverty level,605.4711246200608,160.5887579504568
B08122_003M Standard Error For!!100 to 149 percent of the poverty level,573.2522796352583,222.08593096798776
B08122_004M Standard Error For!!At or above 150 percent of the poverty level,1558.662613981763,464.5474814132699
"B08122_005M Standard Error For!!Car, truck, or van - drove alone:",1240.1215805471124,382.6664428575141
"B08122_006M Standard Error For!!Car, truck, or van - drove alone:!!Below 100 percent of the poverty level",376.8996960486322,111.59445216601767
"B08122_007M Standard Error For!!Car, truck, or van - drove alone:!!100 to 149 percent of the poverty level",409.11854103343467,167.6610732788628
"B08122_008M Standard Error For!!Car, truck, or van - drove alone:!!At or above 150 percent of the poverty level",1333.7386018237082,376.1660670586525
"B08122_009M Standard Error For!!Car, truck, or van - carpooled:",701.5197568389058,249.10590203222253
"B08122_010M Standard Error For!!Car, truck, or van - carpooled:!!Below 100 percent of the poverty level",220.66869300911853,80.63366342599991
"B08122_011M Standard Error For!!Car, truck, or van - carpooled:!!100 to 149 percent of the poverty level",189.66565349544072,85.08901255646295
"B08122_012M Standard Error For!!Car, truck, or van - carpooled:!!At or above 150 percent of the poverty level",622.4924012158054,221.26072958248312
B08122_013M Standard Error For!!Public transportation (excluding taxicab):,693.6170212765958,192.35967610272587
B08122_014M Standard Error For!!Public transportation (excluding taxicab):!!Below 100 percent of the poverty level,308.20668693009117,72.0024800197825
B08122_015M Standard Error For!!Public transportation (excluding taxicab):!!100 to 149 percent of the poverty level,263.82978723404256,76.8678526522713
B08122_016M Standard Error For!!Public transportation (excluding taxicab):!!At or above 150 percent of the poverty level,624.3161094224924,157.3775533923668
B08122_017M Standard Error For!!Walked:,414.58966565349544,46.59882771242991
B08122_018M Standard Error For!!Walked:!!Below 100 percent of the poverty level,173.25227963525836,32.85487931154203
B08122_019M Standard Error For!!Walked:!!100 to 149 percent of the poverty level,167.17325227963525,26.671624277787604
B08122_020M Standard Error For!!Walked:!!At or above 150 percent of the poverty level,348.32826747720367,37.53768627662719
"B08122_021M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:",416.4133738601824,95.58388582160724
"B08122_022M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:!!Below 100 percent of the poverty level",153.79939209726444,34.00453804485591
"B08122_023M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:!!100 to 149 percent of the poverty level",147.11246200607903,39.978560601720076
"B08122_024M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:!!At or above 150 percent of the poverty level",322.7963525835866,101.06920021382496
B08122_025M Standard Error For!!Worked at home:,487.53799392097267,133.00156121737584
B08122_026M Standard Error For!!Worked at home:!!Below 100 percent of the poverty level,127.05167173252279,29.650452032236345
B08122_027M Standard Error For!!Worked at home:!!100 to 149 percent of the poverty level,137.9939209726444,35.13761949329708
B08122_028M Standard Error For!!Worked at home:!!At or above 150 percent of the poverty level,453.4954407294833,128.35244020511084
B08122_001E Total:,178390.0,13019.0
B08122_002E Below 100 percent of the poverty level,15731.0,1346.0
B08122_003E 100 to 149 percent of the poverty level,14726.0,2048.0
B08122_004E At or above 150 percent of the poverty level,147933.0,9625.0
"B08122_005E Car, truck, or van - drove alone:",100646.0,8240.0
"B08122_006E Car, truck, or van - drove alone:!!Below 100 percent of the poverty level",6816.0,678.0
"B08122_007E Car, truck, or van - drove alone:!!100 to 149 percent of the poverty level",7398.0,1255.0
"B08122_008E Car, truck, or van - drove alone:!!At or above 150 percent of the poverty level",86432.0,6307.0
"B08122_009E Car, truck, or van - carpooled:",19068.0,1963.0
"B08122_010E Car, truck, or van - carpooled:!!Below 100 percent of the poverty level",1948.0,279.0
"B08122_011E Car, truck, or van - carpooled:!!100 to 149 percent of the poverty level",1707.0,366.0
"B08122_012E Car, truck, or van - carpooled:!!At or above 150 percent of the poverty level",15413.0,1318.0
B08122_013E Public transportation (excluding taxicab):,31975.0,1833.0
B08122_014E Public transportation (excluding taxicab):!!Below 100 percent of the poverty level,3819.0,268.0
B08122_015E Public transportation (excluding taxicab):!!100 to 149 percent of the poverty level,3116.0,303.0
B08122_016E Public transportation (excluding taxicab):!!At or above 150 percent of the poverty level,25040.0,1262.0
B08122_017E Walked:,7391.0,150.0
B08122_018E Walked:!!Below 100 percent of the poverty level,1006.0,44.0
B08122_019E Walked:!!100 to 149 percent of the poverty level,868.0,12.0
B08122_020E Walked:!!At or above 150 percent of the poverty level,5517.0,94.0
"B08122_021E Taxicab, motorcycle, bicycle, or other means:",7819.0,384.0
"B08122_022E Taxicab, motorcycle, bicycle, or other means:!!Below 100 percent of the poverty level",1064.0,49.0
"B08122_023E Taxicab, motorcycle, bicycle, or other means:!!100 to 149 percent of the poverty level",832.0,55.0
"B08122_024E Taxicab, motorcycle, bicycle, or other means:!!At or above 150 percent of the poverty level",5923.0,280.0
B08122_025E Worked at home:,11491.0,449.0
B08122_026E Worked at home:!!Below 100 percent of the poverty level,1078.0,28.0
B08122_027E Worked at home:!!100 to 149 percent of the poverty level,805.0,57.0
B08122_028E Worked at home:!!At or above 150 percent of the poverty level,9608.0,364.0
B08141_001E Total:,177870.0,12998.0
B08141_002E No vehicle available,14261.0,799.0
B08141_003E 1 vehicle available,57619.0,3341.0
B08141_004E 2 vehicles available,68494.0,4186.0
B08141_005E 3 or more vehicles available,37496.0,4672.0
"B08141_006E Car, truck, or van - drove alone:",100540.0,8235.0
"B08141_007E Car, truck, or van - drove alone:!!No vehicle available",2070.0,214.0
"B08141_008E Car, truck, or van - drove alone:!!1 vehicle available",30820.0,2112.0
"B08141_009E Car, truck, or van - drove alone:!!2 vehicles available",42876.0,2633.0
"B08141_010E Car, truck, or van - drove alone:!!3 or more vehicles available",24774.0,3276.0
"B08141_011E Car, truck, or van - carpooled:",19042.0,1963.0
"B08141_012E Car, truck, or van - carpooled:!!No vehicle available",1108.0,115.0
"B08141_013E Car, truck, or van - carpooled:!!1 vehicle available",6219.0,520.0
"B08141_014E Car, truck, or van - carpooled:!!2 vehicles available",6973.0,588.0
"B08141_015E Car, truck, or van - carpooled:!!3 or more vehicles available",4742.0,740.0
B08141_016E Public transportation (excluding taxicab):,31813.0,1831.0
B08141_017E Public transportation (excluding taxicab):!!No vehicle available,7151.0,358.0
B08141_018E Public transportation (excluding taxicab):!!1 vehicle available,11100.0,509.0
B08141_019E Public transportation (excluding taxicab):!!2 vehicles available,9725.0,481.0
B08141_020E Public transportation (excluding taxicab):!!3 or more vehicles available,3837.0,483.0
B08141_021E Walked:,7309.0,136.0
B08141_022E Walked:!!No vehicle available,1558.0,26.0
B08141_023E Walked:!!1 vehicle available,3165.0,22.0
B08141_024E Walked:!!2 vehicles available,1792.0,70.0
B08141_025E Walked:!!3 or more vehicles available,794.0,18.0
"B08141_026E Taxicab, motorcycle, bicycle, or other means:",7797.0,384.0
"B08141_027E Taxicab, motorcycle, bicycle, or other means:!!No vehicle available",1437.0,33.0
"B08141_028E Taxicab, motorcycle, bicycle, or other means:!!1 vehicle available",2472.0,40.0
"B08141_029E Taxicab, motorcycle, bicycle, or other means:!!2 vehicles available",2560.0,215.0
"B08141_030E Taxicab, motorcycle, bicycle, or other means:!!3 or more vehicles available",1328.0,96.0
B08141_031E Worked at home:,11369.0,449.0
B08141_032E Worked at home:!!No vehicle available,937.0,53.0
B08141_033E Worked at home:!!1 vehicle available,3843.0,138.0
B08141_034E Worked at home:!!2 vehicles available,4568.0,199.0
B08141_035E Worked at home:!!3 or more vehicles available,2021.0,59.0
B08141_001M Standard Error For!!Total:,1302.127659574468,484.8137701030422
B08141_002M Standard Error For!!No vehicle available,587.2340425531914,152.9114050753793
B08141_003M Standard Error For!!1 vehicle available,1091.793313069909,275.3812811551004
B08141_004M Standard Error For!!2 vehicles available,1438.9057750759878,341.0318092381986
B08141_005M Standard Error For!!3 or more vehicles available,1190.8814589665653,429.62684504864933
"B08141_006M Standard Error For!!Car, truck, or van - drove alone:",1244.984802431611,382.9333692448049
"B08141_007M Standard Error For!!Car, truck, or van - drove alone:!!No vehicle available",232.21884498480242,88.16895202098914
"B08141_008M Standard Error For!!Car, truck, or van - drove alone:!!1 vehicle available",822.4924012158054,197.40652710222972
"B08141_009M Standard Error For!!Car, truck, or van - drove alone:!!2 vehicles available",1043.7689969604862,253.9869717965279
"B08141_010M Standard Error For!!Car, truck, or van - drove alone:!!3 or more vehicles available",846.2006079027356,330.14659730709667
"B08141_011M Standard Error For!!Car, truck, or van - carpooled:",700.3039513677811,249.10590203222253
"B08141_012M Standard Error For!!Car, truck, or van - carpooled:!!No vehicle available",215.80547112462006,56.0161837647126
"B08141_013M Standard Error For!!Car, truck, or van - carpooled:!!1 vehicle available",413.37386018237083,142.21156594604344
"B08141_014M Standard Error For!!Car, truck, or van - carpooled:!!2 vehicles available",423.1003039513678,120.95584187812052
"B08141_015M Standard Error For!!Car, truck, or van - carpooled:!!3 or more vehicles available",360.48632218844983,157.17900967495456
B08141_016M Standard Error For!!Public transportation (excluding taxicab):,692.4012158054711,192.35967610272587
B08141_017M Standard Error For!!Public transportation (excluding taxicab):!!No vehicle available,409.11854103343467,104.88216207086184
B08141_018M Standard Error For!!Public transportation (excluding taxicab):!!1 vehicle available,496.6565349544073,94.00110686158907
B08141_019M Standard Error For!!Public transportation (excluding taxicab):!!2 vehicles available,460.790273556231,98.50650706106123
B08141_020M Standard Error For!!Public transportation (excluding taxicab):!!3 or more vehicles available,316.7173252279635,104.83987229578653
B08141_021M Standard Error For!!Walked:,416.4133738601824,43.79853781895452
B08141_022M Standard Error For!!Walked:!!No vehicle available,241.33738601823708,28.82895003374924
B08141_023M Standard Error For!!Walked:!!1 vehicle available,288.14589665653494,26.047763265201883
B08141_024M Standard Error For!!Walked:!!2 vehicles available,195.13677811550153,36.27605774549712
B08141_025M Standard Error For!!Walked:!!3 or more vehicles available,156.23100303951367,30.328193758702543
"B08141_026M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:",416.4133738601824,95.58388582160724
"B08141_027M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:!!No vehicle available",159.27051671732522,28.623118217613502
"B08141_028M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:!!1 vehicle available",209.72644376899694,32.21884498480243
"B08141_029M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:!!2 vehicles available",247.41641337386017,83.29154879174969
"B08141_030M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:!!3 or more vehicles available",168.3890577507599,44.774832409289466
B08141_031M Standard Error For!!Worked at home:,493.00911854103344,133.00156121737584
B08141_032M Standard Error For!!Worked at home:!!No vehicle available,124.01215805471125,37.453913193311514
B08141_033M Standard Error For!!Worked at home:!!1 vehicle available,313.677811550152,77.7592909616821
B08141_034M Standard Error For!!Worked at home:!!2 vehicles available,270.51671732522794,98.78933818733897
B08141_035M Standard Error For!!Worked at home:!!3 or more vehicles available,223.10030395136778,36.06661878222815
B08301_001E Total:,178694.0,13019.0
"B08301_002E Car, truck, or van:",119731.0,10203.0
"B08301_003E Car, truck, or van:!!Drove alone",100657.0,8240.0
"B08301_004E Car, truck, or van:!!Carpooled:",19074.0,1963.0
B08301_010E Public transportation (excluding taxicab):,32009.0,1833.0
B08301_011E Public transportation (excluding taxicab):!!Bus or trolley bus,14495.0,1163.0
B08301_012E Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico),449.0,0.0
B08301_013E Public transportation (excluding taxicab):!!Subway or elevated,16260.0,631.0
B08301_014E Public transportation (excluding taxicab):!!Railroad,714.0,39.0
B08301_015E Public transportation (excluding taxicab):!!Ferryboat,91.0,0.0
B08301_016E Taxicab,141.0,10.0
B08301_017E Motorcycle,568.0,8.0
B08301_018E Bicycle,4346.0,23.0
B08301_019E Walked,7585.0,150.0
B08301_020E Other means,2764.0,343.0
B08301_021E Worked at home,11550.0,449.0
B08301_001M Standard Error For!!Total:,1317.9331306990882,483.98755729621513
"B08301_002M Standard Error For!!Car, truck, or van:",1249.8480243161093,423.54464317576986
"B08301_003M Standard Error For!!Car, truck, or van:!!Drove alone",1239.5136778115502,382.6664428575141
"B08301_004M Standard Error For!!Car, truck, or van:!!Carpooled:",700.9118541033434,249.10590203222253
"B08301_005M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 2-person carpool",530.0911854103343,202.11646105596452
"B08301_006M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 3-person carpool",344.0729483282675,141.08583032587146
"B08301_007M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 4-person carpool",111.24620060790274,35.67513860455006
"B08301_008M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool",152.5835866261398,24.62568887602321
"B08301_009M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool",96.04863221884499,25.912634025467614
B08301_010M Standard Error For!!Public transportation (excluding taxicab):,694.224924012158,192.35967610272587
B08301_011M Standard Error For!!Public transportation (excluding taxicab):!!Bus or trolley bus,576.2917933130699,159.3285121445593
B08301_012M Standard Error For!!Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico),79.0273556231003,25.912634025467614
B08301_013M Standard Error For!!Public transportation (excluding taxicab):!!Subway or elevated,494.83282674772033,115.82421726388694
B08301_014M Standard Error For!!Public transportation (excluding taxicab):!!Railroad,128.26747720364742,36.47922963812157
B08301_015M Standard Error For!!Public transportation (excluding taxicab):!!Ferryboat,41.94528875379939,25.912634025467614
B08301_016M Standard Error For!!Taxicab,55.319148936170215,26.525743743795047
B08301_017M Standard Error For!!Motorcycle,85.1063829787234,24.595657536953077
B08301_018M Standard Error For!!Bicycle,283.28267477203644,24.95364833042406
B08301_019M Standard Error For!!Walked,429.1793313069909,46.59882771242991
B08301_020M Standard Error For!!Other means,263.2218844984802,94.55183997677122
B08301_021M Standard Error For!!Worked at home,487.53799392097267,133.00156121737584
B15002_001E Total:,271407.0,20865.0
B15002_002E Male:,128900.0,9775.0
B15002_003E Male:!!No schooling completed,4006.0,548.0
B15002_004E Male:!!Nursery to 4th grade,2605.0,533.0
B15002_005E Male:!!5th and 6th grade,6157.0,1003.0
B15002_006E Male:!!7th and 8th grade,2907.0,511.0
B15002_007E Male:!!9th grade,3223.0,515.0
B15002_008E Male:!!10th grade,2312.0,473.0
B15002_009E Male:!!11th grade,2636.0,522.0
"B15002_010E Male:!!12th grade, no diploma",3162.0,346.0
"B15002_011E Male:!!High school graduate, GED, or alternative",23798.0,2748.0
"B15002_012E Male:!!Some college, less than 1 year",4677.0,194.0
"B15002_013E Male:!!Some college, 1 or more years, no degree",19986.0,1560.0
B15002_014E Male:!!Associate's degree,6910.0,378.0
B15002_015E Male:!!Bachelor's degree,27227.0,365.0
B15002_016E Male:!!Master's degree,11862.0,61.0
B15002_017E Male:!!Professional school degree,4001.0,6.0
B15002_018E Male:!!Doctorate degree,3431.0,12.0
B15002_019E Female:,142507.0,11090.0
B15002_020E Female:!!No schooling completed,5191.0,436.0
B15002_021E Female:!!Nursery to 4th grade,2771.0,454.0
B15002_022E Female:!!5th and 6th grade,5542.0,847.0
B15002_023E Female:!!7th and 8th grade,2844.0,316.0
B15002_024E Female:!!9th grade,3085.0,541.0
B15002_025E Female:!!10th grade,2480.0,365.0
B15002_026E Female:!!11th grade,3298.0,412.0
"B15002_027E Female:!!12th grade, no diploma",2870.0,417.0
"B15002_028E Female:!!High school graduate, GED, or alternative",23324.0,3109.0
"B15002_029E Female:!!Some college, less than 1 year",5880.0,376.0
"B15002_030E Female:!!Some college, 1 or more years, no degree",20352.0,1801.0
B15002_031E Female:!!Associate's degree,8530.0,698.0
B15002_032E Female:!!Bachelor's degree,31678.0,1071.0
B15002_033E Female:!!Master's degree,17088.0,166.0
B15002_034E Female:!!Professional school degree,4497.0,50.0
B15002_035E Female:!!Doctorate degree,3077.0,31.0
B15002_001M Standard Error For!!Total:,1064.437689969605,632.1571749206378
B15002_002M Standard Error For!!Male:,930.0911854103343,394.8855876824559
B15002_003M Standard Error For!!Male:!!No schooling completed,308.20668693009117,122.943725703881
B15002_004M Standard Error For!!Male:!!Nursery to 4th grade,246.20060790273556,125.0803272910559
B15002_005M Standard Error For!!Male:!!5th and 6th grade,393.9209726443769,141.43246140386296
B15002_006M Standard Error For!!Male:!!7th and 8th grade,251.67173252279636,97.99686239334851
B15002_007M Standard Error For!!Male:!!9th grade,288.14589665653494,92.80029002923469
B15002_008M Standard Error For!!Male:!!10th grade,233.43465045592706,95.20036330313572
B15002_009M Standard Error For!!Male:!!11th grade,232.21884498480242,114.15791858937992
"B15002_010M Standard Error For!!Male:!!12th grade, no diploma",253.49544072948328,73.1885608680107
"B15002_011M Standard Error For!!Male:!!High school graduate, GED, or alternative",741.0334346504559,221.05269409607428
"B15002_012M Standard Error For!!Male:!!Some college, less than 1 year",283.28267477203644,46.4717686410125
"B15002_013M Standard Error For!!Male:!!Some college, 1 or more years, no degree",569.6048632218844,181.19682918418664
B15002_014M Standard Error For!!Male:!!Associate's degree,333.7386018237082,76.87025638767699
B15002_015M Standard Error For!!Male:!!Bachelor's degree,668.693009118541,75.52931566717791
B15002_016M Standard Error For!!Male:!!Master's degree,345.2887537993921,41.10429545137256
B15002_017M Standard Error For!!Male:!!Professional school degree,235.86626139817628,24.262859627325355
B15002_018M Standard Error For!!Male:!!Doctorate degree,240.72948328267478,27.247337180565314
B15002_019M Standard Error For!!Female:,781.1550151975683,362.82882421890815
B15002_020M Standard Error For!!Female:!!No schooling completed,277.2036474164134,97.53382148590491
B15002_021M Standard Error For!!Female:!!Nursery to 4th grade,204.86322188449847,113.79478077582013
B15002_022M Standard Error For!!Female:!!5th and 6th grade,339.209726443769,122.14156278044803
B15002_023M Standard Error For!!Female:!!7th and 8th grade,241.9452887537994,77.49269777496633
B15002_024M Standard Error For!!Female:!!9th grade,252.27963525835867,101.02714328306249
B15002_025M Standard Error For!!Female:!!10th grade,217.02127659574467,77.65228762082833
B15002_026M Standard Error For!!Female:!!11th grade,258.96656534954406,83.02936651144418
"B15002_027M Standard Error For!!Female:!!12th grade, no diploma",209.72644376899694,80.70924783927968
"B15002_028M Standard Error For!!Female:!!High school graduate, GED, or alternative",738.6018237082067,235.35965397781914
"B15002_029M Standard Error For!!Female:!!Some college, less than 1 year",326.4437689969605,75.16392226661998
"B15002_030M Standard Error For!!Female:!!Some college, 1 or more years, no degree",610.3343465045592,180.08496520108363
B15002_031M Standard Error For!!Female:!!Associate's degree,378.11550151975683,112.63274642772951
B15002_032M Standard Error For!!Female:!!Bachelor's degree,739.8176291793313,141.89028047071278
B15002_033M Standard Error For!!Female:!!Master's degree,506.3829787234042,46.658267544040754
B15002_034M Standard Error For!!Female:!!Professional school degree,228.57142857142856,28.4872328604498
B15002_035M Standard Error For!!Female:!!Doctorate degree,195.13677811550153,25.712201802500427
B17020B_001E Total:,105744.0,11974.0
B17020B_002E Income in the past 12 months below poverty level:,27238.0,3038.0
B17020B_010E Income in the past 12 months at or above poverty level:,78506.0,8936.0
B17020C_001E Total:,2476.0,245.0
B17020C_002E Income in the past 12 months below poverty level:,544.0,50.0
B17020C_010E Income in the past 12 months at or above poverty level:,1932.0,195.0
B17020D_001E Total:,64641.0,1909.0
B17020D_002E Income in the past 12 months below poverty level:,13292.0,366.0
B17020D_010E Income in the past 12 months at or above poverty level:,51349.0,1543.0
B17020E_001E Total:,2483.0,424.0
B17020E_002E Income in the past 12 months below poverty level:,943.0,53.0
B17020E_010E Income in the past 12 months at or above poverty level:,1540.0,371.0
B17020F_001E Total:,41578.0,9332.0
B17020F_002E Income in the past 12 months below poverty level:,11406.0,2264.0
B17020F_010E Income in the past 12 months at or above poverty level:,30172.0,7068.0
B17020G_001E Total:,19609.0,1489.0
B17020G_002E Income in the past 12 months below poverty level:,3816.0,318.0
B17020G_010E Income in the past 12 months at or above poverty level:,15793.0,1171.0
B17020H_001E Total:,100928.0,1444.0
B17020H_002E Income in the past 12 months below poverty level:,9306.0,525.0
B17020H_010E Income in the past 12 months at or above poverty level:,91622.0,919.0
B17020I_001E Total:,98766.0,20285.0
B17020I_002E Income in the past 12 months below poverty level:,24929.0,4694.0
B17020I_010E Income in the past 12 months at or above poverty level:,73837.0,15591.0
B17020B_001M Standard Error For!!Total:,1289.9696048632218,607.1085998301244
B17020B_002M Standard Error For!!Income in the past 12 months below poverty level:,948.936170212766,312.8455536291541
B17020B_010M Standard Error For!!Income in the past 12 months at or above poverty level:,1406.079027355623,584.2969967288553
B17020C_001M Standard Error For!!Total:,280.24316109422494,77.82579656816146
B17020C_002M Standard Error For!!Income in the past 12 months below poverty level:,110.63829787234043,42.2043889549174
B17020C_010M Standard Error For!!Income in the past 12 months at or above poverty level:,271.1246200607903,65.40536246231132
B17020D_001M Standard Error For!!Total:,1218.8449848024316,292.05914942249893
B17020D_002M Standard Error For!!Income in the past 12 months below poverty level:,872.3404255319149,161.20429800261223
B17020D_010M Standard Error For!!Income in the past 12 months at or above poverty level:,1102.7355623100304,249.7496459893146
B17020E_001M Standard Error For!!Total:,398.7841945288754,160.8210105014983
B17020E_002M Standard Error For!!Income in the past 12 months below poverty level:,280.24316109422494,62.802560770281374
B17020E_010M Standard Error For!!Income in the past 12 months at or above poverty level:,332.52279635258355,146.98052311520772
B17020F_001M Standard Error For!!Total:,1700.9118541033436,979.8043833123609
B17020F_002M Standard Error For!!Income in the past 12 months below poverty level:,927.0516717325228,427.9013494485569
B17020F_010M Standard Error For!!Income in the past 12 months at or above poverty level:,1483.8905775075987,892.1164747857842
B17020G_001M Standard Error For!!Total:,817.0212765957447,339.87852274523436
B17020G_002M Standard Error For!!Income in the past 12 months below poverty level:,372.0364741641337,127.14616692162805
B17020G_010M Standard Error For!!Income in the past 12 months at or above poverty level:,710.6382978723404,314.71166305463186
B17020H_001M Standard Error For!!Total:,1086.322188449848,226.1667794496869
B17020H_002M Standard Error For!!Income in the past 12 months below poverty level:,600.0,163.6568553441143
B17020H_010M Standard Error For!!Income in the past 12 months at or above poverty level:,1093.6170212765958,164.32275506162767
B17020I_001M Standard Error For!!Total:,1257.7507598784193,1062.9248430692735
B17020I_002M Standard Error For!!Income in the past 12 months below poverty level:,1104.5592705167173,556.145624354104
B17020I_010M Standard Error For!!Income in the past 12 months at or above poverty level:,1416.4133738601824,982.5524975705698
B23001_001E Total:,316941.0,26276.0
B23001_002E Male:,151182.0,12710.0
B23001_003E Male:!!16 to 19 years:,9405.0,1281.0
B23001_004E Male:!!16 to 19 years:!!In labor force:,2706.0,492.0
B23001_005E Male:!!16 to 19 years:!!In labor force:!!In Armed Forces,0.0,0.0
B23001_006E Male:!!16 to 19 years:!!In labor force:!!Civilian:,2706.0,492.0
B23001_007E Male:!!16 to 19 years:!!In labor force:!!Civilian:!!Employed,1481.0,210.0
B23001_008E Male:!!16 to 19 years:!!In labor force:!!Civilian:!!Unemployed,1225.0,282.0
B23001_009E Male:!!16 to 19 years:!!Not in labor force,6699.0,789.0
B23001_010E Male:!!20 and 21 years:,4916.0,655.0
B23001_011E Male:!!20 and 21 years:!!In labor force:,2995.0,479.0
B23001_012E Male:!!20 and 21 years:!!In labor force:!!In Armed Forces,22.0,0.0
B23001_013E Male:!!20 and 21 years:!!In labor force:!!Civilian:,2973.0,479.0
B23001_014E Male:!!20 and 21 years:!!In labor force:!!Civilian:!!Employed,2101.0,364.0
B23001_015E Male:!!20 and 21 years:!!In labor force:!!Civilian:!!Unemployed,872.0,115.0
B23001_016E Male:!!20 and 21 years:!!Not in labor force,1921.0,176.0
B23001_017E Male:!!22 to 24 years:,7961.0,999.0
B23001_018E Male:!!22 to 24 years:!!In labor force:,6016.0,820.0
B23001_019E Male:!!22 to 24 years:!!In labor force:!!In Armed Forces,9.0,1.0
B23001_020E Male:!!22 to 24 years:!!In labor force:!!Civilian:,6007.0,819.0
B23001_021E Male:!!22 to 24 years:!!In labor force:!!Civilian:!!Employed,4668.0,588.0
B23001_022E Male:!!22 to 24 years:!!In labor force:!!Civilian:!!Unemployed,1339.0,231.0
B23001_023E Male:!!22 to 24 years:!!Not in labor force,1945.0,179.0
B23001_024E Male:!!25 to 29 years:,16058.0,1511.0
B23001_025E Male:!!25 to 29 years:!!In labor force:,13893.0,1282.0
B23001_026E Male:!!25 to 29 years:!!In labor force:!!In Armed Forces,119.0,0.0
B23001_027E Male:!!25 to 29 years:!!In labor force:!!Civilian:,13774.0,1282.0
B23001_028E Male:!!25 to 29 years:!!In labor force:!!Civilian:!!Employed,12209.0,1106.0
B23001_029E Male:!!25 to 29 years:!!In labor force:!!Civilian:!!Unemployed,1565.0,176.0
B23001_030E Male:!!25 to 29 years:!!Not in labor force,2165.0,229.0
B23001_031E Male:!!30 to 34 years:,16419.0,1502.0
B23001_032E Male:!!30 to 34 years:!!In labor force:,14858.0,1361.0
B23001_033E Male:!!30 to 34 years:!!In labor force:!!In Armed Forces,49.0,0.0
B23001_034E Male:!!30 to 34 years:!!In labor force:!!Civilian:,14809.0,1361.0
B23001_035E Male:!!30 to 34 years:!!In labor force:!!Civilian:!!Employed,13583.0,1164.0
B23001_036E Male:!!30 to 34 years:!!In labor force:!!Civilian:!!Unemployed,1226.0,197.0
B23001_037E Male:!!30 to 34 years:!!Not in labor force,1561.0,141.0
B23001_038E Male:!!35 to 44 years:,31024.0,2718.0
B23001_039E Male:!!35 to 44 years:!!In labor force:,28018.0,2495.0
B23001_040E Male:!!35 to 44 years:!!In labor force:!!In Armed Forces,0.0,0.0
B23001_041E Male:!!35 to 44 years:!!In labor force:!!Civilian:,28018.0,2495.0
B23001_042E Male:!!35 to 44 years:!!In labor force:!!Civilian:!!Employed,25708.0,2084.0
B23001_043E Male:!!35 to 44 years:!!In labor force:!!Civilian:!!Unemployed,2310.0,411.0
B23001_044E Male:!!35 to 44 years:!!Not in labor force,3006.0,223.0
B23001_045E Male:!!45 to 54 years:,25654.0,2109.0
B23001_046E Male:!!45 to 54 years:!!In labor force:,21392.0,1501.0
B23001_047E Male:!!45 to 54 years:!!In labor force:!!In Armed Forces,85.0,0.0
B23001_048E Male:!!45 to 54 years:!!In labor force:!!Civilian:,21307.0,1501.0
B23001_049E Male:!!45 to 54 years:!!In labor force:!!Civilian:!!Employed,18845.0,1241.0
B23001_050E Male:!!45 to 54 years:!!In labor force:!!Civilian:!!Unemployed,2462.0,260.0
B23001_051E Male:!!45 to 54 years:!!Not in labor force,4262.0,608.0
B23001_052E Male:!!55 to 59 years:,11363.0,743.0
B23001_053E Male:!!55 to 59 years:!!In labor force:,8473.0,454.0
B23001_054E Male:!!55 to 59 years:!!In labor force:!!In Armed Forces,0.0,0.0
