,Total:,No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,county
06001408100,2753.0,31.0,89.0,693.0,1185.0,568.0,187.0,ala
06001408200,1971.0,11.0,314.0,976.0,579.0,78.0,13.0,ala
06001408300,1954.0,4.0,214.0,723.0,780.0,233.0,0.0,ala
06001408400,1419.0,11.0,239.0,669.0,431.0,69.0,0.0,ala
06001408500,1765.0,32.0,202.0,1004.0,408.0,109.0,10.0,ala
06001408600,1963.0,35.0,355.0,893.0,489.0,116.0,75.0,ala
06001408700,2623.0,66.0,400.0,1253.0,829.0,63.0,12.0,ala
06001408800,1848.0,25.0,343.0,722.0,649.0,57.0,52.0,ala
06001408900,1141.0,0.0,288.0,535.0,237.0,70.0,11.0,ala
06001409000,1084.0,0.0,45.0,383.0,507.0,111.0,38.0,ala
06001409100,724.0,0.0,0.0,331.0,304.0,89.0,0.0,ala
06001409200,944.0,0.0,46.0,379.0,459.0,60.0,0.0,ala
06001409300,1678.0,18.0,219.0,861.0,441.0,98.0,41.0,ala
06001409400,1208.0,45.0,189.0,630.0,277.0,50.0,17.0,ala
06001409500,994.0,7.0,87.0,465.0,339.0,96.0,0.0,ala
06001409600,1702.0,19.0,99.0,908.0,474.0,188.0,14.0,ala
06001409700,1816.0,21.0,304.0,920.0,483.0,79.0,9.0,ala
06001409800,1391.0,0.0,216.0,534.0,513.0,75.0,53.0,ala
06001409900,1464.0,41.0,12.0,232.0,787.0,333.0,59.0,ala
06001410000,1243.0,0.0,33.0,359.0,614.0,212.0,25.0,ala
06001410100,1038.0,0.0,135.0,273.0,422.0,157.0,51.0,ala
06001410200,1264.0,0.0,176.0,712.0,340.0,28.0,8.0,ala
06001410300,1116.0,37.0,176.0,618.0,257.0,14.0,14.0,ala
06001410400,1427.0,58.0,174.0,522.0,552.0,99.0,22.0,ala
06001410500,1146.0,64.0,239.0,445.0,292.0,70.0,36.0,ala
06001420100,962.0,0.0,93.0,410.0,308.0,143.0,8.0,ala
06001420200,1309.0,23.0,298.0,667.0,253.0,58.0,10.0,ala
06001420300,2150.0,0.0,580.0,1119.0,281.0,170.0,0.0,ala
06001420400,952.0,0.0,172.0,708.0,72.0,0.0,0.0,ala
06001420500,1029.0,31.0,137.0,584.0,205.0,72.0,0.0,ala
06001420600,1353.0,0.0,215.0,509.0,420.0,128.0,81.0,ala
06001421100,854.0,0.0,0.0,159.0,446.0,213.0,36.0,ala
06001421200,1465.0,0.0,0.0,119.0,627.0,475.0,244.0,ala
06001421300,1679.0,9.0,186.0,413.0,606.0,317.0,148.0,ala
06001421400,679.0,20.0,38.0,83.0,210.0,249.0,79.0,ala
06001421500,1608.0,29.0,127.0,254.0,728.0,352.0,118.0,ala
06001421600,1669.0,104.0,249.0,307.0,508.0,347.0,154.0,ala
06001421700,1671.0,65.0,477.0,621.0,309.0,145.0,54.0,ala
06001421800,919.0,9.0,142.0,280.0,302.0,177.0,9.0,ala
06001421900,1791.0,62.0,354.0,870.0,364.0,141.0,0.0,ala
06001422000,574.0,29.0,164.0,246.0,129.0,6.0,0.0,ala
06001422100,1102.0,42.0,343.0,449.0,186.0,62.0,20.0,ala
06001422200,1637.0,76.0,615.0,668.0,164.0,62.0,52.0,ala
06001422300,1707.0,122.0,533.0,646.0,289.0,79.0,38.0,ala
06001422400,2232.0,301.0,1115.0,513.0,188.0,54.0,61.0,ala
06001422500,1647.0,258.0,793.0,404.0,93.0,62.0,37.0,ala
06001422600,27.0,0.0,9.0,0.0,10.0,0.0,8.0,ala
06001422700,1076.0,69.0,390.0,356.0,85.0,77.0,99.0,ala
06001422800,1540.0,218.0,828.0,294.0,56.0,72.0,72.0,ala
06001422900,1890.0,430.0,783.0,577.0,60.0,10.0,30.0,ala
06001423000,2114.0,63.0,520.0,989.0,425.0,64.0,53.0,ala
06001423100,1939.0,168.0,593.0,759.0,296.0,88.0,35.0,ala
06001423200,1154.0,109.0,255.0,419.0,236.0,93.0,42.0,ala
06001423300,1641.0,45.0,444.0,571.0,499.0,82.0,0.0,ala
06001423400,2174.0,95.0,792.0,790.0,407.0,77.0,13.0,ala
06001423500,1432.0,105.0,295.0,480.0,308.0,166.0,78.0,ala
06001423601,1293.0,65.0,411.0,411.0,203.0,109.0,94.0,ala
06001423602,2546.0,348.0,928.0,878.0,219.0,66.0,107.0,ala
