,Total:,No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,county
06013303201,3021.0,0.0,212.0,231.0,782.0,1118.0,678.0,con
06013303202,2130.0,0.0,0.0,82.0,539.0,916.0,593.0,con
06013303203,2587.0,0.0,51.0,481.0,448.0,1052.0,555.0,con
06013303204,1459.0,0.0,127.0,359.0,557.0,369.0,47.0,con
06013303205,3234.0,0.0,14.0,1471.0,828.0,617.0,304.0,con
06013304001,1031.0,0.0,33.0,51.0,208.0,519.0,220.0,con
06013304002,561.0,0.0,0.0,79.0,332.0,142.0,8.0,con
06013304003,1767.0,0.0,0.0,265.0,968.0,420.0,114.0,con
06013304004,1779.0,0.0,35.0,141.0,1270.0,274.0,59.0,con
06013304005,1859.0,6.0,31.0,121.0,626.0,795.0,280.0,con
06013305000,2443.0,103.0,471.0,1020.0,663.0,144.0,42.0,con
06013306002,1140.0,0.0,0.0,211.0,545.0,373.0,11.0,con
06013306003,1828.0,57.0,220.0,457.0,864.0,198.0,32.0,con
06013306004,1264.0,47.0,108.0,205.0,685.0,184.0,35.0,con
06013307101,1522.0,8.0,112.0,180.0,614.0,565.0,43.0,con
06013307102,1818.0,0.0,203.0,690.0,720.0,205.0,0.0,con
06013307201,1173.0,9.0,32.0,502.0,518.0,112.0,0.0,con
06013307202,1656.0,12.0,322.0,1050.0,179.0,93.0,0.0,con
06013307204,1351.0,0.0,49.0,10.0,792.0,468.0,32.0,con
06013307205,2742.0,0.0,590.0,863.0,884.0,362.0,43.0,con
06013308001,2573.0,0.0,57.0,51.0,1624.0,807.0,34.0,con
06013308002,1384.0,0.0,15.0,11.0,513.0,714.0,131.0,con
06013309000,1068.0,34.0,134.0,33.0,651.0,216.0,0.0,con
06013310000,1800.0,20.0,241.0,498.0,595.0,348.0,98.0,con
06013311000,1581.0,0.0,111.0,436.0,694.0,300.0,40.0,con
06013312000,815.0,0.0,49.0,235.0,460.0,62.0,9.0,con
06013313101,2992.0,11.0,565.0,944.0,1121.0,351.0,0.0,con
06013313102,1408.0,0.0,173.0,328.0,513.0,335.0,59.0,con
06013313103,2523.0,0.0,278.0,374.0,862.0,715.0,294.0,con
06013313203,985.0,9.0,17.0,60.0,535.0,290.0,74.0,con
06013313204,1887.0,12.0,192.0,477.0,657.0,460.0,89.0,con
06013313205,534.0,0.0,0.0,25.0,330.0,167.0,12.0,con
06013313206,1689.0,0.0,19.0,184.0,1168.0,318.0,0.0,con
06013314102,1746.0,21.0,90.0,248.0,883.0,504.0,0.0,con
06013314103,1798.0,107.0,151.0,508.0,787.0,222.0,23.0,con
06013314104,2652.0,18.0,218.0,1313.0,811.0,292.0,0.0,con
06013314200,1867.0,0.0,31.0,490.0,1044.0,293.0,9.0,con
06013315000,1263.0,0.0,42.0,156.0,736.0,312.0,17.0,con
06013316000,509.0,122.0,122.0,182.0,49.0,34.0,0.0,con
06013317000,1114.0,43.0,252.0,487.0,298.0,22.0,12.0,con
06013318000,1586.0,25.0,385.0,513.0,532.0,111.0,20.0,con
06013319000,3313.0,0.0,467.0,1145.0,1368.0,292.0,41.0,con
06013320001,1279.0,0.0,46.0,277.0,618.0,272.0,66.0,con
06013320003,1098.0,0.0,95.0,179.0,462.0,293.0,69.0,con
06013320004,2634.0,73.0,319.0,649.0,766.0,722.0,105.0,con
06013321101,2592.0,0.0,117.0,358.0,1453.0,602.0,62.0,con
06013321102,2844.0,8.0,32.0,652.0,1178.0,841.0,133.0,con
06013321103,1922.0,0.0,69.0,263.0,789.0,616.0,185.0,con
06013321200,2398.0,30.0,473.0,636.0,985.0,274.0,0.0,con
06013322000,2628.0,62.0,218.0,300.0,1290.0,666.0,92.0,con
06013323000,1770.0,0.0,41.0,225.0,1112.0,314.0,78.0,con
06013324001,2715.0,385.0,992.0,842.0,432.0,49.0,15.0,con
06013324002,2600.0,105.0,712.0,990.0,567.0,193.0,33.0,con
06013325000,2150.0,96.0,157.0,353.0,1058.0,392.0,94.0,con
06013326000,1370.0,11.0,70.0,100.0,618.0,500.0,71.0,con
06013327000,2985.0,11.0,351.0,1373.0,1077.0,152.0,21.0,con
06013328000,1383.0,189.0,724.0,356.0,114.0,0.0,0.0,con
06013329000,2400.0,0.0,211.0,494.0,1280.0,358.0,57.0,con
06013330000,2044.0,0.0,0.0,143.0,1446.0,388.0,67.0,con
06013331000,2769.0,0.0,383.0,917.0,1030.0,361.0,78.0,con
06013332000,2949.0,12.0,73.0,528.0,1715.0,524.0,97.0,con
06013333101,1546.0,0.0,47.0,287.0,919.0,238.0,55.0,con
06013333102,1617.0,0.0,185.0,337.0,531.0,502.0,62.0,con
06013333200,2273.0,0.0,252.0,238.0,914.0,786.0,83.0,con
06013334001,1526.0,0.0,283.0,230.0,452.0,535.0,26.0,con
06013334004,3416.0,92.0,392.0,1368.0,1001.0,546.0,17.0,con
06013334006,1789.0,0.0,0.0,87.0,739.0,905.0,58.0,con
06013334200,2807.0,27.0,351.0,312.0,1002.0,870.0,245.0,con
06013335000,1322.0,0.0,8.0,347.0,758.0,193.0,16.0,con
06013336101,1688.0,66.0,619.0,518.0,417.0,42.0,26.0,con
06013336102,2799.0,29.0,1088.0,1446.0,203.0,33.0,0.0,con
06013336201,1149.0,29.0,48.0,308.0,612.0,106.0,46.0,con
06013336202,1793.0,37.0,672.0,838.0,211.0,13.0,22.0,con
06013337100,1196.0,0.0,49.0,242.0,361.0,360.0,184.0,con
06013337200,3227.0,14.0,542.0,1222.0,842.0,598.0,9.0,con
06013337300,2379.0,11.0,81.0,245.0,863.0,993.0,186.0,con
06013338101,1853.0,128.0,223.0,840.0,509.0,120.0,33.0,con
06013338102,1403.0,0.0,18.0,77.0,788.0,485.0,35.0,con
06013338201,1438.0,0.0,31.0,206.0,416.0,672.0,113.0,con
06013338203,2720.0,0.0,1075.0,1152.0,307.0,114.0,72.0,con
06013338204,2897.0,0.0,591.0,1268.0,720.0,255.0,63.0,con
06013338301,1052.0,40.0,0.0,0.0,157.0,703.0,152.0,con
06013338302,2174.0,0.0,15.0,166.0,647.0,1034.0,312.0,con
06013339001,2055.0,155.0,931.0,938.0,31.0,0.0,0.0,con
06013339002,3250.0,194.0,1042.0,1557.0,427.0,30.0,0.0,con
06013340001,2624.0,11.0,350.0,947.0,906.0,410.0,0.0,con
06013340002,3096.0,49.0,119.0,799.0,1388.0,595.0,146.0,con
06013341000,2115.0,0.0,276.0,676.0,662.0,352.0,149.0,con
06013343001,2163.0,57.0,450.0,700.0,320.0,512.0,124.0,con
06013343002,2100.0,86.0,234.0,377.0,729.0,456.0,218.0,con
06013343003,1466.0,0.0,123.0,108.0,519.0,580.0,136.0,con
06013345101,2158.0,0.0,146.0,331.0,739.0,800.0,142.0,con
06013345102,1377.0,0.0,0.0,23.0,597.0,679.0,78.0,con
06013345103,2016.0,63.0,219.0,163.0,503.0,861.0,207.0,con
06013345105,2171.0,0.0,9.0,341.0,639.0,895.0,287.0,con
06013345108,3473.0,101.0,283.0,1433.0,832.0,746.0,78.0,con
06013345111,2043.0,0.0,461.0,489.0,332.0,582.0,179.0,con
06013345112,2218.0,0.0,597.0,375.0,485.0,549.0,212.0,con
06013345113,1504.0,0.0,0.0,101.0,443.0,818.0,142.0,con
06013345114,2556.0,20.0,0.0,404.0,796.0,1175.0,161.0,con
06013345115,1866.0,0.0,0.0,192.0,289.0,929.0,456.0,con
06013345116,981.0,0.0,0.0,28.0,308.0,632.0,13.0,con
06013345202,3408.0,0.0,481.0,954.0,1196.0,645.0,132.0,con
06013345203,2656.0,9.0,169.0,426.0,932.0,978.0,142.0,con
06013345204,1326.0,0.0,0.0,13.0,473.0,492.0,348.0,con
06013346101,1332.0,0.0,0.0,26.0,512.0,575.0,219.0,con
06013346102,2048.0,0.0,31.0,76.0,521.0,949.0,471.0,con
06013346201,2599.0,18.0,86.0,78.0,929.0,1147.0,341.0,con
06013346203,1452.0,0.0,0.0,104.0,534.0,686.0,128.0,con
06013346204,2492.0,0.0,0.0,94.0,816.0,1068.0,514.0,con
06013347000,2306.0,20.0,66.0,131.0,772.0,1041.0,276.0,con
06013348000,1680.0,24.0,0.0,137.0,589.0,720.0,210.0,con
06013349000,1977.0,11.0,109.0,612.0,813.0,377.0,55.0,con
06013350000,2408.0,0.0,487.0,797.0,540.0,450.0,134.0,con
06013351101,2181.0,0.0,191.0,1802.0,188.0,0.0,0.0,con
06013351102,3087.0,0.0,253.0,2672.0,103.0,46.0,13.0,con
06013351103,1444.0,0.0,146.0,1115.0,168.0,0.0,15.0,con
06013351200,2026.0,0.0,0.0,31.0,898.0,851.0,246.0,con
06013352101,811.0,0.0,0.0,131.0,139.0,358.0,183.0,con
06013352102,1791.0,0.0,0.0,201.0,550.0,830.0,210.0,con
06013352201,2290.0,8.0,214.0,520.0,655.0,693.0,200.0,con
06013352202,1005.0,0.0,33.0,380.0,403.0,173.0,16.0,con
06013353001,1339.0,0.0,37.0,130.0,464.0,535.0,173.0,con
06013353002,1505.0,0.0,20.0,69.0,564.0,678.0,174.0,con
06013354001,674.0,11.0,0.0,142.0,327.0,183.0,11.0,con
06013354002,2566.0,0.0,126.0,245.0,817.0,986.0,392.0,con
06013355107,1497.0,0.0,0.0,89.0,341.0,752.0,315.0,con
06013355108,3871.0,102.0,53.0,61.0,794.0,1679.0,1182.0,con
06013355109,2153.0,0.0,59.0,56.0,684.0,938.0,416.0,con
06013355110,1255.0,13.0,0.0,19.0,556.0,469.0,198.0,con
06013355111,2029.0,0.0,21.0,274.0,619.0,793.0,322.0,con
06013355112,2124.0,36.0,0.0,95.0,779.0,901.0,313.0,con
06013355113,1831.0,0.0,0.0,14.0,269.0,1213.0,335.0,con
06013355114,3458.0,83.0,160.0,246.0,943.0,1258.0,768.0,con
06013355115,1208.0,86.0,278.0,256.0,356.0,200.0,32.0,con
06013355116,1024.0,0.0,0.0,0.0,191.0,518.0,315.0,con
06013355117,1872.0,14.0,126.0,76.0,365.0,754.0,537.0,con
06013355200,2184.0,11.0,102.0,437.0,440.0,593.0,601.0,con
06013355301,2912.0,0.0,0.0,420.0,1048.0,949.0,495.0,con
06013355302,1222.0,0.0,9.0,28.0,181.0,648.0,356.0,con
06013355304,2985.0,0.0,221.0,477.0,1247.0,812.0,228.0,con
06013355306,1767.0,0.0,15.0,162.0,609.0,749.0,232.0,con
06013356001,1244.0,0.0,48.0,104.0,532.0,466.0,94.0,con
06013356002,2045.0,0.0,208.0,318.0,476.0,833.0,210.0,con
06013357000,1658.0,100.0,339.0,469.0,469.0,221.0,60.0,con
06013358000,2092.0,8.0,155.0,1039.0,601.0,189.0,100.0,con
06013359102,1933.0,0.0,194.0,412.0,953.0,342.0,32.0,con
06013359103,2051.0,35.0,114.0,538.0,971.0,381.0,12.0,con
06013359104,985.0,0.0,0.0,653.0,332.0,0.0,0.0,con
06013359105,1497.0,0.0,35.0,235.0,563.0,638.0,26.0,con
06013359202,2223.0,53.0,0.0,274.0,981.0,797.0,118.0,con
06013359203,2373.0,0.0,72.0,410.0,997.0,894.0,0.0,con
06013359204,1483.0,7.0,42.0,46.0,622.0,575.0,191.0,con
06013360101,1794.0,32.0,47.0,144.0,867.0,646.0,58.0,con
06013360102,1579.0,18.0,0.0,96.0,387.0,1000.0,78.0,con
06013360200,1945.0,50.0,171.0,510.0,930.0,244.0,40.0,con
06013361000,1857.0,0.0,239.0,540.0,722.0,325.0,31.0,con
06013362000,1192.0,7.0,78.0,388.0,507.0,144.0,68.0,con
06013363000,2828.0,0.0,67.0,1076.0,1382.0,176.0,127.0,con
06013364002,1921.0,0.0,210.0,144.0,1236.0,309.0,22.0,con
06013365002,1681.0,0.0,193.0,633.0,555.0,260.0,40.0,con
06013365003,2479.0,21.0,1265.0,637.0,320.0,236.0,0.0,con
06013366001,1309.0,11.0,99.0,374.0,602.0,194.0,29.0,con
06013366002,1721.0,10.0,151.0,596.0,826.0,87.0,51.0,con
06013367100,2162.0,171.0,754.0,237.0,789.0,200.0,11.0,con
06013367200,1650.0,9.0,168.0,389.0,860.0,185.0,39.0,con
06013368001,1439.0,17.0,59.0,687.0,565.0,95.0,16.0,con
06013368002,991.0,27.0,147.0,444.0,261.0,112.0,0.0,con
06013369001,2605.0,102.0,803.0,1162.0,450.0,88.0,0.0,con
06013369002,1113.0,22.0,75.0,545.0,349.0,38.0,84.0,con
06013370000,1227.0,0.0,19.0,300.0,652.0,227.0,29.0,con
06013371000,2120.0,13.0,203.0,1025.0,683.0,150.0,46.0,con
06013372000,2512.0,32.0,162.0,1087.0,1027.0,204.0,0.0,con
06013373000,1267.0,0.0,125.0,569.0,526.0,10.0,37.0,con
06013374000,1952.0,33.0,348.0,927.0,573.0,45.0,26.0,con
06013375000,1335.0,22.0,223.0,588.0,403.0,99.0,0.0,con
06013376000,2211.0,79.0,293.0,872.0,673.0,249.0,45.0,con
06013377000,2505.0,68.0,559.0,1183.0,507.0,188.0,0.0,con
06013378000,1913.0,120.0,252.0,605.0,712.0,171.0,53.0,con
06013379000,2128.0,0.0,194.0,1215.0,591.0,128.0,0.0,con
06013380000,2900.0,0.0,864.0,1229.0,598.0,122.0,87.0,con
06013381000,2191.0,46.0,153.0,1048.0,675.0,269.0,0.0,con
06013382000,2817.0,70.0,359.0,1051.0,842.0,439.0,56.0,con
06013383000,2171.0,111.0,188.0,1274.0,491.0,107.0,0.0,con
06013384000,1659.0,0.0,14.0,358.0,741.0,467.0,79.0,con
06013385100,1150.0,10.0,70.0,114.0,473.0,342.0,141.0,con
06013385200,574.0,8.0,23.0,82.0,358.0,103.0,0.0,con
06013386000,1482.0,23.0,389.0,711.0,291.0,56.0,12.0,con
06013387000,1134.0,0.0,169.0,480.0,409.0,54.0,22.0,con
06013388000,1131.0,65.0,110.0,540.0,313.0,90.0,13.0,con
06013389100,910.0,15.0,154.0,432.0,244.0,54.0,11.0,con
06013389200,815.0,12.0,155.0,541.0,82.0,18.0,7.0,con
06013390100,938.0,11.0,92.0,232.0,278.0,215.0,110.0,con
06013390200,768.0,0.0,16.0,351.0,317.0,84.0,0.0,con
06013391000,1138.0,18.0,37.0,271.0,412.0,317.0,83.0,con
06013392000,1134.0,0.0,34.0,303.0,514.0,270.0,13.0,con
06013392200,3339.0,22.0,180.0,848.0,1293.0,804.0,192.0,con
06013392300,906.0,0.0,71.0,142.0,59.0,282.0,352.0,con
06013990000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,con
06041101100,1053.0,25.0,18.0,155.0,337.0,360.0,158.0,mar
06041101200,1027.0,0.0,23.0,203.0,523.0,251.0,27.0,mar
06041102100,938.0,0.0,9.0,103.0,251.0,471.0,104.0,mar
06041102202,2215.0,9.0,72.0,430.0,887.0,750.0,67.0,mar
06041102203,1978.0,82.0,302.0,667.0,679.0,224.0,24.0,mar
06041103100,2716.0,0.0,117.0,66.0,1244.0,1062.0,227.0,mar
06041103200,2535.0,100.0,291.0,578.0,959.0,541.0,66.0,mar
06041104101,3118.0,53.0,191.0,452.0,1295.0,849.0,278.0,mar
06041104102,2129.0,14.0,254.0,815.0,813.0,224.0,9.0,mar
06041104200,2432.0,32.0,199.0,780.0,887.0,405.0,129.0,mar
06041104300,678.0,0.0,0.0,75.0,350.0,247.0,6.0,mar
06041105000,2711.0,24.0,108.0,1049.0,985.0,447.0,98.0,mar
06041106001,2289.0,31.0,620.0,1215.0,376.0,47.0,0.0,mar
06041106002,2211.0,0.0,197.0,487.0,837.0,650.0,40.0,mar
06041107000,2506.0,0.0,88.0,212.0,845.0,1195.0,166.0,mar
06041108100,2756.0,0.0,126.0,353.0,1089.0,890.0,298.0,mar
06041108200,3147.0,48.0,792.0,800.0,864.0,494.0,149.0,mar
06041109001,1827.0,40.0,563.0,388.0,547.0,289.0,0.0,mar
06041109002,1924.0,30.0,438.0,432.0,603.0,356.0,65.0,mar
06041110100,2555.0,48.0,551.0,871.0,663.0,287.0,135.0,mar
06041110200,2371.0,0.0,14.0,228.0,959.0,988.0,182.0,mar
06041111000,3029.0,318.0,914.0,817.0,709.0,252.0,19.0,mar
06041112100,2023.0,181.0,301.0,577.0,697.0,232.0,35.0,mar
06041112201,1932.0,189.0,414.0,981.0,328.0,20.0,0.0,mar
06041112202,1390.0,0.0,245.0,532.0,532.0,81.0,0.0,mar
06041113000,1554.0,0.0,247.0,536.0,538.0,200.0,33.0,mar
06041114100,2300.0,43.0,289.0,833.0,858.0,212.0,65.0,mar
06041114200,1361.0,31.0,191.0,433.0,441.0,250.0,15.0,mar
06041115000,2861.0,0.0,191.0,575.0,1268.0,696.0,131.0,mar
06041116000,1334.0,57.0,185.0,442.0,475.0,144.0,31.0,mar
06041117000,2158.0,55.0,402.0,757.0,576.0,279.0,89.0,mar
06041118100,845.0,27.0,33.0,82.0,316.0,228.0,159.0,mar
06041119100,1979.0,28.0,210.0,446.0,650.0,471.0,174.0,mar
06041119201,1956.0,45.0,611.0,901.0,358.0,13.0,28.0,mar
06041119202,1296.0,0.0,16.0,39.0,766.0,365.0,110.0,mar
06041120000,2921.0,38.0,688.0,738.0,854.0,552.0,51.0,mar
06041121100,2447.0,0.0,205.0,941.0,1030.0,271.0,0.0,mar
06041121200,2666.0,58.0,461.0,635.0,1009.0,458.0,45.0,mar
06041122000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mar
06041123000,1076.0,7.0,50.0,230.0,346.0,332.0,111.0,mar
06041124100,2298.0,110.0,278.0,358.0,742.0,475.0,335.0,mar
06041124200,2580.0,41.0,233.0,692.0,869.0,496.0,249.0,mar
06041125000,2126.0,117.0,490.0,691.0,479.0,286.0,63.0,mar
06041126100,2574.0,0.0,213.0,747.0,876.0,448.0,290.0,mar
06041126200,2260.0,13.0,645.0,668.0,557.0,273.0,104.0,mar
06041127000,2138.0,122.0,332.0,466.0,737.0,362.0,119.0,mar
06041128100,2787.0,0.0,207.0,679.0,1161.0,618.0,122.0,mar
06041128200,2077.0,43.0,160.0,442.0,914.0,380.0,138.0,mar
06041129000,1224.0,38.0,163.0,627.0,272.0,108.0,16.0,mar
06041130201,2163.0,78.0,627.0,763.0,454.0,206.0,35.0,mar
06041130202,2825.0,119.0,740.0,1272.0,628.0,66.0,0.0,mar
06041131100,516.0,73.0,69.0,152.0,184.0,38.0,0.0,mar
06041132100,1604.0,47.0,268.0,657.0,469.0,144.0,19.0,mar
06041132200,1298.0,111.0,118.0,475.0,351.0,234.0,9.0,mar
06041133000,1816.0,95.0,169.0,552.0,801.0,182.0,17.0,mar
06041990100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mar
06055200201,1370.0,21.0,180.0,573.0,422.0,163.0,11.0,nap
06055200202,1182.0,68.0,319.0,497.0,154.0,50.0,94.0,nap
06055200203,921.0,35.0,90.0,380.0,342.0,65.0,9.0,nap
06055200301,1794.0,32.0,274.0,601.0,658.0,229.0,0.0,nap
06055200302,907.0,12.0,47.0,143.0,409.0,276.0,20.0,nap
06055200400,1678.0,91.0,167.0,578.0,602.0,220.0,20.0,nap
06055200501,1872.0,9.0,295.0,798.0,675.0,81.0,14.0,nap
06055200503,778.0,10.0,264.0,289.0,215.0,0.0,0.0,nap
06055200504,2356.0,82.0,341.0,834.0,926.0,142.0,31.0,nap
06055200505,1070.0,0.0,213.0,529.0,209.0,111.0,8.0,nap
06055200601,1654.0,0.0,8.0,334.0,880.0,408.0,24.0,nap
06055200602,2034.0,104.0,298.0,285.0,847.0,475.0,25.0,nap
06055200703,1202.0,0.0,0.0,42.0,547.0,495.0,118.0,nap
06055200704,1676.0,138.0,256.0,178.0,988.0,113.0,3.0,nap
06055200705,1022.0,0.0,144.0,445.0,248.0,173.0,12.0,nap
06055200706,1171.0,38.0,0.0,77.0,583.0,445.0,28.0,nap
06055200707,1431.0,53.0,384.0,182.0,422.0,390.0,0.0,nap
06055200802,2414.0,50.0,439.0,992.0,598.0,282.0,53.0,nap
06055200803,890.0,0.0,140.0,249.0,254.0,217.0,30.0,nap
06055200804,1746.0,18.0,312.0,761.0,655.0,0.0,0.0,nap
06055200900,15.0,0.0,9.0,0.0,0.0,6.0,0.0,nap
06055201003,1147.0,18.0,195.0,229.0,223.0,302.0,180.0,nap
06055201004,2017.0,0.0,22.0,540.0,562.0,418.0,475.0,nap
06055201005,736.0,35.0,17.0,35.0,365.0,187.0,97.0,nap
06055201006,916.0,5.0,0.0,9.0,533.0,243.0,126.0,nap
06055201007,1148.0,16.0,0.0,40.0,400.0,529.0,163.0,nap
06055201101,777.0,0.0,0.0,58.0,440.0,229.0,50.0,nap
06055201102,956.0,52.0,130.0,308.0,296.0,121.0,49.0,nap
06055201200,2239.0,55.0,60.0,983.0,755.0,328.0,58.0,nap
06055201300,1421.0,5.0,164.0,668.0,425.0,159.0,0.0,nap
06055201401,1987.0,50.0,52.0,522.0,788.0,525.0,50.0,nap
06055201402,1233.0,37.0,79.0,215.0,631.0,177.0,94.0,nap
06055201403,458.0,0.0,23.0,182.0,97.0,141.0,15.0,nap
06055201500,1103.0,18.0,101.0,329.0,441.0,172.0,42.0,nap
06055201601,1051.0,125.0,166.0,354.0,244.0,117.0,45.0,nap
06055201602,1784.0,91.0,184.0,683.0,678.0,127.0,21.0,nap
06055201700,2119.0,20.0,330.0,604.0,831.0,221.0,113.0,nap
06055201800,1011.0,65.0,34.0,336.0,449.0,113.0,14.0,nap
06055201900,775.0,72.0,193.0,223.0,209.0,60.0,18.0,nap
06055202000,2245.0,0.0,418.0,980.0,741.0,88.0,18.0,nap
06075010100,2252.0,534.0,1135.0,456.0,101.0,26.0,0.0,sfr
06075010200,3100.0,376.0,1392.0,965.0,264.0,63.0,40.0,sfr
06075010300,2286.0,106.0,873.0,868.0,269.0,88.0,82.0,sfr
06075010400,2961.0,138.0,1360.0,1060.0,378.0,25.0,0.0,sfr
06075010500,1885.0,267.0,753.0,686.0,172.0,7.0,0.0,sfr
06075010600,2198.0,697.0,762.0,553.0,106.0,52.0,28.0,sfr
06075010700,3040.0,1484.0,717.0,542.0,125.0,64.0,108.0,sfr
06075010800,2801.0,264.0,1126.0,835.0,402.0,90.0,84.0,sfr
06075010900,2907.0,495.0,1229.0,776.0,356.0,42.0,9.0,sfr
06075011000,2725.0,498.0,1142.0,781.0,146.0,125.0,33.0,sfr
06075011100,3095.0,1013.0,1422.0,443.0,144.0,36.0,37.0,sfr
06075011200,2424.0,296.0,912.0,838.0,229.0,101.0,48.0,sfr
06075011300,1683.0,500.0,737.0,280.0,109.0,49.0,8.0,sfr
06075011700,1334.0,883.0,219.0,132.0,49.0,0.0,51.0,sfr
06075011800,772.0,285.0,213.0,141.0,75.0,12.0,46.0,sfr
06075011901,1858.0,739.0,851.0,185.0,0.0,64.0,19.0,sfr
06075011902,2048.0,884.0,834.0,269.0,60.0,1.0,0.0,sfr
06075012000,2828.0,1743.0,863.0,136.0,29.0,0.0,57.0,sfr
06075012100,2441.0,1653.0,615.0,112.0,37.0,0.0,24.0,sfr
06075012201,2776.0,1589.0,982.0,125.0,0.0,20.0,60.0,sfr
06075012202,1605.0,995.0,513.0,70.0,0.0,11.0,16.0,sfr
06075012301,1939.0,1579.0,301.0,29.0,8.0,0.0,22.0,sfr
06075012302,2573.0,1891.0,567.0,94.0,0.0,13.0,8.0,sfr
06075012401,2708.0,2006.0,527.0,48.0,51.0,37.0,39.0,sfr
06075012402,2266.0,1252.0,808.0,108.0,27.0,12.0,59.0,sfr
06075012501,2436.0,1695.0,554.0,110.0,52.0,0.0,25.0,sfr
06075012502,2533.0,1826.0,549.0,86.0,0.0,0.0,72.0,sfr
06075012601,1648.0,240.0,829.0,304.0,199.0,76.0,0.0,sfr
06075012602,1824.0,276.0,849.0,304.0,169.0,192.0,34.0,sfr
06075012700,2232.0,437.0,832.0,548.0,322.0,80.0,13.0,sfr
06075012800,2622.0,415.0,771.0,752.0,461.0,186.0,37.0,sfr
06075012901,1723.0,271.0,840.0,431.0,181.0,0.0,0.0,sfr
06075012902,2220.0,242.0,1079.0,612.0,183.0,60.0,44.0,sfr
06075013000,2711.0,351.0,1125.0,658.0,402.0,133.0,42.0,sfr
06075013101,2597.0,207.0,1415.0,718.0,228.0,10.0,19.0,sfr
06075013102,1814.0,201.0,705.0,587.0,176.0,134.0,11.0,sfr
06075013200,2669.0,253.0,635.0,813.0,364.0,445.0,159.0,sfr
06075013300,1996.0,51.0,387.0,481.0,427.0,375.0,275.0,sfr
06075013400,2200.0,243.0,916.0,479.0,376.0,112.0,74.0,sfr
06075013500,1905.0,430.0,758.0,379.0,133.0,115.0,90.0,sfr
06075015100,1798.0,295.0,954.0,408.0,91.0,28.0,22.0,sfr
06075015200,2581.0,625.0,1064.0,537.0,188.0,119.0,48.0,sfr
06075015300,1046.0,304.0,142.0,233.0,135.0,161.0,71.0,sfr
06075015400,3136.0,208.0,1014.0,1053.0,467.0,268.0,126.0,sfr
06075015500,2444.0,457.0,1272.0,413.0,203.0,76.0,23.0,sfr
06075015600,1327.0,165.0,209.0,587.0,294.0,41.0,31.0,sfr
06075015700,2733.0,89.0,841.0,1137.0,527.0,94.0,45.0,sfr
06075015801,1849.0,170.0,749.0,636.0,169.0,102.0,23.0,sfr
06075015802,1624.0,215.0,732.0,419.0,82.0,73.0,103.0,sfr
06075015900,2319.0,469.0,798.0,646.0,385.0,21.0,0.0,sfr
06075016000,1690.0,395.0,902.0,317.0,61.0,7.0,8.0,sfr
06075016100,2929.0,527.0,1355.0,612.0,361.0,74.0,0.0,sfr
06075016200,1580.0,458.0,666.0,240.0,139.0,0.0,77.0,sfr
06075016300,2165.0,211.0,772.0,543.0,394.0,216.0,29.0,sfr
06075016400,1978.0,287.0,785.0,493.0,237.0,114.0,62.0,sfr
06075016500,2583.0,161.0,1082.0,839.0,409.0,74.0,18.0,sfr
06075016600,2745.0,195.0,986.0,1014.0,446.0,58.0,46.0,sfr
06075016700,2579.0,259.0,923.0,814.0,363.0,161.0,59.0,sfr
06075016801,1723.0,165.0,749.0,496.0,202.0,91.0,20.0,sfr
06075016802,1912.0,471.0,670.0,612.0,108.0,46.0,5.0,sfr
06075016900,1797.0,129.0,784.0,648.0,128.0,108.0,0.0,sfr
06075017000,2409.0,119.0,940.0,676.0,448.0,183.0,43.0,sfr
06075017101,1936.0,109.0,875.0,422.0,333.0,157.0,40.0,sfr
06075017102,1849.0,81.0,537.0,551.0,483.0,146.0,51.0,sfr
06075017601,3909.0,1992.0,898.0,681.0,201.0,75.0,62.0,sfr
06075017700,832.0,67.0,347.0,285.0,75.0,58.0,0.0,sfr
06075017801,2333.0,615.0,1555.0,150.0,0.0,0.0,13.0,sfr
06075017802,1936.0,388.0,680.0,457.0,231.0,164.0,16.0,sfr
06075017902,955.0,0.0,59.0,272.0,388.0,236.0,0.0,sfr
06075018000,1240.0,191.0,533.0,429.0,78.0,0.0,9.0,sfr
06075020100,3003.0,987.0,1068.0,572.0,241.0,89.0,46.0,sfr
06075020200,3298.0,523.0,1231.0,898.0,437.0,152.0,57.0,sfr
06075020300,1818.0,178.0,756.0,528.0,324.0,32.0,0.0,sfr
06075020401,1840.0,39.0,673.0,782.0,263.0,27.0,56.0,sfr
06075020402,2579.0,86.0,1018.0,1147.0,270.0,58.0,0.0,sfr
06075020500,1434.0,148.0,442.0,576.0,224.0,44.0,0.0,sfr
06075020600,2851.0,91.0,1042.0,868.0,606.0,186.0,58.0,sfr
06075020700,2930.0,370.0,970.0,900.0,387.0,252.0,51.0,sfr
06075020800,2721.0,604.0,822.0,600.0,541.0,98.0,56.0,sfr
06075020900,1958.0,429.0,545.0,552.0,236.0,141.0,55.0,sfr
06075021000,2193.0,178.0,689.0,774.0,387.0,94.0,71.0,sfr
06075021100,2125.0,106.0,643.0,656.0,562.0,100.0,58.0,sfr
