,P030001 Total: Workers 16 years and over,P030005 Total:  Public transportation:
06033000800,1595.0,10.0
06033000900,2066.0,0.0
06033001000,2240.0,14.0
06033001100,1623.0,0.0
06033001200,1159.0,3.0
06033001300,2247.0,15.0
06035040100,521.0,7.0
06035040200,918.0,12.0
06035040301,3727.0,16.0
06035040302,1865.0,9.0
06035040400,542.0,0.0
06035040500,1372.0,0.0
06035040600,966.0,7.0
06037101110,2012.0,65.0
06037101120,1509.0,0.0
06037101210,2383.0,288.0
06037101220,1223.0,110.0
06037101300,1879.0,43.0
06037101400,1769.0,69.0
06037102101,1409.0,14.0
06037102102,3079.0,68.0
06037103101,1212.0,20.0
06037103102,1972.0,52.0
06037103200,2413.0,21.0
06037103300,1975.0,9.0
06037103400,3069.0,137.0
06037104103,1436.0,61.0
06037104104,1453.0,58.0
06037104105,1799.0,218.0
06037104106,1741.0,82.0
06037104107,285.0,0.0
06037104201,1483.0,57.0
06037104202,2635.0,167.0
06037104310,865.0,39.0
06037104320,1719.0,119.0
06037104401,1344.0,121.0
06037104402,1626.0,123.0
06037104500,1590.0,113.0
06037104610,1216.0,106.0
06037104620,1047.0,40.0
06037104701,878.0,193.0
06037104702,2221.0,244.0
06037104810,1886.0,58.0
06037104820,1614.0,95.0
06037106010,1832.0,26.0
06037106020,2550.0,94.0
06037106111,1735.0,34.0
06037106112,1955.0,11.0
06037106113,1293.0,35.0
06037106114,1861.0,68.0
06037106402,2534.0,88.0
06037106403,1175.0,70.0
06037106404,1526.0,81.0
06037106510,1319.0,13.0
06037106520,1887.0,81.0
06037106602,2638.0,30.0
06037106603,1559.0,20.0
06037106604,1786.0,37.0
06037106605,2242.0,80.0
06037106606,0.0,0.0
06037106641,1097.0,13.0
06037106642,1499.0,14.0
06037106643,1796.0,26.0
06037107010,1147.0,74.0
06037107020,1409.0,75.0
06037108101,1138.0,0.0
06037108102,1878.0,18.0
06037108103,1775.0,15.0
06037108104,904.0,0.0
06037108200,2305.0,59.0
06037109100,976.0,21.0
06037109200,1448.0,44.0
06037109300,1421.0,0.0
06037109400,2047.0,77.0
06037109500,1074.0,50.0
06037109601,1514.0,117.0
06037109602,1635.0,18.0
06037109700,1796.0,33.0
06037109800,2453.0,99.0
06037111100,2540.0,59.0
06037111201,1045.0,6.0
06037111202,2288.0,11.0
06037111203,3093.0,91.0
06037111204,2768.0,44.0
06037111301,3473.0,105.0
06037111302,2706.0,59.0
06037111400,3230.0,104.0
06037113100,3036.0,35.0
06037113202,2499.0,93.0
06037113211,1898.0,33.0
06037113212,1568.0,27.0
06037113213,2254.0,67.0
06037113231,953.0,16.0
06037113232,1951.0,14.0
06037113233,2510.0,147.0
06037113234,1609.0,109.0
06037113301,857.0,34.0
06037113303,1716.0,45.0
06037113321,2886.0,118.0
06037113322,2029.0,22.0
06037113401,2654.0,111.0
06037113421,2629.0,107.0
06037113422,2892.0,71.0
06037115101,2469.0,15.0
06037115102,2028.0,63.0
06037115201,3204.0,111.0
06037115202,2396.0,114.0
06037115301,1776.0,23.0
06037115302,1500.0,147.0
06037115401,2778.0,195.0
06037115402,2774.0,139.0
06037117100,2673.0,123.0
06037117200,2294.0,195.0
06037117301,1647.0,33.0
06037117302,2259.0,41.0
06037117303,1434.0,30.0
06037117404,1824.0,63.0
06037117405,1272.0,343.0
06037117406,2266.0,307.0
06037117510,1061.0,162.0
06037117520,1278.0,128.0
06037117530,1910.0,283.0
06037119000,2406.0,137.0
06037119100,1788.0,123.0
06037119200,1439.0,93.0
06037119310,1164.0,117.0
06037119320,1275.0,172.0
06037119330,1985.0,190.0
06037119340,2437.0,456.0
06037119400,2432.0,97.0
06037119700,2107.0,45.0
06037119800,2165.0,100.0
06037119900,2176.0,113.0
06037120010,1117.0,105.0
06037120020,1430.0,202.0
06037120030,915.0,167.0
06037120101,2588.0,438.0
06037120102,3553.0,593.0
06037120300,2058.0,121.0
06037120400,2291.0,196.0
06037121010,1494.0,74.0
06037121020,1512.0,176.0
06037121100,1837.0,54.0
06037121210,1567.0,174.0
06037121220,1493.0,80.0
06037121600,1120.0,32.0
06037121800,2323.0,176.0
06037121900,1344.0,79.0
06037122000,1883.0,60.0
06037122110,1708.0,165.0
06037122120,1592.0,115.0
06037122200,2026.0,78.0
06037122410,1238.0,166.0
06037122420,1832.0,72.0
06037123010,1560.0,182.0
06037123020,1140.0,117.0
06037123103,1725.0,261.0
06037123104,2055.0,165.0
06037123203,1186.0,186.0
06037123204,1058.0,191.0
06037123205,1033.0,122.0
06037123206,1055.0,174.0
06037123301,1921.0,139.0
06037123303,1109.0,146.0
06037123304,1662.0,80.0
06037123410,1599.0,195.0
06037123420,1577.0,135.0
06037123510,1870.0,168.0
06037123520,1226.0,77.0
06037123601,2090.0,86.0
06037123602,1654.0,56.0
06037123700,1634.0,131.0
06037123800,2574.0,170.0
06037123900,2950.0,229.0
06037124000,2254.0,146.0
06037124101,2878.0,358.0
06037124102,1723.0,121.0
06037124201,1392.0,100.0
06037124202,2187.0,247.0
06037124300,1682.0,140.0
06037124400,1871.0,119.0
06037124500,1488.0,89.0
06037124600,2210.0,31.0
06037124700,2626.0,44.0
06037124901,3120.0,212.0
06037125100,3202.0,62.0
06037125200,2006.0,123.0
06037125310,1531.0,220.0
06037125320,1746.0,119.0
06037125400,4198.0,239.0
06037125500,3237.0,126.0
06037125600,1374.0,26.0
06037127101,2628.0,196.0
06037127102,1815.0,253.0
06037127210,2228.0,273.0
06037127220,1796.0,237.0
06037127300,2010.0,135.0
06037127400,1732.0,162.0
06037127510,1843.0,93.0
06037127520,1052.0,163.0
06037127601,2214.0,219.0
06037127602,2552.0,265.0
06037127710,2929.0,318.0
06037127801,2985.0,366.0
06037127802,2579.0,370.0
06037127910,1673.0,162.0
06037127920,1482.0,153.0
06037128100,2902.0,339.0
06037128210,1563.0,312.0
06037128220,1304.0,155.0
06037128302,1588.0,167.0
06037128303,1442.0,333.0
06037128400,1937.0,168.0
06037128500,2707.0,125.0
06037128600,2710.0,223.0
06037128702,2775.0,98.0
06037128800,4148.0,101.0
06037128910,2175.0,33.0
06037131010,2641.0,237.0
06037131020,2007.0,119.0
06037131100,1356.0,45.0
06037131200,1514.0,6.0
06037131300,1923.0,95.0
06037131400,2021.0,147.0
06037131600,2088.0,93.0
06037131700,3414.0,154.0
06037131800,1838.0,124.0
06037131900,1751.0,19.0
06037132000,2672.0,87.0
06037132100,2504.0,95.0
06037132300,2241.0,231.0
06037132500,2827.0,180.0
06037132700,2006.0,115.0
06037132900,1687.0,33.0
06037133000,1782.0,54.0
06037133100,1930.0,138.0
06037134000,2965.0,250.0
06037134101,1988.0,127.0
06037134103,1842.0,122.0
06037134104,1819.0,62.0
06037134201,1683.0,87.0
06037134302,1867.0,72.0
06037134303,2185.0,17.0
06037134304,1176.0,39.0
06037134305,1413.0,312.0
06037134306,1557.0,53.0
06037134401,3159.0,32.0
06037134421,2048.0,15.0
06037134422,2137.0,68.0
06037134510,2673.0,321.0
06037134520,2215.0,279.0
06037134710,1821.0,99.0
06037134720,2130.0,128.0
06037134800,2506.0,45.0
06037134901,1302.0,15.0
06037134902,3365.0,174.0
06037135102,1491.0,21.0
06037135111,1604.0,22.0
06037135112,3312.0,85.0
06037135201,1033.0,28.0
06037135202,2004.0,0.0
06037135203,3476.0,31.0
06037137000,2225.0,11.0
06037137102,3980.0,51.0
06037137201,2823.0,40.0
06037137301,1135.0,5.0
06037137302,2134.0,13.0
06037137401,2295.0,17.0
06037137402,2527.0,34.0
06037137501,1957.0,64.0
06037137502,2123.0,11.0
06037137504,920.0,7.0
06037138000,2389.0,39.0
06037139000,2711.0,30.0
06037139200,2530.0,90.0
06037139301,2080.0,6.0
06037139302,2055.0,150.0
06037139303,2193.0,59.0
06037139400,2386.0,231.0
06037139501,3899.0,99.0
06037139502,1232.0,28.0
06037139600,2302.0,41.0
06037139701,2003.0,15.0
06037139702,2825.0,23.0
06037139703,1372.0,16.0
06037139801,1552.0,40.0
06037139802,1734.0,5.0
06037141100,3293.0,25.0
06037141200,3773.0,123.0
06037141301,3174.0,114.0
06037141302,3201.0,106.0
06037141400,2220.0,55.0
06037141500,1452.0,5.0
06037141600,2057.0,19.0
06037141700,1387.0,6.0
06037143100,2233.0,13.0
06037143200,2237.0,70.0
06037143300,3152.0,8.0
06037143400,2987.0,48.0
06037143500,2426.0,58.0
06037143601,3527.0,108.0
06037143602,1967.0,27.0
06037143700,2472.0,24.0
06037143800,2508.0,18.0
06037143901,2017.0,31.0
06037143902,1624.0,0.0
06037181000,2863.0,101.0
06037181300,1831.0,68.0
06037181400,1883.0,101.0
06037181500,2010.0,172.0
06037181600,2326.0,135.0
06037183101,1662.0,88.0
06037183102,2461.0,93.0
06037183210,2429.0,116.0
06037183220,1380.0,266.0
06037183300,1952.0,226.0
06037183400,1532.0,108.0
06037183510,1001.0,53.0
06037183520,1274.0,360.0
06037183610,1379.0,235.0
06037183620,1137.0,126.0
06037183700,2671.0,338.0
06037183810,1331.0,345.0
06037183820,1140.0,160.0
06037185100,2806.0,230.0
06037185201,1983.0,141.0
06037185202,1583.0,155.0
06037185310,1105.0,158.0
06037185320,1074.0,292.0
06037186100,2221.0,59.0
06037186200,3485.0,262.0
06037186300,2514.0,91.0
06037186401,1791.0,316.0
06037186402,2037.0,242.0
06037187100,2798.0,187.0
06037187200,1245.0,139.0
06037187300,1891.0,105.0
06037188100,2114.0,195.0
06037188200,3449.0,133.0
06037188300,1699.0,100.0
06037189100,3420.0,178.0
06037189200,3406.0,371.0
06037189300,1452.0,30.0
06037189400,1837.0,22.0
06037189500,2652.0,162.0
06037189600,2207.0,97.0
06037189701,2052.0,13.0
06037189702,1099.0,25.0
06037189800,1578.0,95.0
06037189901,4464.0,311.0
06037189902,3161.0,110.0
06037190100,3000.0,390.0
06037190200,2726.0,558.0
06037190301,2390.0,538.0
06037190400,2588.0,487.0
06037190510,1260.0,281.0
06037190520,1355.0,379.0
06037190700,1452.0,225.0
06037190800,2030.0,560.0
06037190901,1614.0,501.0
06037190902,1567.0,350.0
06037191000,1270.0,276.0
06037191110,1148.0,401.0
06037191120,1563.0,351.0
06037191201,1710.0,312.0
06037191203,1080.0,292.0
06037191204,960.0,207.0
06037191300,2170.0,459.0
06037191410,1579.0,428.0
06037191420,1466.0,379.0
06037191500,1820.0,473.0
06037191610,1912.0,545.0
06037191620,857.0,199.0
06037191710,1167.0,332.0
06037191720,1444.0,435.0
06037191810,1563.0,500.0
06037191820,1191.0,300.0
06037191900,3514.0,372.0
06037192000,2976.0,64.0
06037192300,1583.0,81.0
06037192410,1948.0,134.0
06037192420,1802.0,323.0
06037192510,1431.0,277.0
06037192520,2141.0,591.0
06037192610,1712.0,504.0
06037192620,1239.0,403.0
06037192700,1417.0,273.0
06037194100,4075.0,55.0
06037194200,3459.0,113.0
06037194300,998.0,1.0
06037194400,3348.0,43.0
06037194500,1058.0,17.0
06037195100,2534.0,44.0
06037195200,3516.0,124.0
06037195300,1606.0,162.0
06037195400,2422.0,251.0
06037195500,2780.0,184.0
06037195600,1319.0,334.0
06037195710,1474.0,419.0
06037195720,1136.0,294.0
06037195801,2425.0,456.0
06037195802,1071.0,211.0
06037195900,3303.0,430.0
06037197110,262.0,16.0
06037197200,2178.0,134.0
06037197300,1757.0,295.0
06037197410,1520.0,116.0
06037197420,1658.0,331.0
06037197500,2200.0,505.0
06037197600,1141.0,289.0
06037197700,2047.0,424.0
06037199000,1113.0,206.0
06037199110,869.0,111.0
06037199120,980.0,128.0
06037199201,1331.0,295.0
06037199202,926.0,151.0
06037199300,1547.0,165.0
06037199400,1559.0,285.0
06037199700,1062.0,193.0
06037199800,1660.0,244.0
06037199900,797.0,200.0
06037201110,658.0,79.0
06037201120,1628.0,165.0
06037201200,919.0,192.0
06037201301,1142.0,101.0
06037201302,2104.0,7.0
06037201401,1544.0,155.0
06037201402,1736.0,105.0
06037201501,1930.0,114.0
06037201503,1217.0,160.0
06037201504,939.0,120.0
06037201600,1769.0,165.0
06037201700,1769.0,153.0
06037203100,1082.0,168.0
06037203200,1472.0,332.0
06037203300,167.0,39.0
06037203500,1118.0,123.0
06037203600,1688.0,387.0
06037203710,1073.0,241.0
06037203720,1244.0,286.0
06037203800,1501.0,232.0
06037203900,885.0,116.0
06037204110,936.0,148.0
06037204120,805.0,138.0
06037204200,1009.0,152.0
06037204300,1345.0,334.0
06037204410,754.0,114.0
06037204420,1171.0,444.0
06037204600,1041.0,253.0
06037204700,1507.0,314.0
06037204810,1345.0,236.0
06037204820,726.0,88.0
06037204910,826.0,129.0
06037204920,863.0,181.0
06037205110,1343.0,372.0
06037205120,1057.0,178.0
06037206010,936.0,141.0
06037206020,18.0,0.0
06037206030,306.0,97.0
06037206040,1280.0,203.0
06037206050,999.0,197.0
06037206200,748.0,180.0
06037206300,982.0,399.0
06037207100,1610.0,338.0
06037207300,832.0,299.0
06037207400,0.0,0.0
06037207500,1833.0,99.0
06037207710,272.0,101.0
06037207900,823.0,77.0
06037208000,1193.0,340.0
06037208300,2232.0,901.0
06037208400,1898.0,706.0
06037208500,2327.0,636.0
06037208610,1698.0,368.0
06037208620,1877.0,382.0
06037208710,2013.0,235.0
06037208720,1238.0,675.0
06037208800,2325.0,992.0
06037208902,834.0,583.0
06037208903,1321.0,828.0
06037208904,1294.0,986.0
06037209101,2314.0,1277.0
06037209102,1685.0,1074.0
06037209200,552.0,374.0
06037209300,1163.0,559.0
06037209401,1354.0,779.0
06037209402,1347.0,968.0
06037209403,1273.0,855.0
06037209510,874.0,399.0
06037209520,1153.0,391.0
06037209810,822.0,388.0
06037209820,880.0,370.0
06037210010,1167.0,462.0
06037211000,1931.0,47.0
06037211110,2533.0,491.0
06037211120,2097.0,296.0
06037211200,2312.0,804.0
06037211310,1408.0,468.0
06037211320,1155.0,463.0
06037211410,1310.0,256.0
06037211420,1613.0,311.0
06037211500,2056.0,261.0
06037211701,1310.0,118.0
06037211702,3798.0,817.0
06037211801,2918.0,390.0
06037211802,1753.0,475.0
06037211910,1980.0,661.0
06037211920,2357.0,758.0
06037212100,2328.0,446.0
06037212202,1465.0,516.0
06037212203,1004.0,626.0
06037212204,1006.0,622.0
06037212303,992.0,365.0
06037212304,991.0,500.0
06037212305,1330.0,468.0
06037212306,1275.0,250.0
06037212410,1705.0,711.0
06037212420,1200.0,375.0
06037212500,2350.0,754.0
06037212610,1616.0,355.0
06037212620,1813.0,367.0
06037212700,2652.0,378.0
06037212800,1860.0,237.0
06037212900,1436.0,399.0
06037213100,1009.0,121.0
06037213201,1418.0,414.0
06037213202,1586.0,492.0
06037213310,1183.0,337.0
06037213320,863.0,175.0
06037213401,1783.0,649.0
06037213402,1807.0,631.0
06037214000,1458.0,39.0
06037214100,2068.0,15.0
06037214400,1949.0,34.0
06037214500,4329.0,178.0
06037214600,1484.0,113.0
06037214700,1564.0,26.0
06037214800,1356.0,64.0
06037214900,3213.0,91.0
06037215100,3881.0,274.0
06037216100,1342.0,43.0
06037216200,2277.0,154.0
06037216300,2346.0,117.0
06037216400,3524.0,142.0
06037216700,1745.0,154.0
06037216800,1925.0,193.0
06037216900,2634.0,190.0
06037217000,3503.0,161.0
06037217100,2614.0,318.0
06037217200,1747.0,215.0
06037218110,1361.0,260.0
06037218120,1468.0,261.0
06037218210,1487.0,367.0
06037218220,1680.0,419.0
06037218300,1994.0,246.0
06037218400,1824.0,283.0
06037218500,1054.0,204.0
06037218600,1261.0,221.0
06037218700,1471.0,239.0
06037218800,877.0,130.0
06037218900,1763.0,234.0
06037219010,888.0,103.0
06037219020,1221.0,120.0
06037219300,1214.0,177.0
06037219500,697.0,20.0
06037219700,1120.0,129.0
06037219800,1434.0,157.0
06037219900,1912.0,200.0
06037220000,1768.0,214.0
06037220100,945.0,98.0
06037221110,1119.0,335.0
06037221120,1084.0,281.0
06037221210,1390.0,261.0
06037221220,1218.0,282.0
06037221301,1920.0,667.0
06037221302,1359.0,372.0
06037221400,1078.0,231.0
06037221500,1623.0,379.0
06037221600,1586.0,334.0
06037221710,1480.0,446.0
06037221810,972.0,149.0
06037221820,1330.0,83.0
06037221900,1719.0,103.0
06037222000,2416.0,393.0
06037222100,1230.0,258.0
06037222200,1328.0,329.0
06037222500,1501.0,293.0
06037222600,1586.0,340.0
06037222700,129.0,0.0
06037224010,886.0,365.0
06037224020,739.0,263.0
06037224200,971.0,289.0
06037224310,700.0,348.0
06037224320,1076.0,273.0
06037224410,1333.0,415.0
06037224420,855.0,231.0
06037224600,1292.0,489.0
06037224700,2045.0,139.0
06037226000,1303.0,327.0
06037226410,1099.0,341.0
06037226420,1781.0,484.0
06037226700,1897.0,578.0
06037227010,1270.0,279.0
06037227020,1150.0,287.0
06037228100,1289.0,202.0
06037228210,960.0,255.0
06037228220,943.0,240.0
06037228310,1484.0,319.0
06037228320,901.0,240.0
06037228410,1390.0,309.0
06037228420,772.0,212.0
06037228500,1306.0,319.0
06037228600,1215.0,418.0
06037228710,876.0,265.0
06037228720,1116.0,303.0
06037228800,1230.0,283.0
06037228900,822.0,253.0
06037229100,1269.0,274.0
06037229200,985.0,346.0
06037229300,1388.0,400.0
06037229410,969.0,147.0
06037229420,1090.0,254.0
06037231100,279.0,26.0
06037231210,1088.0,216.0
06037231220,1022.0,195.0
06037231300,1331.0,282.0
06037231400,1489.0,180.0
06037231500,1264.0,195.0
06037231600,1825.0,300.0
06037231710,1079.0,213.0
06037231720,1044.0,375.0
06037231800,1795.0,651.0
06037231900,1728.0,469.0
06037232110,858.0,214.0
06037232120,1002.0,225.0
06037232200,974.0,165.0
06037232300,1019.0,217.0
06037232400,1893.0,331.0
06037232500,1044.0,216.0
06037232600,1557.0,271.0
06037232700,1213.0,281.0
06037232800,1182.0,383.0
06037234000,1907.0,97.0
06037234200,944.0,52.0
06037234300,1987.0,195.0
06037234500,1906.0,176.0
06037234600,1724.0,260.0
06037234700,1400.0,198.0
06037234800,1175.0,71.0
06037234900,1917.0,329.0
06037235100,1848.0,110.0
06037235201,929.0,48.0
06037235202,1663.0,340.0
06037236000,2064.0,22.0
06037236100,1567.0,277.0
06037236201,1743.0,304.0
06037236202,1802.0,487.0
06037236400,1842.0,100.0
06037237100,2077.0,348.0
06037237200,1720.0,267.0
06037237300,1669.0,139.0
06037237400,2418.0,288.0
06037237500,921.0,181.0
06037237600,1532.0,340.0
06037237710,1294.0,292.0
06037237720,929.0,171.0
06037237800,1407.0,200.0
06037237900,1195.0,133.0
06037238000,2026.0,164.0
06037238100,1496.0,122.0
06037238200,1741.0,128.0
06037238310,1269.0,276.0
06037238320,907.0,194.0
06037238400,1480.0,77.0
06037239200,1766.0,254.0
06037239310,586.0,110.0
06037239320,741.0,104.0
06037239330,690.0,90.0
06037239500,1518.0,210.0
06037239600,1390.0,297.0
06037239700,1372.0,319.0
06037239800,1876.0,325.0
06037240010,635.0,96.0
06037240020,1042.0,207.0
06037240200,1524.0,213.0
06037240300,1480.0,160.0
06037240400,1419.0,167.0
06037240500,1392.0,227.0
06037240600,995.0,162.0
06037240700,1384.0,90.0
06037240800,884.0,196.0
06037240900,1278.0,104.0
06037241000,1338.0,66.0
06037241110,616.0,100.0
06037241120,1362.0,274.0
06037241200,1349.0,196.0
06037241300,795.0,141.0
06037241400,1074.0,57.0
06037242000,743.0,93.0
06037242100,292.0,73.0
06037242200,1239.0,108.0
06037242300,910.0,88.0
06037242600,682.0,179.0
06037242700,1044.0,149.0
06037243000,1316.0,113.0
06037243100,813.0,147.0
06037261101,1937.0,7.0
06037261102,2031.0,45.0
06037261200,2152.0,22.0
06037262100,1703.0,27.0
06037262200,2088.0,15.0
06037262301,1352.0,8.0
06037262302,1304.0,0.0
06037262303,1404.0,19.0
06037262400,1385.0,18.0
06037262500,1568.0,26.0
06037262601,1621.0,7.0
06037262602,3082.0,16.0
06037262701,1695.0,14.0
06037262702,1512.0,25.0
06037262800,1858.0,46.0
06037264000,1405.0,9.0
06037264101,3587.0,82.0
06037264301,3272.0,20.0
06037264302,3282.0,62.0
06037265100,1174.0,42.0
06037265200,3156.0,399.0
06037265301,2429.0,107.0
06037265303,2411.0,64.0
06037265304,1893.0,71.0
06037265305,1334.0,72.0
06037265410,677.0,5.0
06037265420,875.0,16.0
06037265510,2430.0,115.0
06037265520,2604.0,57.0
06037265600,2883.0,31.0
06037265700,2369.0,55.0
06037267100,3312.0,41.0
06037267200,3327.0,111.0
06037267300,3120.0,425.0
06037267401,3579.0,264.0
06037267402,2916.0,114.0
06037267501,3166.0,473.0
06037267502,1827.0,135.0
06037267600,1347.0,70.0
06037267700,879.0,55.0
06037267800,1436.0,85.0
06037267900,2620.0,125.0
06037269000,2080.0,60.0
06037269100,2271.0,33.0
06037269300,1997.0,44.0
06037269500,1744.0,16.0
06037269600,2591.0,349.0
06037269700,2162.0,150.0
06037269800,1929.0,160.0
06037269901,4421.0,413.0
06037269902,4070.0,356.0
06037270100,2905.0,138.0
06037270200,1116.0,89.0
06037270300,1503.0,98.0
06037271100,1912.0,143.0
06037271200,2237.0,158.0
06037271300,1576.0,35.0
06037271400,1655.0,35.0
06037271500,1480.0,38.0
06037271600,1275.0,32.0
06037271701,3114.0,130.0
06037271702,2128.0,244.0
06037271801,2727.0,276.0
06037271802,3238.0,228.0
06037271900,3215.0,152.0
06037272100,2213.0,144.0
06037272200,3155.0,271.0
06037272301,1621.0,109.0
06037272302,2128.0,314.0
06037273100,1848.0,80.0
06037273200,2034.0,274.0
06037273300,2037.0,141.0
06037273400,2370.0,123.0
06037273500,2152.0,165.0
06037273600,1538.0,75.0
06037273700,1642.0,63.0
06037273800,1981.0,42.0
06037273900,2617.0,53.0
06037274100,1406.0,47.0
06037274200,2795.0,23.0
06037275100,2583.0,164.0
06037275200,1980.0,253.0
06037275302,2141.0,42.0
06037275311,2782.0,150.0
06037275400,1144.0,25.0
06037275510,1270.0,132.0
06037275520,590.0,121.0
06037275601,1739.0,29.0
06037276000,2715.0,54.0
06037276100,2502.0,77.0
06037276400,1983.0,41.0
06037276500,1522.0,9.0
06037276601,1965.0,15.0
06037276602,5413.0,42.0
06037277000,2771.0,30.0
06037277100,1478.0,34.0
06037277200,1941.0,156.0
06037277400,2017.0,139.0
06037278000,1286.0,63.0
06037278100,1949.0,29.0
06037291110,1011.0,105.0
06037291120,626.0,99.0
06037291130,1242.0,88.0
06037291210,1880.0,122.0
06037291220,1200.0,71.0
06037291300,1180.0,8.0
06037292000,2520.0,47.0
06037293201,2557.0,91.0
06037293202,2354.0,103.0
06037293301,1464.0,18.0
06037293302,1996.0,99.0
06037293304,1688.0,72.0
06037293305,2041.0,108.0
06037294110,1459.0,43.0
06037294120,848.0,153.0
06037294200,1597.0,21.0
06037294300,2382.0,136.0
06037294410,1622.0,122.0
06037294420,1233.0,116.0
06037294510,1392.0,154.0
06037294520,1135.0,57.0
06037294610,1203.0,68.0
06037294620,1201.0,59.0
06037294700,989.0,110.0
06037294810,1367.0,250.0
06037294820,888.0,112.0
06037294830,884.0,39.0
06037294900,861.0,47.0
06037295101,2636.0,0.0
06037296100,48.0,0.0
06037296210,870.0,62.0
06037296220,678.0,59.0
06037296300,2235.0,20.0
06037296400,3116.0,74.0
06037296500,1370.0,55.0
06037296600,1807.0,150.0
06037296900,3304.0,202.0
06037297000,2634.0,22.0
06037297110,1308.0,92.0
06037297120,1092.0,70.0
06037297200,3565.0,96.0
06037297300,1357.0,17.0
06037297400,1734.0,5.0
06037297500,1680.0,15.0
06037297600,3687.0,71.0
06037300100,2657.0,16.0
06037300200,2292.0,15.0
06037300300,3041.0,39.0
06037300400,2551.0,0.0
06037300501,1788.0,23.0
06037300502,2766.0,0.0
06037300600,3384.0,36.0
06037300701,2907.0,26.0
06037300702,2529.0,8.0
06037300800,3147.0,37.0
06037300901,3282.0,15.0
06037300902,939.0,15.0
06037301000,2254.0,51.0
06037301100,3028.0,31.0
06037301202,2879.0,75.0
06037301203,2010.0,57.0
06037301204,2218.0,119.0
06037301300,892.0,5.0
06037301400,1655.0,38.0
06037301501,832.0,37.0
06037301502,2807.0,30.0
06037301601,2748.0,202.0
06037301602,1726.0,98.0
06037301701,1214.0,26.0
06037301702,2339.0,87.0
06037301800,3652.0,152.0
06037301900,3015.0,103.0
06037302001,3349.0,169.0
06037302002,1480.0,51.0
06037302102,3183.0,152.0
06037302103,2270.0,208.0
06037302104,1916.0,88.0
06037302201,1236.0,111.0
06037302202,2205.0,308.0
06037302301,1577.0,102.0
06037302302,2264.0,296.0
06037302400,2379.0,290.0
06037302501,3056.0,361.0
06037302502,2887.0,241.0
06037310100,2433.0,30.0
06037310200,4602.0,132.0
06037310300,1443.0,5.0
06037310400,1629.0,20.0
06037310500,1414.0,105.0
06037310600,4023.0,157.0
06037310701,825.0,46.0
06037310702,2893.0,67.0
06037310703,2223.0,91.0
06037310800,2166.0,40.0
06037310900,3117.0,58.0
06037311000,1823.0,44.0
06037311100,1823.0,29.0
06037311200,1515.0,25.0
06037311300,1839.0,60.0
06037311400,1199.0,20.0
06037311500,2844.0,42.0
06037311600,3983.0,112.0
06037311700,3041.0,7.0
06037311800,3595.0,150.0
06037320000,0.0,0.0
06037320100,2454.0,81.0
06037320200,3490.0,270.0
06037320300,2240.0,175.0
06037400203,2520.0,101.0
06037400204,3605.0,87.0
06037400205,1036.0,26.0
06037400206,2731.0,91.0
06037400302,1422.0,53.0
06037400303,2029.0,35.0
06037400304,3445.0,47.0
06037400401,2165.0,13.0
06037400402,1727.0,8.0
06037400500,1190.0,0.0
06037400602,1855.0,48.0
06037400603,2238.0,54.0
06037400604,1059.0,38.0
06037400800,1689.0,34.0
06037400900,1679.0,16.0
06037401001,1529.0,21.0
06037401002,1840.0,37.0
06037401101,2323.0,77.0
06037401102,1350.0,40.0
06037401201,1748.0,32.0
06037401202,1997.0,57.0
06037401203,2520.0,56.0
06037401302,4461.0,36.0
06037401311,3132.0,80.0
06037401312,2418.0,56.0
06037401500,2516.0,76.0
06037401601,2138.0,75.0
06037401602,2725.0,63.0
06037401603,1147.0,14.0
06037401701,1789.0,112.0
06037401703,1665.0,115.0
06037401704,1919.0,136.0
06037401800,3357.0,95.0
06037401901,2067.0,24.0
06037401902,2744.0,15.0
06037402000,2957.0,130.0
06037402101,1453.0,61.0
06037402102,1752.0,63.0
06037402200,3168.0,81.0
06037402301,1696.0,43.0
06037402302,2460.0,237.0
06037402401,2409.0,106.0
06037402402,2807.0,139.0
06037402403,2203.0,104.0
06037402404,0.0,0.0
06037402501,1644.0,88.0
06037402502,1888.0,142.0
06037402600,2739.0,145.0
06037402702,2104.0,223.0
06037402703,1695.0,113.0
06037402704,2849.0,43.0
06037402801,1341.0,108.0
06037402802,2180.0,65.0
06037402901,2466.0,52.0
06037402902,1831.0,63.0
06037403000,2339.0,139.0
06037403200,0.0,0.0
06037403303,1350.0,43.0
06037403304,2596.0,38.0
06037403305,1102.0,56.0
06037403312,2474.0,46.0
06037403316,3243.0,34.0
06037403317,2489.0,69.0
06037403318,3209.0,87.0
06037403319,2302.0,72.0
06037403320,2677.0,41.0
06037403321,2791.0,75.0
06037403322,1821.0,85.0
06037403323,2357.0,49.0
06037403324,3249.0,64.0
06037403325,1905.0,80.0
06037403401,2520.0,80.0
06037403402,1594.0,3.0
06037403403,2309.0,57.0
06037403404,1312.0,8.0
06037403405,750.0,8.0
06037403406,1257.0,55.0
06037403407,965.0,0.0
06037403408,3176.0,68.0
06037403500,569.0,7.0
06037403600,2887.0,44.0
06037403702,1728.0,49.0
06037403703,2165.0,66.0
06037403721,2233.0,114.0
06037403722,2225.0,125.0
06037403801,2860.0,81.0
06037403802,2440.0,73.0
06037403901,1504.0,75.0
06037403902,2193.0,43.0
06037404000,1946.0,73.0
06037404100,2329.0,37.0
