,P030001 Total: Workers 16 years and over,P030005 Total:  Public transportation:
06001437900,1172.0,36.0
06001438000,1364.0,75.0
06001438100,3090.0,227.0
06001438201,1748.0,71.0
06001438202,3985.0,258.0
06001438300,1476.0,61.0
06001438400,1002.0,28.0
06001440100,1087.0,70.0
06001440200,2252.0,123.0
06001440301,3280.0,217.0
06001440302,3389.0,167.0
06001440304,2107.0,186.0
06001440305,2092.0,103.0
06001440306,1919.0,65.0
06001440307,1970.0,116.0
06001440308,2888.0,268.0
06001440309,3600.0,345.0
06001440331,1387.0,83.0
06001440332,1510.0,41.0
06001441100,1981.0,99.0
06001441200,3376.0,124.0
06001441301,1483.0,121.0
06001441302,2633.0,100.0
06001441401,3762.0,194.0
06001441402,2661.0,114.0
06001441501,2504.0,102.0
06001441503,5391.0,369.0
06001441521,2757.0,169.0
06001441522,2445.0,83.0
06001441601,2280.0,77.0
06001441602,3360.0,233.0
06001441700,3227.0,131.0
06001441800,3180.0,124.0
06001441901,6771.0,794.0
06001441921,1475.0,56.0
06001441922,3682.0,275.0
06001441923,2587.0,354.0
06001442000,1439.0,98.0
06001442100,2418.0,93.0
06001442200,2828.0,52.0
06001442300,4110.0,252.0
06001442400,2858.0,95.0
06001442500,3310.0,208.0
06001442600,4026.0,139.0
06001442700,1344.0,43.0
06001442800,1542.0,60.0
06001442900,3618.0,69.0
06001443001,1446.0,67.0
06001443002,2950.0,61.0
06001443101,4418.0,119.0
06001443102,2257.0,67.0
06001443103,1639.0,56.0
06001443200,1775.0,18.0
06001443301,2019.0,37.0
06001443302,3167.0,66.0
06001444100,3440.0,71.0
06001444200,3063.0,87.0
06001444300,3769.0,102.0
06001444400,2221.0,92.0
06001444500,2964.0,130.0
06001444600,4537.0,191.0
06001450100,1496.0,120.0
06001450200,2954.0,257.0
06001450300,2555.0,120.0
06001450400,3019.0,122.0
06001450500,4168.0,150.0
06001450601,1712.0,57.0
06001450602,4207.0,125.0
06001450603,2462.0,53.0
06001450604,2543.0,119.0
06001450605,1999.0,130.0
06001450606,2999.0,153.0
06001450607,1862.0,157.0
06001450701,2879.0,121.0
06001450703,3895.0,173.0
06001450721,307.0,5.0
06001450722,5368.0,406.0
06001450741,2286.0,80.0
06001450742,2269.0,82.0
06001451101,2500.0,52.0
06001451102,1295.0,18.0
06001451201,3420.0,63.0
06001451202,1906.0,0.0
06001451300,3767.0,125.0
06001451401,2944.0,74.0
06001451402,4308.0,295.0
06001451501,1433.0,84.0
06001451502,4236.0,118.0
06001451503,2652.0,63.0
06001451601,1917.0,46.0
06001451602,3099.0,143.0
06001451701,1398.0,44.0
06001451702,4024.0,134.0
06003010000,613.0,3.0
06005000100,2250.0,8.0
06005000200,2129.0,19.0
