FID	STATEFP10	COUNTYFP10	TRACTCE10	GEOID10	NAME10	NAMELSAD10	MTFCC10	FUNCSTAT10	ALAND10	AWATER10	INTPTLAT10	INTPTLON10
4950	06	001	410300	06001410300	4103	Census Tract 4103	G5020	S	"578,328.00"	0	37.7466798	-122.1661407
4952	06	001	409400	06001409400	4094	Census Tract 4094	G5020	S	"1,253,614.00"	0	37.744613	-122.1803623
4976	06	001	409700	06001409700	4097	Census Tract 4097	G5020	S	"811,306.00"	0	37.7564187	-122.1658929
5037	06	001	410400	06001410400	4104	Census Tract 4104	G5020	S	"706,609.00"	0	37.7408161	-122.1621741
5082	06	001	410200	06001410200	4102	Census Tract 4102	G5020	S	"585,845.00"	0	37.7453063	-122.1571742
5118	06	001	409600	06001409600	4096	Census Tract 4096	G5020	S	"747,479.00"	0	37.7532669	-122.1726197
5146	06	001	409500	06001409500	4095	Census Tract 4095	G5020	S	"836,608.00"	0	37.7504463	-122.1837659
5239	06	001	409300	06001409300	4093	Census Tract 4093	G5020	S	"1,076,156.00"	0	37.737851	-122.1733521
