,Total:,No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,state,county,tract
06001400100,1413.0,17.0,72.0,232.0,560.0,439.0,93.0,06,001,400100
06001400200,913.0,16.0,151.0,248.0,326.0,147.0,25.0,06,001,400200
06001400300,2622.0,251.0,797.0,846.0,421.0,173.0,134.0,06,001,400300
06001400400,1920.0,112.0,457.0,722.0,448.0,104.0,77.0,06,001,400400
06001400500,1678.0,89.0,430.0,585.0,381.0,160.0,33.0,06,001,400500
06001400600,769.0,36.0,222.0,169.0,313.0,6.0,23.0,06,001,400600
06001400700,1962.0,210.0,445.0,801.0,344.0,104.0,58.0,06,001,400700
06001400800,1736.0,101.0,388.0,792.0,379.0,55.0,21.0,06,001,400800
06001400900,1175.0,63.0,335.0,530.0,166.0,48.0,33.0,06,001,400900
06001401000,2657.0,115.0,761.0,938.0,685.0,158.0,0.0,06,001,401000
06001401100,2140.0,247.0,816.0,522.0,397.0,137.0,21.0,06,001,401100
06001401200,1329.0,122.0,450.0,489.0,228.0,35.0,5.0,06,001,401200
06001401300,1896.0,430.0,905.0,320.0,197.0,15.0,29.0,06,001,401300
06001401400,1847.0,279.0,402.0,568.0,430.0,131.0,37.0,06,001,401400
06001401500,1239.0,194.0,332.0,438.0,208.0,39.0,28.0,06,001,401500
06001401600,891.0,25.0,188.0,320.0,259.0,67.0,32.0,06,001,401600
06001401700,1058.0,103.0,237.0,369.0,304.0,2.0,43.0,06,001,401700
06001401800,846.0,60.0,158.0,268.0,240.0,56.0,64.0,06,001,401800
06001402200,1028.0,114.0,188.0,377.0,239.0,66.0,44.0,06,001,402200
06001402400,1199.0,138.0,278.0,372.0,212.0,91.0,108.0,06,001,402400
06001402500,808.0,35.0,158.0,287.0,244.0,84.0,0.0,06,001,402500
06001402600,609.0,93.0,281.0,127.0,50.0,37.0,21.0,06,001,402600
06001402700,784.0,81.0,185.0,190.0,195.0,53.0,80.0,06,001,402700
06001402800,1844.0,684.0,695.0,276.0,107.0,30.0,52.0,06,001,402800
06001402900,862.0,270.0,540.0,23.0,11.0,0.0,18.0,06,001,402900
06001403000,1595.0,208.0,775.0,494.0,84.0,10.0,24.0,06,001,403000
06001403100,646.0,177.0,149.0,256.0,43.0,0.0,21.0,06,001,403100
06001403300,2455.0,242.0,1175.0,924.0,71.0,36.0,7.0,06,001,403300
06001403400,3150.0,681.0,1736.0,564.0,147.0,22.0,0.0,06,001,403400
06001403501,2559.0,243.0,1663.0,429.0,144.0,13.0,67.0,06,001,403501
06001403502,1323.0,116.0,707.0,385.0,115.0,0.0,0.0,06,001,403502
06001403600,2896.0,128.0,1854.0,684.0,119.0,71.0,40.0,06,001,403600
06001403701,1986.0,421.0,1062.0,482.0,11.0,10.0,0.0,06,001,403701
06001403702,1184.0,47.0,715.0,393.0,29.0,0.0,0.0,06,001,403702
06001403800,1979.0,130.0,641.0,625.0,337.0,201.0,45.0,06,001,403800
06001403900,2348.0,86.0,981.0,1013.0,171.0,57.0,40.0,06,001,403900
06001404000,1787.0,60.0,1011.0,570.0,68.0,41.0,37.0,06,001,404000
06001404101,1861.0,139.0,844.0,545.0,261.0,69.0,3.0,06,001,404101
06001404102,1750.0,270.0,946.0,292.0,213.0,17.0,12.0,06,001,404102
06001404200,1434.0,0.0,176.0,225.0,476.0,473.0,84.0,06,001,404200
06001404300,1402.0,0.0,103.0,299.0,517.0,402.0,81.0,06,001,404300
06001404400,2418.0,19.0,317.0,670.0,794.0,488.0,130.0,06,001,404400
06001404501,720.0,0.0,13.0,89.0,314.0,227.0,77.0,06,001,404501
06001404502,2538.0,15.0,29.0,535.0,1225.0,545.0,189.0,06,001,404502
06001404600,1883.0,19.0,0.0,258.0,797.0,660.0,149.0,06,001,404600
06001404700,829.0,0.0,23.0,118.0,421.0,214.0,53.0,06,001,404700
06001404800,1319.0,132.0,314.0,521.0,262.0,68.0,22.0,06,001,404800
06001404900,2061.0,36.0,404.0,874.0,557.0,134.0,56.0,06,001,404900
06001405000,1638.0,20.0,312.0,350.0,575.0,328.0,53.0,06,001,405000
06001405100,1638.0,0.0,69.0,142.0,795.0,510.0,122.0,06,001,405100
06001405200,2661.0,119.0,968.0,876.0,466.0,196.0,36.0,06,001,405200
06001405301,1628.0,248.0,683.0,570.0,78.0,20.0,29.0,06,001,405301
06001405302,1594.0,330.0,820.0,336.0,103.0,0.0,5.0,06,001,405302
06001405401,1822.0,283.0,756.0,496.0,178.0,73.0,36.0,06,001,405401
06001405402,1264.0,75.0,522.0,355.0,262.0,0.0,50.0,06,001,405402
06001405500,1707.0,154.0,442.0,617.0,362.0,67.0,65.0,06,001,405500
06001405600,1527.0,190.0,590.0,362.0,265.0,72.0,48.0,06,001,405600
06001405700,1503.0,176.0,513.0,448.0,289.0,64.0,13.0,06,001,405700
06001405800,1442.0,37.0,125.0,642.0,453.0,135.0,50.0,06,001,405800
06001405901,1121.0,84.0,279.0,214.0,475.0,58.0,11.0,06,001,405901
06001405902,1048.0,61.0,239.0,427.0,236.0,85.0,0.0,06,001,405902
06001406000,1586.0,261.0,625.0,394.0,238.0,42.0,26.0,06,001,406000
06001406100,1614.0,53.0,322.0,557.0,518.0,89.0,75.0,06,001,406100
06001406201,1598.0,215.0,390.0,510.0,322.0,140.0,21.0,06,001,406201
06001406202,1398.0,224.0,420.0,514.0,135.0,86.0,19.0,06,001,406202
06001406300,1340.0,70.0,264.0,466.0,262.0,211.0,67.0,06,001,406300
06001406400,795.0,109.0,53.0,268.0,301.0,54.0,10.0,06,001,406400
06001406500,2050.0,47.0,403.0,1017.0,411.0,142.0,30.0,06,001,406500
06001406601,1877.0,45.0,313.0,1125.0,368.0,26.0,0.0,06,001,406601
06001406602,991.0,15.0,255.0,322.0,247.0,152.0,0.0,06,001,406602
06001406700,2367.0,33.0,184.0,944.0,1030.0,113.0,63.0,06,001,406700
06001406800,1484.0,0.0,176.0,559.0,565.0,122.0,62.0,06,001,406800
06001406900,1579.0,0.0,84.0,744.0,483.0,241.0,27.0,06,001,406900
06001407000,2279.0,197.0,332.0,1010.0,518.0,149.0,73.0,06,001,407000
06001407101,1114.0,74.0,240.0,477.0,242.0,77.0,4.0,06,001,407101
06001407102,1427.0,59.0,216.0,449.0,627.0,76.0,0.0,06,001,407102
06001407200,1961.0,342.0,543.0,463.0,446.0,103.0,64.0,06,001,407200
06001407300,807.0,110.0,72.0,235.0,330.0,60.0,0.0,06,001,407300
06001407400,1190.0,127.0,298.0,337.0,364.0,5.0,59.0,06,001,407400
06001407500,1405.0,93.0,357.0,511.0,315.0,109.0,20.0,06,001,407500
06001407600,2327.0,56.0,314.0,1129.0,531.0,215.0,82.0,06,001,407600
06001407700,1884.0,88.0,67.0,850.0,766.0,101.0,12.0,06,001,407700
06001407800,805.0,15.0,49.0,338.0,335.0,54.0,14.0,06,001,407800
06001407900,1225.0,0.0,135.0,633.0,332.0,81.0,44.0,06,001,407900
06001408000,1029.0,9.0,12.0,131.0,596.0,212.0,69.0,06,001,408000
06001408100,2800.0,39.0,205.0,609.0,1029.0,818.0,100.0,06,001,408100
06001408200,1940.0,18.0,339.0,913.0,443.0,203.0,24.0,06,001,408200
06001408300,1900.0,0.0,167.0,804.0,682.0,218.0,29.0,06,001,408300
06001408400,1391.0,11.0,235.0,653.0,416.0,47.0,29.0,06,001,408400
06001408500,1749.0,26.0,224.0,803.0,522.0,164.0,10.0,06,001,408500
06001408600,1950.0,31.0,348.0,880.0,498.0,138.0,55.0,06,001,408600
06001408700,2643.0,112.0,386.0,1155.0,790.0,140.0,60.0,06,001,408700
06001408800,1988.0,51.0,349.0,765.0,715.0,42.0,66.0,06,001,408800
06001408900,1137.0,0.0,269.0,578.0,203.0,63.0,24.0,06,001,408900
06001409000,1116.0,0.0,20.0,422.0,545.0,72.0,57.0,06,001,409000
06001409100,695.0,0.0,0.0,329.0,265.0,101.0,0.0,06,001,409100
06001409200,1000.0,0.0,60.0,342.0,518.0,75.0,5.0,06,001,409200
06001409300,1647.0,61.0,275.0,715.0,550.0,37.0,9.0,06,001,409300
06001409400,1258.0,60.0,116.0,664.0,296.0,84.0,38.0,06,001,409400
06001409500,1068.0,23.0,117.0,383.0,411.0,134.0,0.0,06,001,409500
06001409600,1664.0,29.0,73.0,860.0,579.0,105.0,18.0,06,001,409600
06001409700,1765.0,36.0,271.0,716.0,604.0,138.0,0.0,06,001,409700
06001409800,1333.0,9.0,253.0,467.0,475.0,95.0,34.0,06,001,409800
06001409900,1429.0,42.0,11.0,165.0,752.0,384.0,75.0,06,001,409900
06001410000,1217.0,0.0,39.0,207.0,700.0,251.0,20.0,06,001,410000
06001410100,1054.0,6.0,113.0,318.0,454.0,126.0,37.0,06,001,410100
06001410200,1201.0,69.0,133.0,653.0,237.0,100.0,9.0,06,001,410200
06001410300,1096.0,62.0,114.0,588.0,293.0,20.0,19.0,06,001,410300
06001410400,1390.0,52.0,139.0,513.0,513.0,173.0,0.0,06,001,410400
06001410500,1086.0,43.0,311.0,454.0,167.0,77.0,34.0,06,001,410500
06001420100,943.0,12.0,84.0,354.0,317.0,165.0,11.0,06,001,420100
06001420200,1258.0,10.0,300.0,528.0,264.0,117.0,39.0,06,001,420200
06001420300,2090.0,0.0,459.0,1067.0,457.0,107.0,0.0,06,001,420300
06001420400,1239.0,12.0,242.0,878.0,107.0,0.0,0.0,06,001,420400
06001420500,1013.0,2.0,225.0,460.0,278.0,31.0,17.0,06,001,420500
06001420600,1304.0,0.0,141.0,492.0,472.0,110.0,89.0,06,001,420600
06001421100,876.0,0.0,21.0,162.0,414.0,212.0,67.0,06,001,421100
06001421200,1548.0,31.0,36.0,127.0,562.0,507.0,285.0,06,001,421200
06001421300,1769.0,9.0,178.0,473.0,704.0,278.0,127.0,06,001,421300
06001421400,688.0,41.0,20.0,123.0,165.0,270.0,69.0,06,001,421400
06001421500,1692.0,47.0,208.0,247.0,621.0,416.0,153.0,06,001,421500
06001421600,1700.0,119.0,221.0,253.0,568.0,364.0,175.0,06,001,421600
06001421700,1720.0,120.0,493.0,606.0,350.0,79.0,72.0,06,001,421700
06001421800,953.0,15.0,164.0,296.0,271.0,176.0,31.0,06,001,421800
06001421900,1858.0,43.0,400.0,934.0,379.0,97.0,5.0,06,001,421900
06001422000,729.0,15.0,362.0,216.0,127.0,9.0,0.0,06,001,422000
06001422100,1187.0,53.0,284.0,521.0,277.0,38.0,14.0,06,001,422100
06001422200,1636.0,156.0,613.0,589.0,239.0,18.0,21.0,06,001,422200
06001422300,1840.0,187.0,514.0,599.0,358.0,109.0,73.0,06,001,422300
06001422400,2263.0,232.0,1059.0,616.0,265.0,54.0,37.0,06,001,422400
06001422500,1683.0,303.0,743.0,351.0,183.0,58.0,45.0,06,001,422500
06001422600,11.0,0.0,0.0,0.0,11.0,0.0,0.0,06,001,422600
06001422700,1171.0,78.0,400.0,397.0,118.0,126.0,52.0,06,001,422700
06001422800,1503.0,373.0,692.0,258.0,52.0,89.0,39.0,06,001,422800
06001422900,1975.0,370.0,786.0,664.0,94.0,26.0,35.0,06,001,422900
06001423000,2134.0,121.0,448.0,853.0,601.0,111.0,0.0,06,001,423000
06001423100,2044.0,244.0,603.0,752.0,338.0,62.0,45.0,06,001,423100
06001423200,1183.0,106.0,291.0,364.0,311.0,87.0,24.0,06,001,423200
06001423300,1700.0,60.0,471.0,594.0,446.0,127.0,2.0,06,001,423300
06001423400,2232.0,88.0,611.0,869.0,396.0,221.0,47.0,06,001,423400
06001423500,1451.0,177.0,264.0,517.0,227.0,205.0,61.0,06,001,423500
06001423601,1318.0,79.0,499.0,390.0,170.0,98.0,82.0,06,001,423601
06001423602,2603.0,230.0,936.0,976.0,273.0,69.0,119.0,06,001,423602
06001423700,1435.0,242.0,392.0,211.0,207.0,262.0,121.0,06,001,423700
06001423800,1381.0,14.0,113.0,296.0,319.0,370.0,269.0,06,001,423800
06001423901,886.0,42.0,266.0,306.0,196.0,35.0,41.0,06,001,423901
06001423902,817.0,57.0,316.0,193.0,139.0,63.0,49.0,06,001,423902
06001424001,1606.0,102.0,397.0,820.0,176.0,96.0,15.0,06,001,424001
06001424002,991.0,7.0,188.0,556.0,174.0,26.0,40.0,06,001,424002
06001425101,1283.0,130.0,960.0,140.0,20.0,33.0,0.0,06,001,425101
06001425102,1953.0,337.0,1093.0,490.0,33.0,0.0,0.0,06,001,425102
06001425103,1461.0,62.0,506.0,817.0,76.0,0.0,0.0,06,001,425103
06001425104,1880.0,349.0,784.0,568.0,133.0,32.0,14.0,06,001,425104
06001426100,2170.0,12.0,30.0,268.0,678.0,725.0,457.0,06,001,426100
06001426200,1723.0,0.0,126.0,272.0,729.0,470.0,126.0,06,001,426200
06001427100,1455.0,32.0,188.0,368.0,605.0,254.0,8.0,06,001,427100
06001427200,1621.0,19.0,286.0,727.0,469.0,82.0,38.0,06,001,427200
06001427300,2061.0,87.0,444.0,872.0,372.0,217.0,69.0,06,001,427300
06001427600,1809.0,11.0,350.0,1029.0,255.0,125.0,39.0,06,001,427600
06001427700,2452.0,82.0,1015.0,688.0,480.0,172.0,15.0,06,001,427700
06001427800,2126.0,88.0,629.0,792.0,367.0,162.0,88.0,06,001,427800
06001427900,2245.0,81.0,799.0,641.0,420.0,217.0,87.0,06,001,427900
06001428000,1405.0,50.0,428.0,653.0,239.0,27.0,8.0,06,001,428000
06001428100,2029.0,248.0,223.0,725.0,567.0,247.0,19.0,06,001,428100
06001428200,2657.0,151.0,363.0,819.0,1055.0,214.0,55.0,06,001,428200
06001428301,2522.0,0.0,28.0,545.0,1524.0,372.0,53.0,06,001,428301
06001428302,2699.0,12.0,78.0,403.0,1085.0,927.0,194.0,06,001,428302
06001428400,2034.0,30.0,562.0,957.0,385.0,61.0,39.0,06,001,428400
06001428500,1545.0,0.0,362.0,868.0,173.0,110.0,32.0,06,001,428500
06001428600,1617.0,32.0,548.0,485.0,325.0,218.0,9.0,06,001,428600
06001428700,1458.0,95.0,84.0,390.0,424.0,413.0,52.0,06,001,428700
06001430101,2280.0,0.0,0.0,286.0,883.0,1037.0,74.0,06,001,430101
06001430102,903.0,9.0,0.0,125.0,239.0,474.0,56.0,06,001,430102
06001430200,2424.0,0.0,0.0,325.0,1265.0,701.0,133.0,06,001,430200
06001430300,1330.0,0.0,0.0,161.0,597.0,452.0,120.0,06,001,430300
06001430400,757.0,0.0,9.0,59.0,353.0,306.0,30.0,06,001,430400
06001430500,2109.0,73.0,24.0,942.0,866.0,197.0,7.0,06,001,430500
06001430600,2167.0,12.0,111.0,229.0,905.0,785.0,125.0,06,001,430600
06001430700,1355.0,0.0,30.0,333.0,723.0,172.0,97.0,06,001,430700
06001430800,2183.0,0.0,276.0,541.0,1087.0,219.0,60.0,06,001,430800
06001430900,1875.0,40.0,320.0,1176.0,291.0,34.0,14.0,06,001,430900
06001431000,1168.0,9.0,453.0,347.0,314.0,45.0,0.0,06,001,431000
06001431100,1358.0,42.0,218.0,743.0,308.0,47.0,0.0,06,001,431100
06001431200,2634.0,89.0,483.0,1272.0,654.0,124.0,12.0,06,001,431200
06001432100,1417.0,76.0,124.0,547.0,529.0,120.0,21.0,06,001,432100
06001432200,1705.0,161.0,349.0,753.0,381.0,51.0,10.0,06,001,432200
06001432300,1674.0,84.0,224.0,675.0,409.0,193.0,89.0,06,001,432300
06001432400,1848.0,21.0,194.0,541.0,905.0,180.0,7.0,06,001,432400
06001432501,1474.0,83.0,120.0,346.0,741.0,146.0,38.0,06,001,432501
06001432502,1470.0,0.0,142.0,651.0,524.0,137.0,16.0,06,001,432502
06001432600,2962.0,169.0,711.0,1502.0,483.0,73.0,24.0,06,001,432600
06001432700,1019.0,0.0,79.0,325.0,509.0,60.0,46.0,06,001,432700
06001432800,1456.0,27.0,53.0,331.0,744.0,247.0,54.0,06,001,432800
06001433000,1409.0,11.0,52.0,601.0,583.0,155.0,7.0,06,001,433000
06001433102,1364.0,50.0,53.0,543.0,454.0,157.0,107.0,06,001,433102
06001433103,1532.0,129.0,610.0,562.0,185.0,46.0,0.0,06,001,433103
06001433104,1824.0,229.0,545.0,728.0,238.0,55.0,29.0,06,001,433104
06001433200,2695.0,271.0,639.0,578.0,919.0,256.0,32.0,06,001,433200
06001433300,2150.0,0.0,28.0,189.0,1543.0,354.0,36.0,06,001,433300
06001433400,2312.0,0.0,99.0,754.0,682.0,602.0,175.0,06,001,433400
06001433500,1383.0,0.0,20.0,133.0,902.0,307.0,21.0,06,001,433500
06001433600,2109.0,51.0,372.0,612.0,918.0,143.0,13.0,06,001,433600
06001433700,1023.0,74.0,216.0,370.0,297.0,32.0,34.0,06,001,433700
06001433800,2563.0,89.0,365.0,863.0,1036.0,187.0,23.0,06,001,433800
06001433900,2393.0,24.0,620.0,1193.0,462.0,94.0,0.0,06,001,433900
06001434000,1836.0,33.0,400.0,780.0,509.0,86.0,28.0,06,001,434000
06001435102,1514.0,30.0,159.0,332.0,417.0,406.0,170.0,06,001,435102
06001435103,2119.0,29.0,0.0,101.0,588.0,984.0,417.0,06,001,435103
06001435104,2061.0,16.0,398.0,1036.0,452.0,71.0,88.0,06,001,435104
06001435200,1440.0,2.0,70.0,223.0,637.0,434.0,74.0,06,001,435200
06001435300,1754.0,0.0,353.0,754.0,426.0,167.0,54.0,06,001,435300
06001435400,2093.0,206.0,689.0,694.0,414.0,79.0,11.0,06,001,435400
06001435500,1480.0,39.0,517.0,549.0,306.0,50.0,19.0,06,001,435500
06001435601,1677.0,0.0,240.0,1182.0,198.0,27.0,30.0,06,001,435601
06001435602,1638.0,17.0,358.0,679.0,452.0,93.0,39.0,06,001,435602
06001435700,1488.0,29.0,83.0,311.0,929.0,111.0,25.0,06,001,435700
06001435800,1636.0,0.0,21.0,131.0,1264.0,191.0,29.0,06,001,435800
06001435900,1665.0,0.0,0.0,119.0,1202.0,309.0,35.0,06,001,435900
06001436000,1453.0,0.0,0.0,142.0,1175.0,105.0,31.0,06,001,436000
06001436100,1788.0,43.0,349.0,255.0,1024.0,114.0,3.0,06,001,436100
06001436200,1260.0,29.0,299.0,647.0,232.0,45.0,8.0,06,001,436200
06001436300,2185.0,31.0,297.0,1157.0,673.0,15.0,12.0,06,001,436300
06001436401,3094.0,171.0,333.0,1119.0,1019.0,424.0,28.0,06,001,436401
06001436402,1041.0,21.0,4.0,51.0,440.0,394.0,131.0,06,001,436402
06001436500,1790.0,67.0,609.0,674.0,347.0,63.0,30.0,06,001,436500
06001436601,1871.0,41.0,250.0,778.0,721.0,75.0,6.0,06,001,436601
06001436602,1667.0,58.0,541.0,603.0,221.0,222.0,22.0,06,001,436602
06001436700,1062.0,49.0,187.0,379.0,390.0,41.0,16.0,06,001,436700
06001436800,1353.0,56.0,353.0,198.0,579.0,119.0,48.0,06,001,436800
06001436900,1879.0,0.0,312.0,597.0,723.0,223.0,24.0,06,001,436900
06001437000,1241.0,0.0,173.0,272.0,684.0,81.0,31.0,06,001,437000
06001437101,1892.0,0.0,0.0,382.0,658.0,555.0,297.0,06,001,437101
06001437102,1408.0,53.0,290.0,320.0,627.0,118.0,0.0,06,001,437102
06001437200,2293.0,20.0,227.0,848.0,760.0,364.0,74.0,06,001,437200
06001437300,892.0,5.0,26.0,215.0,519.0,125.0,2.0,06,001,437300
06001437400,911.0,0.0,27.0,45.0,669.0,152.0,18.0,06,001,437400
06001437500,1158.0,0.0,193.0,519.0,431.0,15.0,0.0,06,001,437500
06001437600,913.0,0.0,86.0,274.0,466.0,57.0,30.0,06,001,437600
06001437701,1075.0,16.0,149.0,528.0,335.0,47.0,0.0,06,001,437701
06001437702,1106.0,14.0,31.0,870.0,177.0,14.0,0.0,06,001,437702
06001437800,1394.0,9.0,63.0,196.0,708.0,366.0,52.0,06,001,437800
06001437900,706.0,64.0,216.0,175.0,242.0,0.0,9.0,06,001,437900
06001438000,1105.0,0.0,61.0,236.0,636.0,107.0,65.0,06,001,438000
06001438100,2140.0,39.0,65.0,140.0,1375.0,457.0,64.0,06,001,438100
06001438201,1204.0,6.0,34.0,230.0,809.0,125.0,0.0,06,001,438201
06001438203,1303.0,50.0,29.0,382.0,445.0,343.0,54.0,06,001,438203
06001438204,1854.0,62.0,119.0,774.0,610.0,251.0,38.0,06,001,438204
06001438300,917.0,12.0,43.0,45.0,708.0,84.0,25.0,06,001,438300
06001438400,712.0,9.0,20.0,68.0,424.0,174.0,17.0,06,001,438400
06001440100,965.0,27.0,164.0,411.0,151.0,136.0,76.0,06,001,440100
06001440200,1548.0,17.0,123.0,522.0,631.0,215.0,40.0,06,001,440200
06001440301,2253.0,0.0,276.0,349.0,1055.0,523.0,50.0,06,001,440301
06001440304,1387.0,37.0,124.0,349.0,425.0,366.0,86.0,06,001,440304
06001440305,1082.0,39.0,0.0,87.0,353.0,523.0,80.0,06,001,440305
06001440306,1130.0,7.0,9.0,242.0,561.0,236.0,75.0,06,001,440306
06001440307,1707.0,44.0,57.0,802.0,540.0,227.0,37.0,06,001,440307
06001440308,2096.0,145.0,482.0,329.0,746.0,274.0,120.0,06,001,440308
06001440331,985.0,9.0,141.0,342.0,299.0,154.0,40.0,06,001,440331
06001440332,912.0,0.0,31.0,29.0,201.0,374.0,277.0,06,001,440332
06001440333,866.0,0.0,9.0,153.0,242.0,340.0,122.0,06,001,440333
06001440334,1127.0,9.0,23.0,107.0,400.0,543.0,45.0,06,001,440334
06001440335,2089.0,63.0,310.0,340.0,360.0,725.0,291.0,06,001,440335
06001440336,1559.0,0.0,162.0,604.0,551.0,242.0,0.0,06,001,440336
06001441100,1646.0,70.0,87.0,322.0,602.0,405.0,160.0,06,001,441100
06001441200,2679.0,12.0,534.0,540.0,917.0,567.0,109.0,06,001,441200
06001441301,1226.0,20.0,275.0,422.0,182.0,217.0,110.0,06,001,441301
06001441302,1913.0,0.0,163.0,214.0,858.0,664.0,14.0,06,001,441302
06001441401,2452.0,0.0,512.0,413.0,829.0,622.0,76.0,06,001,441401
06001441402,1764.0,0.0,111.0,354.0,477.0,714.0,108.0,06,001,441402
06001441501,1874.0,0.0,57.0,107.0,570.0,917.0,223.0,06,001,441501
06001441503,1864.0,0.0,82.0,390.0,861.0,505.0,26.0,06,001,441503
06001441521,1879.0,13.0,10.0,225.0,755.0,829.0,47.0,06,001,441521
06001441522,1508.0,11.0,0.0,205.0,671.0,551.0,70.0,06,001,441522
06001441523,1442.0,0.0,71.0,818.0,314.0,233.0,6.0,06,001,441523
06001441524,1375.0,36.0,128.0,439.0,346.0,382.0,44.0,06,001,441524
06001441601,1503.0,0.0,9.0,142.0,936.0,391.0,25.0,06,001,441601
06001441602,2368.0,0.0,391.0,529.0,1013.0,397.0,38.0,06,001,441602
06001441700,2798.0,55.0,397.0,1314.0,800.0,213.0,19.0,06,001,441700
06001441800,2446.0,0.0,374.0,942.0,633.0,477.0,20.0,06,001,441800
06001441921,1323.0,0.0,334.0,381.0,453.0,152.0,3.0,06,001,441921
06001441923,2239.0,136.0,904.0,1082.0,103.0,14.0,0.0,06,001,441923
06001441924,2637.0,0.0,456.0,993.0,766.0,389.0,33.0,06,001,441924
06001441925,2896.0,15.0,1300.0,1483.0,98.0,0.0,0.0,06,001,441925
06001441926,1485.0,88.0,335.0,763.0,253.0,46.0,0.0,06,001,441926
06001441927,1795.0,74.0,599.0,836.0,263.0,23.0,0.0,06,001,441927
06001442000,1060.0,0.0,42.0,20.0,281.0,429.0,288.0,06,001,442000
06001442100,1710.0,18.0,77.0,220.0,490.0,745.0,160.0,06,001,442100
06001442200,2186.0,0.0,10.0,157.0,931.0,851.0,237.0,06,001,442200
06001442301,1519.0,0.0,245.0,278.0,830.0,106.0,60.0,06,001,442301
06001442302,2014.0,113.0,445.0,770.0,563.0,114.0,9.0,06,001,442302
06001442400,1998.0,18.0,201.0,232.0,885.0,617.0,45.0,06,001,442400
06001442500,2292.0,16.0,300.0,423.0,1000.0,479.0,74.0,06,001,442500
06001442601,1308.0,0.0,154.0,61.0,755.0,291.0,47.0,06,001,442601
06001442602,1773.0,7.0,296.0,600.0,563.0,265.0,42.0,06,001,442602
06001442700,1092.0,0.0,89.0,202.0,534.0,241.0,26.0,06,001,442700
06001442800,970.0,0.0,0.0,252.0,483.0,205.0,30.0,06,001,442800
06001442900,2350.0,0.0,190.0,417.0,1020.0,618.0,105.0,06,001,442900
06001443001,837.0,6.0,0.0,37.0,652.0,123.0,19.0,06,001,443001
06001443002,1914.0,0.0,9.0,367.0,1174.0,348.0,16.0,06,001,443002
06001443102,1510.0,0.0,0.0,46.0,342.0,808.0,314.0,06,001,443102
06001443103,1219.0,0.0,0.0,12.0,107.0,471.0,629.0,06,001,443103
06001443104,1834.0,0.0,121.0,311.0,748.0,595.0,59.0,06,001,443104
06001443105,1440.0,0.0,0.0,111.0,404.0,770.0,155.0,06,001,443105
06001443200,1210.0,0.0,0.0,17.0,219.0,639.0,335.0,06,001,443200
06001443301,1242.0,0.0,0.0,26.0,521.0,653.0,42.0,06,001,443301
06001443321,1269.0,0.0,181.0,653.0,399.0,10.0,26.0,06,001,443321
06001443322,976.0,0.0,6.0,90.0,562.0,239.0,79.0,06,001,443322
06001444100,2565.0,0.0,183.0,73.0,1193.0,912.0,204.0,06,001,444100
06001444200,2023.0,11.0,33.0,418.0,1055.0,453.0,53.0,06,001,444200
06001444301,1184.0,0.0,138.0,171.0,477.0,375.0,23.0,06,001,444301
06001444302,1317.0,0.0,86.0,521.0,337.0,275.0,98.0,06,001,444302
06001444400,1533.0,0.0,117.0,560.0,719.0,125.0,12.0,06,001,444400
06001444500,2068.0,23.0,275.0,645.0,689.0,319.0,117.0,06,001,444500
06001444601,1500.0,0.0,14.0,41.0,809.0,588.0,48.0,06,001,444601
06001444602,1622.0,15.0,170.0,723.0,563.0,131.0,20.0,06,001,444602
06001450101,1916.0,12.0,732.0,468.0,409.0,221.0,74.0,06,001,450101
06001450102,1357.0,0.0,154.0,295.0,336.0,432.0,140.0,06,001,450102
06001450200,2313.0,44.0,586.0,1141.0,387.0,145.0,10.0,06,001,450200
06001450300,1671.0,0.0,176.0,107.0,679.0,648.0,61.0,06,001,450300
06001450400,2047.0,29.0,130.0,305.0,994.0,537.0,52.0,06,001,450400
06001450501,1271.0,0.0,103.0,417.0,384.0,275.0,92.0,06,001,450501
06001450502,1575.0,0.0,0.0,162.0,446.0,644.0,323.0,06,001,450502
06001450601,1303.0,0.0,147.0,174.0,332.0,505.0,145.0,06,001,450601
06001450602,3342.0,24.0,372.0,819.0,775.0,991.0,361.0,06,001,450602
06001450603,1482.0,0.0,7.0,42.0,697.0,686.0,50.0,06,001,450603
06001450604,1634.0,0.0,182.0,140.0,326.0,891.0,95.0,06,001,450604
06001450605,1364.0,27.0,85.0,171.0,544.0,506.0,31.0,06,001,450605
06001450606,1859.0,21.0,19.0,216.0,506.0,860.0,237.0,06,001,450606
06001450607,2205.0,139.0,724.0,677.0,264.0,314.0,87.0,06,001,450607
06001450701,2600.0,0.0,50.0,187.0,476.0,1271.0,616.0,06,001,450701
06001450741,1755.0,42.0,173.0,433.0,758.0,273.0,76.0,06,001,450741
06001450742,1790.0,9.0,96.0,482.0,498.0,561.0,144.0,06,001,450742
06001450743,2150.0,0.0,635.0,904.0,469.0,113.0,29.0,06,001,450743
06001450744,1476.0,0.0,0.0,151.0,421.0,741.0,163.0,06,001,450744
06001450745,1872.0,0.0,136.0,405.0,598.0,585.0,148.0,06,001,450745
06001450746,1175.0,0.0,80.0,271.0,557.0,261.0,6.0,06,001,450746
06001450750,1843.0,53.0,445.0,963.0,366.0,0.0,16.0,06,001,450750
06001450751,757.0,21.0,3.0,53.0,251.0,225.0,204.0,06,001,450751
06001450752,1585.0,8.0,13.0,135.0,234.0,452.0,743.0,06,001,450752
