,B01001_001E Total:,B01001_002E Male:,B01001_003E Male:!!Under 5 years,B01001_004E Male:!!5 to 9 years,B01001_005E Male:!!10 to 14 years,B01001_006E Male:!!15 to 17 years,B01001_007E Male:!!18 and 19 years,B01001_008E Male:!!20 years,B01001_009E Male:!!21 years,B01001_010E Male:!!22 to 24 years,B01001_011E Male:!!25 to 29 years,B01001_012E Male:!!30 to 34 years,B01001_013E Male:!!35 to 39 years,B01001_014E Male:!!40 to 44 years,B01001_015E Male:!!45 to 49 years,B01001_016E Male:!!50 to 54 years,B01001_017E Male:!!55 to 59 years,B01001_018E Male:!!60 and 61 years,B01001_019E Male:!!62 to 64 years,B01001_020E Male:!!65 and 66 years,B01001_021E Male:!!67 to 69 years,B01001_022E Male:!!70 to 74 years,B01001_023E Male:!!75 to 79 years,B01001_024E Male:!!80 to 84 years,B01001_025E Male:!!85 years and over,B01001_026E Female:,B01001_027E Female:!!Under 5 years,B01001_028E Female:!!5 to 9 years,B01001_029E Female:!!10 to 14 years,B01001_030E Female:!!15 to 17 years,B01001_031E Female:!!18 and 19 years,B01001_032E Female:!!20 years,B01001_033E Female:!!21 years,B01001_034E Female:!!22 to 24 years,B01001_035E Female:!!25 to 29 years,B01001_036E Female:!!30 to 34 years,B01001_037E Female:!!35 to 39 years,B01001_038E Female:!!40 to 44 years,B01001_039E Female:!!45 to 49 years,B01001_040E Female:!!50 to 54 years,B01001_041E Female:!!55 to 59 years,B01001_042E Female:!!60 and 61 years,B01001_043E Female:!!62 to 64 years,B01001_044E Female:!!65 and 66 years,B01001_045E Female:!!67 to 69 years,B01001_046E Female:!!70 to 74 years,B01001_047E Female:!!75 to 79 years,B01001_048E Female:!!80 to 84 years,B01001_049E Female:!!85 years and over,B01001_001M Margin Of Error For!!Total:,B01001_002M Margin Of Error For!!Male:,B01001_003M Margin Of Error For!!Male:!!Under 5 years,B01001_004M Margin Of Error For!!Male:!!5 to 9 years,B01001_005M Margin Of Error For!!Male:!!10 to 14 years,B01001_006M Margin Of Error For!!Male:!!15 to 17 years,B01001_007M Margin Of Error For!!Male:!!18 and 19 years,B01001_008M Margin Of Error For!!Male:!!20 years,B01001_009M Margin Of Error For!!Male:!!21 years,B01001_010M Margin Of Error For!!Male:!!22 to 24 years,B01001_011M Margin Of Error For!!Male:!!25 to 29 years,B01001_012M Margin Of Error For!!Male:!!30 to 34 years,B01001_013M Margin Of Error For!!Male:!!35 to 39 years,B01001_014M Margin Of Error For!!Male:!!40 to 44 years,B01001_015M Margin Of Error For!!Male:!!45 to 49 years,B01001_016M Margin Of Error For!!Male:!!50 to 54 years,B01001_017M Margin Of Error For!!Male:!!55 to 59 years,B01001_018M Margin Of Error For!!Male:!!60 and 61 years,B01001_019M Margin Of Error For!!Male:!!62 to 64 years,B01001_020M Margin Of Error For!!Male:!!65 and 66 years,B01001_021M Margin Of Error For!!Male:!!67 to 69 years,B01001_022M Margin Of Error For!!Male:!!70 to 74 years,B01001_023M Margin Of Error For!!Male:!!75 to 79 years,B01001_024M Margin Of Error For!!Male:!!80 to 84 years,B01001_025M Margin Of Error For!!Male:!!85 years and over,B01001_026M Margin Of Error For!!Female:,B01001_027M Margin Of Error For!!Female:!!Under 5 years,B01001_028M Margin Of Error For!!Female:!!5 to 9 years,B01001_029M Margin Of Error For!!Female:!!10 to 14 years,B01001_030M Margin Of Error For!!Female:!!15 to 17 years,B01001_031M Margin Of Error For!!Female:!!18 and 19 years,B01001_032M Margin Of Error For!!Female:!!20 years,B01001_033M Margin Of Error For!!Female:!!21 years,B01001_034M Margin Of Error For!!Female:!!22 to 24 years,B01001_035M Margin Of Error For!!Female:!!25 to 29 years,B01001_036M Margin Of Error For!!Female:!!30 to 34 years,B01001_037M Margin Of Error For!!Female:!!35 to 39 years,B01001_038M Margin Of Error For!!Female:!!40 to 44 years,B01001_039M Margin Of Error For!!Female:!!45 to 49 years,B01001_040M Margin Of Error For!!Female:!!50 to 54 years,B01001_041M Margin Of Error For!!Female:!!55 to 59 years,B01001_042M Margin Of Error For!!Female:!!60 and 61 years,B01001_043M Margin Of Error For!!Female:!!62 to 64 years,B01001_044M Margin Of Error For!!Female:!!65 and 66 years,B01001_045M Margin Of Error For!!Female:!!67 to 69 years,B01001_046M Margin Of Error For!!Female:!!70 to 74 years,B01001_047M Margin Of Error For!!Female:!!75 to 79 years,B01001_048M Margin Of Error For!!Female:!!80 to 84 years,B01001_049M Margin Of Error For!!Female:!!85 years and over
06001409300,5641.0,2602.0,293.0,105.0,312.0,139.0,87.0,52.0,51.0,87.0,393.0,199.0,170.0,225.0,125.0,144.0,46.0,21.0,55.0,6.0,25.0,14.0,32.0,15.0,6.0,3039.0,401.0,185.0,222.0,121.0,7.0,84.0,25.0,123.0,222.0,254.0,221.0,172.0,111.0,198.0,94.0,35.0,86.0,28.0,132.0,111.0,80.0,38.0,89.0,736.0,423.0,135.0,85.0,176.0,75.0,70.0,60.0,67.0,75.0,198.0,91.0,111.0,98.0,65.0,80.0,46.0,32.0,44.0,10.0,39.0,25.0,33.0,24.0,10.0,440.0,159.0,115.0,125.0,78.0,11.0,68.0,37.0,82.0,128.0,100.0,135.0,92.0,74.0,89.0,82.0,35.0,65.0,25.0,84.0,89.0,59.0,42.0,50.0
06001409400,4661.0,2405.0,340.0,281.0,90.0,63.0,90.0,2.0,54.0,277.0,182.0,191.0,242.0,172.0,156.0,78.0,98.0,2.0,39.0,0.0,15.0,20.0,11.0,1.0,1.0,2256.0,192.0,265.0,138.0,45.0,155.0,38.0,80.0,160.0,294.0,101.0,129.0,189.0,137.0,86.0,84.0,34.0,5.0,27.0,18.0,9.0,47.0,0.0,23.0,654.0,361.0,137.0,99.0,67.0,50.0,56.0,31.0,56.0,110.0,100.0,104.0,135.0,78.0,87.0,58.0,51.0,4.0,36.0,13.0,24.0,34.0,17.0,8.0,4.0,419.0,116.0,104.0,95.0,38.0,98.0,34.0,67.0,79.0,140.0,60.0,81.0,90.0,87.0,55.0,55.0,42.0,9.0,30.0,23.0,15.0,40.0,13.0,26.0
06001409500,4061.0,2034.0,261.0,156.0,90.0,99.0,63.0,66.0,59.0,87.0,129.0,148.0,161.0,270.0,98.0,91.0,99.0,41.0,27.0,29.0,17.0,15.0,15.0,10.0,3.0,2027.0,347.0,143.0,163.0,44.0,50.0,35.0,72.0,91.0,186.0,62.0,248.0,103.0,70.0,69.0,112.0,45.0,30.0,45.0,55.0,0.0,15.0,4.0,38.0,607.0,353.0,92.0,77.0,46.0,58.0,44.0,68.0,37.0,58.0,61.0,64.0,123.0,96.0,54.0,73.0,54.0,33.0,27.0,34.0,17.0,21.0,24.0,17.0,6.0,396.0,107.0,97.0,74.0,37.0,40.0,34.0,39.0,55.0,78.0,40.0,95.0,67.0,51.0,39.0,49.0,40.0,46.0,38.0,44.0,13.0,16.0,8.0,27.0
06001409600,5602.0,2811.0,468.0,291.0,237.0,120.0,80.0,63.0,51.0,190.0,131.0,331.0,180.0,102.0,139.0,133.0,110.0,35.0,0.0,10.0,25.0,49.0,55.0,0.0,11.0,2791.0,237.0,275.0,305.0,166.0,83.0,23.0,55.0,84.0,249.0,193.0,318.0,150.0,180.0,121.0,117.0,0.0,27.0,43.0,46.0,29.0,37.0,34.0,19.0,605.0,449.0,173.0,157.0,131.0,80.0,58.0,66.0,47.0,97.0,86.0,138.0,106.0,63.0,82.0,84.0,73.0,32.0,18.0,17.0,39.0,49.0,72.0,18.0,17.0,344.0,120.0,118.0,145.0,90.0,63.0,25.0,48.0,52.0,122.0,115.0,115.0,98.0,93.0,93.0,72.0,18.0,26.0,42.0,46.0,27.0,37.0,40.0,19.0
06001409700,5009.0,2436.0,181.0,323.0,289.0,129.0,48.0,0.0,72.0,63.0,188.0,188.0,240.0,99.0,158.0,192.0,62.0,44.0,50.0,0.0,42.0,10.0,33.0,23.0,2.0,2573.0,212.0,267.0,260.0,172.0,63.0,11.0,24.0,48.0,247.0,258.0,143.0,143.0,217.0,233.0,95.0,15.0,15.0,32.0,34.0,34.0,29.0,3.0,18.0,558.0,307.0,94.0,119.0,118.0,70.0,35.0,18.0,55.0,48.0,95.0,101.0,121.0,74.0,83.0,83.0,55.0,37.0,52.0,18.0,42.0,15.0,31.0,20.0,6.0,346.0,96.0,122.0,113.0,83.0,51.0,16.0,33.0,41.0,118.0,100.0,71.0,75.0,118.0,105.0,51.0,21.0,17.0,31.0,25.0,34.0,29.0,6.0,28.0
06001410200,3081.0,1470.0,96.0,152.0,70.0,40.0,34.0,72.0,6.0,113.0,75.0,78.0,112.0,203.0,68.0,138.0,84.0,36.0,14.0,5.0,26.0,11.0,9.0,22.0,6.0,1611.0,184.0,84.0,124.0,93.0,17.0,0.0,13.0,45.0,85.0,112.0,169.0,78.0,56.0,149.0,145.0,37.0,32.0,59.0,16.0,35.0,16.0,23.0,39.0,461.0,272.0,77.0,101.0,41.0,49.0,36.0,86.0,11.0,82.0,55.0,54.0,84.0,122.0,53.0,80.0,57.0,27.0,23.0,8.0,38.0,14.0,14.0,28.0,10.0,307.0,172.0,77.0,60.0,60.0,21.0,13.0,16.0,51.0,72.0,83.0,80.0,40.0,39.0,76.0,74.0,39.0,37.0,48.0,17.0,30.0,16.0,21.0,50.0
06001410300,4219.0,2150.0,157.0,222.0,119.0,189.0,121.0,30.0,20.0,79.0,185.0,215.0,185.0,98.0,280.0,65.0,115.0,10.0,18.0,0.0,19.0,15.0,8.0,0.0,0.0,2069.0,127.0,184.0,232.0,28.0,93.0,50.0,6.0,158.0,167.0,216.0,155.0,134.0,174.0,99.0,95.0,24.0,12.0,8.0,70.0,18.0,9.0,0.0,10.0,512.0,315.0,100.0,86.0,65.0,79.0,90.0,32.0,35.0,43.0,92.0,97.0,79.0,55.0,134.0,62.0,74.0,16.0,20.0,13.0,26.0,16.0,14.0,13.0,13.0,285.0,78.0,97.0,110.0,27.0,73.0,59.0,14.0,117.0,84.0,107.0,74.0,92.0,78.0,59.0,48.0,29.0,20.0,12.0,58.0,26.0,13.0,13.0,15.0
06001410400,4536.0,2007.0,121.0,215.0,90.0,148.0,77.0,0.0,57.0,103.0,228.0,152.0,85.0,174.0,111.0,133.0,129.0,16.0,25.0,49.0,14.0,70.0,10.0,0.0,0.0,2529.0,203.0,202.0,53.0,181.0,104.0,22.0,23.0,108.0,140.0,155.0,126.0,249.0,180.0,289.0,174.0,41.0,73.0,30.0,9.0,81.0,48.0,7.0,31.0,762.0,347.0,65.0,103.0,68.0,66.0,70.0,13.0,70.0,96.0,97.0,105.0,65.0,87.0,57.0,70.0,75.0,19.0,27.0,46.0,21.0,47.0,16.0,13.0,13.0,474.0,148.0,138.0,38.0,89.0,66.0,30.0,29.0,87.0,81.0,94.0,73.0,96.0,71.0,143.0,75.0,40.0,59.0,27.0,12.0,48.0,31.0,11.0,40.0
