,P052001 Total: Households,"P052002 Total:  Less than $10,000"
06013355200,1222.0,9.0
06013355301,2302.0,41.0
06013355302,1177.0,7.0
06013355303,399.0,9.0
06013355304,2921.0,69.0
06013355305,1419.0,8.0
06013356001,1187.0,20.0
06013356002,2205.0,34.0
06013357000,1464.0,80.0
06013358000,1907.0,154.0
06013359101,3660.0,170.0
06013359102,1841.0,48.0
06013359202,2246.0,55.0
06013359203,2000.0,42.0
06013359204,1352.0,24.0
06013360100,3186.0,109.0
06013360200,1899.0,137.0
06013361000,1548.0,88.0
06013362000,1159.0,25.0
06013363000,2539.0,115.0
06013364001,1503.0,99.0
06013364002,1865.0,88.0
06013365001,2127.0,178.0
06013365002,1040.0,226.0
06013366001,1289.0,167.0
06013366002,1616.0,117.0
06013367100,2010.0,175.0
06013367200,1261.0,149.0
06013368000,2341.0,277.0
06013369001,2579.0,410.0
06013369002,1108.0,103.0
06013370000,1146.0,70.0
06013371000,1963.0,121.0
06013372000,2265.0,155.0
06013373000,1151.0,155.0
06013374000,1781.0,178.0
06013375000,1205.0,116.0
06013376000,1757.0,442.0
06013377000,2202.0,347.0
06013378000,1561.0,96.0
06013379000,1891.0,363.0
06013380000,2653.0,248.0
06013381000,2007.0,242.0
06013382000,2592.0,371.0
06013383000,2030.0,103.0
06013384000,1651.0,25.0
06013385100,1125.0,26.0
06013385200,556.0,23.0
06013386000,1416.0,126.0
06013387000,1017.0,45.0
06013388000,1155.0,61.0
06013389100,899.0,51.0
06013389200,874.0,92.0
06013390100,922.0,28.0
06013390200,779.0,37.0
06013391000,1099.0,29.0
06013392000,974.0,7.0
06015000101,1524.0,450.0
06015000102,1290.0,179.0
06015000103,3206.0,480.0
06015000201,1217.0,103.0
06015000202,1537.0,208.0
06015000203,411.0,47.0
06017030101,122.0,10.0
06017030102,1470.0,130.0
06017030200,1771.0,120.0
06017030300,2441.0,233.0
06017030401,1801.0,61.0
06017030402,1839.0,225.0
06017030501,2377.0,126.0
06017030502,1186.0,35.0
06017030503,486.0,17.0
06017030601,1689.0,56.0
06017030602,2149.0,141.0
06017030603,1085.0,66.0
06017030701,1784.0,8.0
06017030702,1943.0,45.0
06017030703,2232.0,36.0
06017030704,666.0,52.0
06017030801,1281.0,20.0
06017030803,2173.0,88.0
06017030804,2055.0,102.0
06017030805,3110.0,44.0
06017030806,1991.0,50.0
06017030901,1004.0,36.0
06017030902,1577.0,175.0
06017031000,2370.0,132.0
06017031100,2124.0,180.0
06017031200,1821.0,124.0
06017031301,1362.0,128.0
06017031302,1944.0,169.0
06017031402,1853.0,103.0
06017031403,61.0,0.0
06017031404,894.0,56.0
06017031405,1015.0,26.0
06017031406,1919.0,82.0
06017031502,2312.0,340.0
06017031503,1018.0,62.0
06017031504,2088.0,151.0
06019000100,361.0,261.0
06019000200,655.0,237.0
06019000300,1052.0,338.0
06019000400,1179.0,218.0
06019000500,1933.0,606.0
06019000600,1872.0,765.0
06019000700,1142.0,250.0
06019000800,223.0,95.0
06019000900,1555.0,459.0
06019001000,955.0,338.0
06019001100,694.0,164.0
06019001201,1264.0,226.0
06019001202,1000.0,168.0
06019001301,1414.0,199.0
06019001302,1924.0,430.0
06019001403,1845.0,344.0
06019001404,1712.0,83.0
06019001405,2515.0,729.0
06019001406,1814.0,135.0
06019001500,686.0,120.0
06019001600,1341.0,191.0
06019001700,1262.0,141.0
06019001800,1325.0,185.0
06019001900,790.0,79.0
06019002000,1806.0,418.0
06019002100,2065.0,373.0
06019002200,1575.0,272.0
06019002300,1259.0,257.0
06019002400,1301.0,375.0
06019002501,1314.0,176.0
06019002502,1159.0,304.0
06019002601,1337.0,250.0
06019002602,979.0,126.0
06019002701,1174.0,197.0
06019002702,1365.0,322.0
06019002800,1170.0,329.0
06019002901,2446.0,250.0
06019002902,2036.0,431.0
06019003001,912.0,160.0
06019003002,1938.0,229.0
06019003101,3627.0,509.0
06019003102,2625.0,347.0
06019003201,1368.0,160.0
06019003202,1613.0,250.0
06019003300,2623.0,389.0
06019003400,1613.0,263.0
06019003500,2081.0,319.0
06019003600,1702.0,130.0
06019003700,2598.0,321.0
06019003801,2150.0,115.0
06019003803,1192.0,62.0
06019003804,1228.0,90.0
06019003805,1838.0,313.0
06019003806,2120.0,260.0
06019003900,1564.0,204.0
06019004000,2696.0,482.0
06019004100,832.0,75.0
06019004205,2053.0,170.0
06019004206,1569.0,40.0
06019004207,1102.0,184.0
06019004208,1778.0,31.0
06019004209,3130.0,96.0
06019004210,1112.0,72.0
06019004211,1445.0,51.0
06019004212,2777.0,146.0
06019004301,1433.0,33.0
06019004302,1989.0,50.0
06019004303,1883.0,119.0
06019004404,1146.0,163.0
06019004405,1448.0,44.0
06019004406,2272.0,243.0
06019004407,3137.0,218.0
06019004503,2085.0,126.0
06019004504,2157.0,290.0
06019004505,1679.0,269.0
06019004506,1564.0,105.0
06019004601,1190.0,75.0
06019004602,1085.0,58.0
06019004701,2310.0,362.0
06019004703,1266.0,162.0
06019004704,1548.0,412.0
06019004800,2955.0,504.0
06019004900,2170.0,272.0
06019005000,1464.0,151.0
06019005100,2054.0,237.0
06019005201,2901.0,352.0
06019005202,1179.0,235.0
06019005301,1881.0,180.0
06019005302,2037.0,348.0
06019005304,2146.0,506.0
06019005305,1142.0,97.0
06019005403,1478.0,524.0
06019005404,2657.0,252.0
06019005405,1584.0,73.0
06019005406,1468.0,38.0
06019005407,1210.0,49.0
06019005408,0.0,0.0
06019005503,1477.0,59.0
06019005504,493.0,8.0
06019005505,954.0,10.0
06019005506,3829.0,99.0
06019005507,2096.0,59.0
06019005508,974.0,7.0
06019005509,1132.0,41.0
06019005510,2108.0,117.0
06019005511,908.0,20.0
06019005512,1202.0,17.0
06019005513,845.0,21.0
06019005514,902.0,0.0
06019005515,510.0,42.0
06019005602,2153.0,336.0
06019005604,3319.0,357.0
06019005605,590.0,15.0
06019005606,1076.0,56.0
06019005701,1273.0,158.0
06019005702,1512.0,65.0
06019005703,1793.0,36.0
06019005704,1768.0,111.0
06019005801,1549.0,65.0
06019005802,1103.0,13.0
06019005803,2293.0,128.0
06019005902,2429.0,123.0
06019005903,1815.0,57.0
06019005904,845.0,38.0
06019006000,2194.0,334.0
06019006100,1587.0,106.0
06019006200,1923.0,243.0
06019006300,1734.0,169.0
06019006401,3210.0,220.0
06019006402,1147.0,104.0
06019006403,1961.0,210.0
06019006500,1972.0,323.0
06019006601,2316.0,261.0
06019006602,1451.0,256.0
06019006700,1562.0,113.0
06019006801,2164.0,305.0
06019006802,1010.0,146.0
06019006900,706.0,75.0
06019007002,1338.0,173.0
06019007003,1727.0,74.0
06019007004,1477.0,124.0
06019007100,1752.0,263.0
06019007201,2394.0,189.0
06019007202,1321.0,99.0
06019007300,1344.0,107.0
06019007400,824.0,68.0
06019007500,1325.0,152.0
06019007600,1152.0,114.0
06019007700,1384.0,180.0
06019007800,1787.0,254.0
06019007900,731.0,52.0
06019008000,1736.0,237.0
06019008100,1489.0,167.0
06019008200,1703.0,238.0
06019008301,864.0,127.0
06019008302,1406.0,235.0
06019008401,1711.0,200.0
06019008402,651.0,88.0
06021010100,2616.0,335.0
06021010200,1547.0,129.0
06021010300,781.0,86.0
06021010400,2662.0,272.0
06021010501,956.0,88.0
06021010502,635.0,63.0
06023000100,1918.0,460.0
06023000200,2399.0,437.0
06023000300,2136.0,207.0
06023000400,1529.0,140.0
06023000500,1780.0,410.0
06023000600,2009.0,174.0
06023000700,2066.0,214.0
06023000800,1842.0,140.0
06023000900,2006.0,136.0
06023001000,2434.0,828.0
06023001100,3168.0,517.0
06023001200,1800.0,362.0
06023010101,827.0,154.0
06023010102,1197.0,243.0
06023010200,1287.0,167.0
06023010300,1489.0,133.0
06023010400,1327.0,136.0
06023010501,2172.0,221.0
06023010502,1924.0,201.0
06023010600,774.0,61.0
06023010700,2537.0,271.0
06023010800,1908.0,278.0
06023010900,2951.0,363.0
06023011000,1552.0,106.0
06023011100,1781.0,244.0
06023011200,1302.0,65.0
06023011300,3120.0,391.0
06025010100,1797.0,331.0
06025010200,792.0,139.0
06025010300,341.0,12.0
06025010400,1735.0,340.0
06025010500,1616.0,276.0
06025010600,2007.0,230.0
06025010700,1286.0,225.0
06025010800,468.0,32.0
06025010900,1826.0,197.0
06025011000,2397.0,191.0
06025011100,1054.0,85.0
06025011201,975.0,48.0
06025011202,1607.0,275.0
06025011300,1449.0,143.0
06025011400,1095.0,240.0
06025011500,1793.0,472.0
06025011600,2135.0,270.0
06025011700,1467.0,51.0
06025011801,973.0,10.0
06025011802,1791.0,210.0
06025011803,447.0,23.0
06025011900,1042.0,132.0
06025012000,2392.0,308.0
06025012100,1938.0,453.0
06025012200,1716.0,112.0
06025012301,368.0,71.0
06025012302,907.0,201.0
06025012400,863.0,169.0
06025012500,1156.0,294.0
06027000100,1189.0,84.0
06027000200,669.0,41.0
06027000300,1058.0,68.0
06027000400,2251.0,366.0
06027000500,1095.0,116.0
06027000600,1079.0,175.0
06027000700,332.0,57.0
06029000101,2959.0,255.0
06029000102,1193.0,107.0
06029000200,2800.0,477.0
06029000300,1650.0,257.0
06029000400,1723.0,515.0
06029000503,985.0,6.0
06029000504,1612.0,168.0
06029000505,1412.0,15.0
06029000506,384.0,19.0
06029000507,577.0,0.0
06029000600,2553.0,540.0
06029000700,1847.0,135.0
06029000800,1625.0,143.0
06029000902,1337.0,167.0
06029000903,1445.0,178.0
06029000904,1406.0,254.0
06029000905,769.0,58.0
06029000906,1216.0,125.0
06029000907,664.0,57.0
06029000908,1732.0,90.0
06029000909,877.0,10.0
06029000910,2770.0,247.0
06029001000,1671.0,106.0
06029001101,1163.0,119.0
06029001102,1615.0,305.0
06029001103,979.0,159.0
06029001201,737.0,168.0
06029001202,1451.0,392.0
06029001300,1945.0,541.0
06029001400,2058.0,457.0
06029001500,721.0,133.0
06029001600,542.0,198.0
06029001700,2003.0,190.0
06029001801,2117.0,245.0
06029001802,2165.0,91.0
06029001901,1424.0,86.0
06029001902,1795.0,419.0
06029002000,1850.0,528.0
06029002100,907.0,184.0
06029002200,1467.0,382.0
06029002301,2023.0,343.0
06029002302,665.0,140.0
06029002400,613.0,57.0
06029002500,1902.0,566.0
06029002600,934.0,136.0
06029002700,1832.0,278.0
06029002804,1557.0,115.0
06029002806,956.0,87.0
06029002807,1477.0,55.0
06029002808,2701.0,141.0
06029002811,734.0,18.0
06029002812,2120.0,474.0
06029002813,1713.0,181.0
06029002814,1611.0,131.0
06029002815,1410.0,176.0
06029002816,1784.0,190.0
06029002817,1765.0,163.0
06029002818,1563.0,54.0
06029002819,1788.0,103.0
06029002820,1140.0,24.0
06029002821,1490.0,32.0
06029002900,2370.0,490.0
06029003000,1892.0,307.0
06029003103,993.0,214.0
06029003112,1833.0,178.0
06029003113,1298.0,146.0
06029003114,2135.0,192.0
06029003115,1445.0,165.0
06029003121,2337.0,300.0
06029003122,1900.0,138.0
06029003123,1594.0,44.0
06029003124,1369.0,53.0
06029003201,1778.0,113.0
06029003202,2069.0,173.0
06029003203,777.0,10.0
06029003204,484.0,53.0
06029003302,2686.0,229.0
06029003303,527.0,57.0
06029003304,911.0,74.0
06029003400,1263.0,233.0
06029003500,2147.0,240.0
06029003600,1418.0,220.0
06029003700,854.0,75.0
06029003803,754.0,16.0
06029003804,1181.0,34.0
06029003805,1242.0,33.0
06029003806,631.0,9.0
06029003807,1183.0,91.0
06029003808,1202.0,49.0
06029003809,1615.0,101.0
06029003810,809.0,47.0
06029003811,787.0,73.0
06029003812,1369.0,107.0
06029003813,710.0,8.0
06029003900,257.0,18.0
06029004000,1046.0,143.0
06029004101,1298.0,176.0
06029004102,1225.0,231.0
06029004200,279.0,36.0
06029004301,1018.0,89.0
06029004302,0.0,0.0
06029004401,1828.0,191.0
06029004402,1260.0,211.0
06029004500,715.0,64.0
06029004601,0.0,0.0
06029004602,1339.0,128.0
06029004700,2066.0,293.0
06029004800,2058.0,480.0
06029004901,1360.0,246.0
06029004902,1838.0,93.0
06029005000,2598.0,365.0
06029005103,942.0,88.0
06029005104,417.0,4.0
06029005201,2661.0,513.0
06029005202,4444.0,846.0
06029005300,524.0,101.0
06029005401,2447.0,163.0
06029005402,1941.0,135.0
06029005403,2750.0,222.0
06029005404,2587.0,166.0
06029005501,2312.0,180.0
06029005503,991.0,132.0
06029005504,3.0,0.0
06029005505,3036.0,320.0
06029005506,1635.0,181.0
06029005600,869.0,129.0
06029005700,1852.0,0.0
06029005800,3665.0,335.0
06029005900,1225.0,301.0
06029006002,0.0,0.0
06029006003,1638.0,119.0
06029006004,555.0,116.0
06029006005,4228.0,289.0
06029006100,2424.0,413.0
06029006201,713.0,97.0
06029006202,432.0,40.0
06029006301,955.0,183.0
06029006302,2093.0,407.0
06029006401,1794.0,348.0
06029006402,1981.0,286.0
06031000100,1081.0,80.0
06031000200,714.0,62.0
06031000300,1300.0,11.0
06031000402,1161.0,57.0
06031000403,1680.0,97.0
06031000404,2245.0,195.0
06031000405,1903.0,189.0
06031000500,1341.0,118.0
06031000601,1108.0,57.0
06031000602,2103.0,115.0
06031000701,1889.0,57.0
06031000702,1362.0,79.0
06031000800,1600.0,296.0
06031000900,2679.0,427.0
06031001001,985.0,76.0
06031001002,1239.0,128.0
06031001003,1119.0,36.0
06031001100,1656.0,346.0
06031001200,803.0,79.0
06031001300,882.0,155.0
06031001400,1217.0,163.0
06031001500,1359.0,180.0
06031001601,1065.0,100.0
06031001602,0.0,0.0
06031001701,1938.0,159.0
06031001702,0.0,0.0
06033000100,1119.0,130.0
06033000300,1321.0,105.0
06033000400,2353.0,322.0
06033000500,2530.0,564.0
06033000600,1903.0,318.0
06033000700,2902.0,611.0
06033000800,2757.0,591.0
06033000900,2093.0,128.0
06033001000,2090.0,283.0
06033001100,1376.0,130.0
06033001200,1273.0,154.0
06033001300,2267.0,185.0
06035040100,650.0,140.0
06035040200,1199.0,157.0
06035040301,3541.0,481.0
06035040302,1474.0,83.0
